Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Nicolas Pepe,Lille,24,"AM(R),FW",31(5),2846,13,4,5,-,1.8,81.8,0.8,2,6.91
Marquinhos,Paris Saint-Germain,25,"D(CR),DMC",25(1),2264,-,2,1,-,0.5,93.9,1.6,1,6.91
Adrien Tameze,Nice,25,M(C),19(7),1683,-,1,3,-,0.3,91.4,1,-,6.91
Régis Gurtner,Amiens,32,GK,37,3330,-,-,2,-,-,47.7,0.3,2,6.90
Christophe Kerbrat,Guingamp,32,D(C),37,3321,1,-,4,-,0.2,83.1,1.1,-,6.90
Jean Eudes Aholou,Strasbourg,25,DMC,35,3011,5,-,4,-,1.1,86,1.5,-,6.90
Pedro Mendes,Montpellier,28,D(CR),32(2),2856,1,1,11,-,0.3,82.1,1.7,2,6.90
Ole Selnaes,Saint-Etienne,24,DMC,23(3),2060,-,2,9,-,0.5,83.3,1.2,-,6.89
Hiroki Sakai,Marseille,29,"D(LR),M(R)",30(3),2523,-,3,1,-,0.1,82.2,1.8,1,6.89
Terence Kongolo,Monaco,25,D(CL),3,258,-,-,-,-,0.3,77.1,1.3,-,6.89
Christopher Jullien,Toulouse,26,D(C),30,2607,1,2,7,-,0.8,79.1,4.1,2,6.89
Alphonse Areola,Paris Saint-Germain,26,GK,34,3060,-,-,-,-,-,91.1,0.2,2,6.88
Paul Lasne,Montpellier,30,M(CLR),34(3),3063,1,2,10,-,1.2,81.6,1.5,2,6.88
Thomas Mangani,Angers,32,M(C),34(1),3027,2,6,7,-,1.1,77,1,2,6.88
Yoann Andreu,Angers,30,D(LR),23,2070,1,2,4,-,0.3,80.3,1.3,1,6.87
Kenny Tete,Lyon,23,"D(R),M(R)",16(6),1603,1,4,3,-,0.3,84.4,1,-,6.87
Benjamin Corgnet,Strasbourg,32,"M(CLR),FW",15(3),1382,-,2,2,-,1.5,68.2,3.3,-,6.87
Moustapha Diallo,Guingamp,33,M(C),16(10),1381,5,-,7,-,1.3,81.4,3.2,3,6.86
Baptiste Reynet,Dijon,28,GK,38,3420,-,-,3,-,-,69,0.4,-,6.86
Daniel Congré,Montpellier,34,D(CLR),29(3),2633,1,-,4,-,0.3,83.9,2.3,2,6.86
Kevin Trapp,Paris Saint-Germain,28,GK,4,360,-,-,-,-,-,90.3,0.3,-,6.86
Damien Da Silva,Caen,31,D(C),32,2838,4,-,7,-,0.6,82.2,2.5,3,6.85
Maxime Le Marchand,Nice,29,D(CL),29,2536,-,3,4,-,0.4,88.6,1.8,1,6.85
Martin Terrier,Strasbourg,22,"AM(L),FW",19(6),1673,3,3,3,-,2,76.4,1.9,1,6.85
Keita,Monaco,24,"AM(LR),FW",19(4),1484,8,5,2,1,1.4,76.9,0.7,-,6.85
Giannelli Imbula,Toulouse,26,M(C),28,2256,1,1,4,-,1.2,88,0.6,-,6.84
Romain Amalfitano,Dijon,29,M(CR),31(2),2706,-,3,5,-,0.4,82.4,0.4,-,6.84
Presnel Kimpembe,Paris Saint-Germain,23,D(C),27(1),2425,-,-,6,2,0.4,95.3,1.1,-,6.84
Nolan Roux,Metz,31,"AM(LR),FW",33(2),2845,15,1,8,-,2.3,68.8,2,3,6.84
Julien Féret,Caen,36,M(C),36(1),3069,-,1,3,-,0.7,79.9,2.4,-,6.84
Youri Tielemans,Monaco,22,M(C),18(9),1567,-,1,1,-,0.9,81.8,1,-,6.84
Nicolas Benezet,Guingamp,28,AM(CLR),18(11),1653,3,3,2,-,1,79.3,0.6,2,6.83
Ernest Seka,Strasbourg,32,D(LR),25(2),2179,1,1,4,1,0.6,76.8,2.5,-,6.83
Erwin Zelazny,Troyes,27,GK,17,1530,-,-,2,-,-,52.6,0.5,1,6.83
Koffi Djidji,Nantes,26,D(CL),27(2),2419,-,-,2,-,0.3,76.2,1.3,-,6.83
Bryan Dabo,Saint-Etienne,27,"D(R),M(CR)",15(1),1289,2,-,10,-,1.2,77.5,2.4,-,6.83
Christophe Herelle,Troyes,26,D(C),34,2959,-,-,7,1,0.4,83.6,2.5,1,6.82
Issa Diop,Toulouse,22,D(C),34,3060,3,-,8,-,0.6,79.6,1.7,1,6.82
Ludovic Baal,Rennes,33,"D(L),M(L)",14(3),1161,-,-,-,-,-,78.3,1.6,-,6.81
Nuno da Costa,Strasbourg,28,"AM(R),FW",22(4),1739,5,2,4,1,1.2,63.9,1.7,-,6.81
Charles Traoré,Troyes,27,D(L),33(1),2998,-,3,8,1,0.3,77.4,1.3,2,6.81
Saif-Eddine Khaoui,Troyes,24,AM(CR),21(11),1960,5,2,1,-,1.9,71.6,0.3,2,6.81
Cedric Varrault,Dijon,39,D(C),10(1),885,1,-,-,-,0.3,84.6,2,1,6.81
Pierrick Capelle,Angers,32,"D(L),M(CLR)",23(5),1895,2,1,3,-,1.4,78.8,1.3,1,6.80
Somália,Toulouse,30,"D(R),M(CR)",23(4),2011,1,-,2,-,1,78.8,1.1,-,6.80
Patrick Burner,Nice,23,D(R),10(3),896,-,-,2,-,0.2,87.9,0.8,-,6.80
Kader Mangane,Strasbourg,36,"D(C),DMC",20,1719,1,1,4,-,0.7,75.6,2.3,-,6.80
Tomas Koubek,Rennes,26,GK,34,3060,-,-,-,-,-,53.9,0.5,-,6.79
Mamadou Samassa,Troyes,29,GK,21,1890,-,-,1,-,-,47.1,0.3,1,6.79
Khaled Adénon,Amiens,33,D(C),32(2),2919,-,1,9,-,0.1,83.1,2,-,6.79
Kwon Chang-Hoon,Dijon,25,AM(R),26(8),2143,11,3,3,-,1.9,72.1,0.4,-,6.79
Martin Braithwaite,Bordeaux,28,"AM(CLR),FW",11(3),915,4,3,3,-,1.6,74.3,1.5,1,6.79
Joris Gnagnon,Rennes,22,D(C),32(4),2918,2,2,3,-,0.8,90.9,1.9,1,6.79
Thiago Motta,Paris Saint-Germain,36,M(C),14(5),1159,1,1,3,1,0.4,93.6,1.2,-,6.79
Wesley Said,Dijon,24,"AM(CLR),FW",20(9),1841,9,2,4,-,1.7,77.6,0.3,3,6.79
Kostas Mitroglou,Marseille,31,FW,9(10),871,9,-,2,-,2.3,69,1.2,-,6.79
Jimmy Briand,Guingamp,33,"M(LR),FW",36(1),3213,11,2,4,-,2,75.3,1.9,1,6.79
Jérémy Morel,Lyon,35,D(CL),32(1),2915,-,-,4,-,-,90.7,1.7,-,6.78
Júnior Alonso,Lille,26,D(CL),30(4),2780,2,1,3,-,0.5,81.4,2.7,1,6.78
Prince,Amiens,25,D(C),32,2751,-,-,2,3,0.3,80.1,3,1,6.78
Benjamin Lecomte,Montpellier,28,GK,38,3420,-,-,1,-,-,64.3,0.6,2,6.78
Mathieu Deplagne,Troyes,27,D(LR),28,2414,-,2,4,1,0.2,81.1,1.8,1,6.78
Xeka,Dijon,24,M(C),15(2),1395,2,3,4,-,2,81.9,0.8,-,6.78
Valère Germain,Marseille,29,"AM(L),FW",24(11),2170,9,5,2,-,1.7,75.6,1.5,-,6.78
Jeff Reine-Adélaïde,Angers,21,"AM(CR),FW",7(3),443,-,-,-,-,0.4,79.6,0.8,1,6.78
Sanjin Prcic,Rennes,25,M(C),18(1),1569,1,2,3,-,0.9,87.3,0.6,1,6.77
Junior Sambia,Montpellier,22,AM(C),16(12),1539,1,4,3,-,1.4,84.1,1.1,2,6.77
Issa Cissokho,Amiens,34,"D(LR),M(R)",18(1),1629,-,-,3,-,0.2,75.6,0.9,-,6.77
Robert Beric,Saint-Etienne,28,FW,12(3),1046,7,1,-,-,1.7,70.6,1.2,1,6.77
Fouad Chafik,Dijon,32,"D(R),M(R)",19(4),1621,-,2,4,-,0.2,74.2,1.1,1,6.77
Nicolas de Preville,Bordeaux,28,"AM(CLR),FW",22(7),1941,4,4,6,-,2,73.7,1.1,1,6.77
Oualid El Hajjam,Amiens,28,D(R),24(2),2197,1,1,6,-,0.7,71,0.7,1,6.77
Giovanni Sio,Montpellier,30,FW,27(6),2203,10,3,5,1,2.5,68.6,2.5,3,6.76
Edgar Ié,Lille,25,D(CR),35,3147,1,-,6,1,0.4,84.5,2.4,-,6.76
Clinton N'Jie,Marseille,25,"AM(L),FW",9(13),871,7,3,2,-,1.4,82,0.3,2,6.76
Romain Hamouma,Saint-Etienne,32,"M(CLR),FW",22(7),1854,5,3,4,-,1.4,78.7,0.7,2,6.76
Otávio,Bordeaux,25,DMC,19(2),1492,-,-,4,1,0.6,88,0.7,-,6.76
Yannick Cahuzac,Toulouse,34,DMC,18(2),1522,-,-,5,-,0.2,82.9,1.8,1,6.75
Stéphane Ruffier,Saint-Etienne,32,GK,35,3113,-,-,1,1,-,64.8,0.1,2,6.75
Gabriel Silva,Saint-Etienne,28,"D(LR),M(L)",23(2),2080,1,2,2,1,0.4,81.8,1.2,-,6.75
Florent Mollet,Metz,27,AM(CL),16(6),1415,7,1,6,-,2,87.5,0.2,1,6.75
Jonathan Rivierez,Metz,30,D(LR),24(2),2067,-,-,6,-,0.3,76.4,0.8,-,6.75
Valentin Rongier,Nantes,24,M(C),29(3),2361,1,2,1,-,0.9,87.2,0.9,2,6.75
Marcus Thuram,Guingamp,21,"AM(L),FW",20(12),1926,3,1,2,-,1.6,70.3,2,3,6.74
Valentin Rosier,Dijon,22,"D(LR),M(L)",31(5),2781,-,3,5,-,0.4,79,1.2,1,6.74
Valentin Eysseric,Nice,27,AM(CLR),1,90,-,-,-,-,1,83.3,-,-,6.74
François Kamano,Bordeaux,23,"AM(LR),FW",23(12),2022,8,4,4,-,1.8,83.1,0.4,4,6.74
Jonas Martin,Strasbourg,29,M(CL),36,3042,4,2,6,-,0.8,85.4,1.4,1,6.74
Emiliano Sala,Nantes,28,FW,34(2),3035,12,4,3,1,2.6,62.3,3.4,2,6.74
Félix Eboa Eboa,Guingamp,22,D(CR),16(7),1519,1,-,2,-,0.4,79.5,2.8,1,6.73
Jordan Ikoko,Guingamp,25,D(LR),26(2),2419,-,2,5,-,0.4,81.5,0.7,-,6.73
Thiago Mendes,Lille,27,"D(R),M(CR)",27(4),2300,3,4,3,1,1.5,86.3,0.7,1,6.73
Rolando,Marseille,33,D(C),28(3),2512,1,-,5,-,0.5,89.5,1.7,-,6.73
Jérémy Toulalan,Bordeaux,35,"D(C),M(C)",21,1890,-,-,3,-,-,85,1.1,1,6.73
Pedro Rebocho,Guingamp,24,D(L),19(2),1723,-,2,4,-,0.1,81.3,0.7,1,6.73
Younousse Sankharé,Bordeaux,29,M(C),20(9),1882,7,1,5,-,1.3,85,1.1,-,6.73
Lucas Deaux,Guingamp,30,"D(C),DMC",24(2),1952,2,1,6,1,0.7,81.8,2.2,1,6.73
Kevin N'Doram,Monaco,23,DMC,7(4),720,-,-,3,-,0.3,87.8,1.6,-,6.73
Rémy Cabella,Marseille,29,"M(CLR),FW",0(3),62,1,-,-,-,0.7,80.6,-,-,6.72
Karim Azamoum,Troyes,29,M(CR),26(4),2257,1,-,5,1,0.8,72.7,2.5,1,6.72
Youssef Aït Bennasser,Caen,22,DMC,25(2),2054,-,-,4,-,0.9,83.2,0.9,-,6.72
Ismael Traoré,Angers,32,D(CR),32,2857,3,1,2,-,0.4,83.9,1.3,1,6.72
Vincent Pajot,Saint-Etienne,28,M(C),15(5),1291,2,2,5,1,1,78.1,3.9,1,6.72
Andy Delort,Toulouse,27,"AM(R),FW",25(7),2336,5,5,5,-,2.2,61.2,3.2,1,6.71
Dante,Nice,35,D(C),33,2920,1,-,9,1,0.6,91.9,1.9,2,6.71
Kévin Théophile-Catherine,Saint-Etienne,29,D(CLR),24(1),2164,-,-,6,-,0.1,82.4,1.7,-,6.71
