Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Cheikh M'Bengue,Rennes,30,"D(CL),M(L)",32,2815,1,0.5,39.4,82.6,0.4,2.2,-,7.05
Walid Mesloub,Lorient,33,AM(C),29(3),2560,4,2.5,57.3,81.8,1.6,5,0.3,7.05
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",30(5),2630,1,0.4,22.3,82,0.1,0.5,0.1,7.05
Lloyd Palun,Nice,30,D(R),19(2),1636,1,0.3,31.6,79.5,0.2,0.8,-,7.05
Wallace,Monaco,24,D(C),11(3),1013,-,0.1,27.3,81.9,-,2.6,-,7.05
Aissa Mandi,Reims,27,D(CLR),32,2806,2,0.7,38.7,76.8,0.3,2.7,-,7.04
Clément Chantôme,Bordeaux,31,M(C),13,1170,2,1,66.5,88.7,0.2,4,-,7.04
Tiago Ilori,Bordeaux,26,D(C),12,1017,-,0.3,42.9,86.8,-,2.8,0.1,7.04
André-Pierre Gignac,Marseille,33,FW,36(2),3087,2,0.6,16.3,75.4,0.1,0.7,0.1,7.04
Jordan Ayew,Lorient,27,"AM(CLR),FW",29(2),2616,5,1.1,26.7,79.5,0.2,0.6,-,7.04
Brice Dja Djédjé,Marseille,28,"D(R),DMC,M(R)",33,2681,4,1.1,41.7,88.1,0.8,2.5,-,7.03
Diego,Reims,31,AM(LR),28(3),2376,8,1.8,24.5,70.4,1.7,0.8,-,7.03
Benjamin Lecomte,Lorient,28,GK,38,3417,-,-,25.8,48,-,7.5,-,7.03
Kévin Théophile-Catherine,Saint-Etienne,29,D(CLR),30(1),2703,-,0.4,31.9,68.3,0.4,2.1,-,7.03
Raphael Guerreiro,Lorient,25,"D(L),M(CL)",33(1),2769,3,1.3,41.5,80,0.9,1.7,-,7.02
Maxwell,Paris Saint-Germain,37,D(L),24(2),2163,3,0.8,51.7,87.8,0.6,1.4,-,7.02
Adrien Thomasson,Evian Thonon Gaillard,25,M(CLR),20(1),1672,5,1,37.3,74.8,0.6,1.2,-,7.02
Ricardo Carvalho,Monaco,41,D(C),23(2),1991,1,0.2,39.5,88.3,-,2.2,-,7.02
