Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Nicolas Burdisso,Roma,38,D(C),32(1),2888,2,-,5,-,0.5,81.4,1.3,1,7.09
Giampiero Pinzi,Chievo,38,M(C),31(1),2732,3,-,15,-,1.2,76.2,0.3,2,7.09
Walter Gargano,Napoli,34,DMC,35(1),3063,-,2,6,-,1,79.8,0.4,1,7.09
Massimo Paci,Parma,41,D(C),23(4),2042,-,-,8,1,0.5,67.2,2,1,7.09
Massimo Maccarone,Robur Siena,39,FW,37,3244,12,4,7,-,3.3,68.2,0.2,4,7.09
Kakha Kaladze,AC Milan,41,"D(C),DMC",5(1),532,-,-,-,-,0.5,89.2,1.8,-,7.09
Edinson Cavani,Palermo,32,"AM(LR),FW",31(3),2617,13,-,7,-,2.7,76.7,0.6,3,7.08
Luciano,Chievo,43,M(CR),31(2),2672,-,3,8,1,0.8,73.2,1.4,-,7.08
Marco Cassetti,Roma,42,"D(C),M(R)",26(3),2337,2,1,8,-,0.5,78.8,0.7,2,7.08
Dusan Basta,Udinese,34,"D(R),M(R)",14(2),1295,-,-,3,1,0.4,79.3,1.1,-,7.08
Giampaolo Pazzini,Sampdoria,34,FW,37,3239,19,2,3,1,2,70.6,1.6,1,7.08
Michele Pazienza,Napoli,36,DMC,27(6),2381,2,-,8,-,0.6,80.6,1.1,2,7.07
Stevan Jovetic,Fiorentina,29,"AM(C),FW",26(3),2206,6,7,2,-,3.4,74.6,0.8,2,7.07
Marco Marchionni,Fiorentina,38,M(C),23(5),1986,6,3,3,-,1.6,78.3,0.2,2,7.07
Reto Ziegler,Sampdoria,33,"D(CL),M(L)",31(6),2929,2,5,5,-,0.8,84.7,0.4,1,7.07
Alessandro Del Piero,Juventus,44,"AM(CL),FW",18(5),1540,9,3,3,-,2.7,75.6,0.1,2,7.06
Christian Maggio,Napoli,37,"D(R),M(R)",33(1),2788,5,3,3,1,1.3,73.5,1.4,-,7.06
Dejan Stankovic,Inter,40,"D(C),M(CR),FW",24(5),2121,3,4,10,-,1.7,82.4,0.7,-,7.06
Felipe Melo,Juventus,36,M(C),28(1),2408,3,-,9,2,1.1,85.6,1,1,7.06
Paulo Barreto,Bari,33,FW,30(1),2434,14,3,6,-,1.9,73.7,0.1,3,7.06
Cristian Zaccardo,Parma,37,D(CR),34,2985,5,2,6,1,0.9,77,0.6,1,7.06
Gianpaolo Bellini,Atalanta,39,D(LR),29,2547,1,-,5,1,0.3,81.4,1.3,2,7.06
Andrea Mantovani,Chievo,35,D(C),36,3207,3,3,6,-,0.5,69.4,1,1,7.06
Clarence Seedorf,AC Milan,43,M(C),25(4),2221,5,4,3,-,1.9,85.8,0.3,-,7.06
Cristian Llama,Catania,33,AM(CL),18(5),1375,2,1,6,-,1.7,62.1,0.3,2,7.05
Cristián Zapata,Udinese,32,D(C),30(1),2645,-,-,8,1,0.2,82.4,1.5,2,7.05
Aleksander Lukovic,Udinese,36,"D(C),DMC",31(2),2839,-,4,8,-,0.4,84.7,0.5,-,7.05
Gaetano D'Agostino,Udinese,37,M(C),18(2),1602,1,1,3,-,1.4,75.2,-,-,7.05
Edgar Barreto,Atalanta,34,M(C),3(1),300,-,-,1,-,2.5,81.9,0.3,-,7.05
Rodrigo Taddei,Roma,39,M(C),25(8),2252,2,4,5,1,0.8,80.1,0.1,-,7.05
Luca Toni,Roma,42,FW,10(5),936,5,1,2,-,2.2,67.1,0.9,1,7.05
Giuseppe Mascara,Catania,39,"AM(CL),FW",33(1),2881,8,6,9,1,2.5,72.9,0.7,1,7.05
Gökhan Inler,Udinese,35,DMC,32(1),2762,-,1,6,-,1.4,83.6,0.5,-,7.04
Nicolás Spolli,Catania,36,D(C),22(4),2052,1,-,9,-,0.6,74.1,1.2,-,7.04
