Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Kiko Casilla,Espanyol,32,GK,15(1),1359,-,-,0.1,-,-,0.1,-,-,0.1,7.07
Miguel Brito,Valencia,39,D(R),11,925,-,2,0.2,0.8,0.5,0.4,0.1,0.9,0.8,7.07
Dani Estrada,Real Sociedad,32,D(R),25(4),2263,2,1,0.4,0.4,0.2,0.8,-,0.6,0.4,7.07
Arouna Koné,Levante,35,"AM(LR),FW",34,2939,15,4,2.3,0.8,1.1,1.1,1,2.4,2.3,7.06
Sergio García,Espanyol,36,"M(CLR),FW",21(3),1773,5,8,3,1.6,1.6,1.6,0.3,3,1.5,7.06
Ander Herrera,Athletic Bilbao,29,M(C),25(7),2163,1,7,1.2,1,0.7,2.5,0.1,1.8,1.3,7.05
Isaac Cuenca,Barcelona,28,"D(R),M(LR)",11(5),1076,2,2,0.9,1,0.9,0.7,0.2,1.1,0.8,7.05
Fran Rico,Granada,31,M(C),13(6),1199,2,1,0.5,0.7,0.4,1,-,0.6,0.5,7.05
Iriney,Real Betis,38,DMC,30(1),2549,-,-,0.7,0.5,0.3,0.8,-,0.9,0.5,7.05
Martín Cáceres,Sevilla,32,"D(CLR),M(R)",13(1),1173,1,-,0.5,0.9,0.4,0.9,0.1,0.6,0.6,7.04
Javier Paredes,Real Zaragoza,36,D(C),32,2776,-,-,0.2,0.3,0.1,0.7,-,0.1,0.3,7.04
Jordi Figueras,Rayo Vallecano,32,D(C),17,1530,-,-,0.3,0.2,0.2,0.4,0.1,0.1,0.1,7.04
Weligton,Malaga,39,D(C),19,1710,1,-,0.6,0.2,-,1.1,-,0.1,0.2,7.04
Casto,Real Betis,37,GK,22,1959,-,-,-,-,-,0.1,-,-,-,7.04
Fernando Llorente,Athletic Bilbao,34,FW,24(8),2253,17,1,2.5,0.7,0.4,0.9,0.7,1.6,1.7,7.04
Fabri,Real Betis,31,GK,15,1350,-,-,-,-,-,0.2,-,-,0.1,7.04
Adil Rami,Valencia,33,D(C),33,2970,2,1,0.6,0.3,0.6,1,0.2,0.3,0.5,7.03
Piti,Rayo Vallecano,38,M(CLR),29(6),2404,3,4,2.3,1,1.3,1.7,0.4,1.8,1.5,7.03
Rubén Castro,Real Betis,38,"AM(LR),FW",33(1),2959,16,5,3,1.1,0.9,1.6,1.1,1.5,1.5,7.03
Guilherme Siqueira,Granada,33,D(L),35,3050,6,1,0.6,0.6,1.2,1.1,0.1,0.6,0.5,7.03
Vicente Guaita,Valencia,32,GK,26,2340,-,-,-,-,-,0.1,-,-,-,7.02
Roberto Soldado,Valencia,34,FW,29(3),2454,17,3,2.5,1,0.3,1,0.8,0.9,1.3,7.02
Marc Bertrán,Osasuna,37,D(R),27(1),2355,-,2,0.3,1,0.7,0.3,-,0.4,0.3,7.02
Tomás Pina,Mallorca,31,M(C),23(8),2058,1,2,0.6,0.4,0.4,0.9,-,0.8,0.5,7.01
Jordi Alba,Valencia,30,D(L),27(5),2541,2,5,0.5,0.9,0.6,1.8,0.5,1.4,0.7,7.01
Ricardo Carvalho,Real Madrid,41,D(C),7(1),602,-,1,0.1,0.4,0.3,0.9,-,0.1,0.3,7.01
Antonio Amaya,Real Betis,36,D(C),9(3),936,-,-,0.2,0.3,0.1,0.3,-,0.1,0.1,7.01
Joan Verdú,Espanyol,36,M(CR),36,3134,5,5,1.9,2.2,0.3,1.9,0.3,1.6,1.2,7.01
