Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Morgan Sanson,Montpellier,24,M(CLR),20,1745,3,7,1.9,1.8,1.7,1.8,0.2,2.3,2.7,7.11
Paul-Georges Ntep,Rennes,26,"AM(L),FW",14(1),1131,2,5,2.1,1.7,2.3,2.1,0.4,1.3,2.4,7.11
Marko Basa,Lille,36,D(C),23,1955,1,-,0.3,0.1,0.2,1.1,-,0.1,0.2,7.11
Ludovic Baal,Rennes,33,"D(L),M(L)",33,2882,-,5,0.2,0.8,1.9,0.6,0.1,1.8,1.7,7.10
Serge Aurier,Paris Saint-Germain,26,"D(CLR),M(R)",21(1),1830,-,3,1,1.1,1,0.9,0.3,1.2,1.4,7.10
Nabil Fekir,Lyon,25,"AM(CR),FW",28(4),2224,9,4,2.2,2,1.8,1.9,0.8,2.2,2.2,7.10
Ronny Rodelin,Caen,29,"AM(CLR),FW",31(6),2957,9,3,2.6,1,1.2,1.3,0.4,1.6,2.1,7.09
Marquinhos,Paris Saint-Germain,25,"D(CR),DMC",27(2),2500,3,-,0.5,0.3,0.1,0.4,0.1,0.2,0.1,7.09
Mexer,Rennes,30,D(C),20(3),1818,1,1,0.1,0.1,0.4,0.8,-,0.2,0.3,7.08
Valentin Eysseric,Nice,27,AM(CLR),23(6),2087,4,7,1.4,1.2,1.4,1.6,-,1.4,1.3,7.08
Julien Féret,Caen,36,M(C),35,3119,2,3,0.7,1.9,1.4,1.1,-,1.3,1.7,7.08
Maxwell,Paris Saint-Germain,37,D(L),19(1),1713,-,6,0.2,1,0.2,0.1,0.1,0.4,0.6,7.07
Jemerson,Monaco,26,"D(C),DMC",34,3058,2,-,0.4,0.1,0.1,0.4,-,-,0.4,7.07
Patrice Evra,Marseille,38,"D(CL),M(L)",11,874,1,-,0.4,0.5,0.6,1.2,0.3,0.5,1,7.07
Karl Toko Ekambi,Angers,26,"AM(L),FW",29(2),2440,7,4,2.6,1.2,2.2,1.1,0.5,1.6,2.7,7.07
