Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Stephan Lichtsteiner,Lazio,35,"D(R),M(R)",33(1),2918,2.1,1.7,0.9,0.6,2.8,0.5,0.4,-,7.05
Marco Borriello,AC Milan,37,FW,1,62,-,1,1,-,-,-,-,-,7.05
Fabrizio Miccoli,Palermo,40,FW,17(4),1217,0.1,0.1,0.4,-,0.1,0.2,-,-,7.05
Sergio Almirón,Bari,38,M(C),21(4),1841,2.6,2.2,1.7,-,1.5,1,0.2,-,7.05
Gilberto Martinez,Brescia,39,"D(C),DMC",19,1653,1.9,2.6,0.7,0.7,5.4,0.4,1.1,-,7.05
Radja Nainggolan,Cagliari,31,M(C),33(3),2913,3.3,2.3,2.2,-,1.4,0.9,0.2,1,7.05
Blerim Dzemaili,Parma,33,M(C),26(4),2225,3.3,1.6,1.7,-,1.5,1.3,0.4,-,7.04
Clarence Seedorf,AC Milan,43,M(C),23(7),2137,1.2,0.8,0.6,-,0.6,0.2,0.1,-,7.04
Julio César,Inter,39,GK,25,2158,-,-,0.1,-,0.7,-,-,-,7.04
Samir Handanovic,Udinese,34,GK,35,3151,-,-,-,-,1.1,-,-,-,7.04
Valon Behrami,Fiorentina,34,M(C),15(2),1327,2.9,1.5,2.2,-,1.3,0.4,0.4,-,7.04
Djamel Mesbah,Lecce,34,"D(L),M(L)",29(5),2655,3.3,2.1,2,0.4,2.8,0.5,0.3,-,7.04
Alessandro Gazzi,Bari,36,M(C),29(2),2566,2.1,3.2,1.5,0.1,3.6,0.8,0.5,-,7.03
Angelo Palombo,Sampdoria,37,"D(C),DMC",34,3007,2.1,2.1,0.9,-,1.4,0.8,0.2,-,7.03
Michele Pazienza,Napoli,36,DMC,30(1),2439,3.3,2.9,2,-,1.4,0.8,0.3,-,7.03
Cristian Chivu,Inter,38,D(C),24,1992,1.8,2.9,1.3,0.3,3.5,0.8,0.3,-,7.03
Kevin Constant,Chievo,32,"D(L),M(CL)",27(5),2245,2.3,1.7,1.9,-,0.6,0.8,0.1,-,7.03
Matteo Rubin,Bologna,31,"D(L),M(L)",28(1),2450,3,2.3,1.1,0.4,3.7,0.3,0.3,1,7.02
Perparim Hetemaj,Brescia,32,M(CL),28(2),2490,3.6,1.6,3.3,-,2.2,1.3,0.4,-,7.02
Miguel Britos,Bologna,33,D(CL),34,2932,1.6,3,2,1,6.6,0.4,0.6,1,7.02
Luca Rigoni,Chievo,34,M(CR),27(2),2347,2.6,2.4,2.3,-,2.9,0.8,0.2,-,7.02
Marco Cassetti,Roma,42,"D(C),M(R)",31(1),2604,3,1.4,1.4,0.4,3.1,0.9,0.4,-,7.02
Gilberto Martinez,Sampdoria,39,"D(C),DMC",8(1),703,2.7,2.9,0.6,1,6.8,0.4,1.2,-,7.01
Cristian Zaccardo,Parma,37,D(CR),34,3042,2.4,2.1,1.4,0.2,5,0.4,0.3,1,7.01
Stefano Mauri,Lazio,39,"M(CLR),FW",26(3),2275,1.2,0.4,1.3,-,0.5,0.7,0.2,-,7.01
Simone Loria,Roma,42,D(C),2(4),313,1.3,2,1,0.7,4.2,0.5,0.5,-,7.01
Alessandro Nesta,AC Milan,43,D(C),26,2231,1.6,1.6,0.7,1.1,6.5,0.4,0.7,-,7.01
Mario Santana,Fiorentina,37,M(L),22(6),1931,2.1,0.8,1.2,-,0.9,0.4,0.2,-,7.01
Antonio Floro Flores,Udinese,36,"AM(L),FW",10(2),788,0.6,0.3,1,-,1.3,0.2,0.1,-,7.01
Mattia Cassani,Palermo,35,"D(CR),M(R)",32,2797,2.5,2.4,0.9,0.1,3.1,0.6,0.3,-,7.01
Christian Abbiati,AC Milan,41,GK,35,3081,-,-,-,-,0.8,-,-,-,7.01
