Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Aderllan Santos,Valencia,30,D(C),17,1520,-,0.1,37.5,83.7,-,3.4,-,6.90
Alberto de la Bella,Real Sociedad,33,D(L),14(1),1248,2,0.7,38,76.7,0.7,1.9,-,6.89
Alexis Ruano,Getafe,33,D(CLR),15,1350,-,0.4,35,79,-,4.9,-,6.89
Yevhen Konoplyanka,Sevilla,29,"AM(CL),FW",15(17),1613,4,1.1,15.6,79.8,1.4,0.4,-,6.89
Andreu Fontàs,Celta Vigo,29,"D(C),DMC",6(1),540,-,0.3,66.3,89.7,-,4.6,0.3,6.89
Eneko Bóveda,Athletic Bilbao,30,D(CR),15(8),1462,-,0.4,35.5,77.1,0.6,1.8,-,6.89
Luis Alberto,Deportivo La Coruna,26,"AM(CL),FW",25(4),2108,7,1.1,24.3,69.1,0.2,0.9,0.2,6.88
Mikel González,Real Sociedad,33,D(C),17(2),1551,-,0.1,28.6,78.5,0.1,2,-,6.88
Aymen Abdennour,Valencia,29,D(C),22,1853,-,0.2,38.1,83.2,-,2.7,-,6.88
Joaquín,Real Betis,37,"M(CLR),FW",22(8),1963,5,1.7,26.9,79.3,1,1.2,-,6.88
Fede Cartabia,Deportivo La Coruna,26,AM(CLR),15(11),1356,3,0.9,21.9,78.8,0.4,1.4,-,6.88
Roberto Soldado,Villarreal,34,FW,27(1),2256,10,1,28.5,68.4,0.1,0.9,0.1,6.87
Augusto Fernández,Atletico Madrid,33,M(CR),11(2),857,-,0.1,31.4,85.8,0.1,1.1,-,6.87
Bojan Jokic,Villarreal,33,"D(CL),M(L)",2,126,-,-,26,69.2,-,1,-,6.87
Daniel Wass,Celta Vigo,30,"D(LR),M(CLR)",31(5),2706,5,1.1,42.4,80.3,0.5,2.8,0.1,6.87
Bebé,Rayo Vallecano,28,"AM(LR),FW",27(7),2246,6,0.9,17.8,72.6,1.2,0.7,-,6.87
Miku,Rayo Vallecano,33,FW,18(4),1549,4,1.2,17.9,74.3,0.1,0.2,-,6.87
Víctor Sánchez,Espanyol,31,"D(LR),M(CL)",28(1),2315,6,0.8,34.4,79.3,0.2,1.8,0.2,6.87
Xabier Etxeita,Athletic Bilbao,31,D(C),28(2),2485,1,0.2,37.7,80.3,-,3.6,-,6.86
Kevin Gameiro,Sevilla,32,FW,22(9),2084,4,0.8,13.2,74.4,0.1,0.1,-,6.86
Steven Nzonzi,Sevilla,30,M(C),22(6),1847,1,0.4,33,79.9,0.2,1.6,-,6.86
Víctor Ruiz,Villarreal,30,D(C),32(3),2990,-,-,43.7,80.6,-,3.3,-,6.86
Anaitz Arbilla,Espanyol,32,D(CLR),7,630,-,0.9,46,78.6,0.4,3.6,-,6.85
Marc Bartra,Barcelona,28,D(CR),4(9),496,1,0.2,30,87.9,-,1.7,-,6.85
Quini,Rayo Vallecano,29,D(R),22(5),2048,1,0.3,26.3,69.4,0.3,1.2,-,6.85
Ricardo Costa,Granada,38,D(C),14,1250,-,0.2,31.3,79.9,-,3.2,-,6.84
Vitolo,Sevilla,29,M(CLR),23(5),2053,4,1.3,27.2,75,0.3,0.4,0.1,6.84
Sergi Enrich,Eibar,29,FW,25(13),2422,6,0.8,23,67.7,0.1,0.3,0.1,6.84
Miguel Torres,Malaga,33,D(CLR),22(1),1959,2,0.3,27.4,70,0.5,1.8,-,6.84
Jesús Gámez,Atletico Madrid,34,D(LR),7(3),727,-,0.5,25.1,74.9,0.5,1.4,0.1,6.84
Javi Varas,Las Palmas,36,GK,31,2711,-,-,34.2,57.2,-,8.5,-,6.84
Roberto Lago,Getafe,33,D(L),17,1371,2,0.6,28.9,78.5,0.5,1.3,-,6.83
Rubén Pérez,Granada,30,M(C),30(1),2484,2,0.7,43.4,77.5,0.3,5.2,-,6.83
Deyverson,Levante,28,FW,24(9),2166,1,0.8,19.4,55.2,0.1,0.2,0.1,6.83
Jan Oblak,Atletico Madrid,26,GK,38,3420,-,-,18.7,46.6,-,5.1,-,6.83
Pedro Mosquera,Deportivo La Coruna,31,M(C),37,3288,2,0.6,52.7,82.5,-,5.3,0.1,6.83
Íñigo Lekue,Athletic Bilbao,26,"D(LR),M(LR)",12(8),1158,-,0.6,23.3,75.5,0.7,1.1,-,6.83
Carlos Carmona,Sporting Gijon,31,AM(R),16(4),1224,3,1.3,27,73.8,0.5,0.5,-,6.82
Javi Fuego,Valencia,35,M(C),23(3),2047,-,0.4,48.2,85.2,-,3.1,-,6.82
Jonny,Celta Vigo,25,"D(CLR),M(L)",34(2),2960,4,0.6,42.1,83.5,0.2,1.9,-,6.82
Luis Hernández,Sporting Gijon,30,D(CR),36,3224,-,0.4,41.1,81.3,0.1,2.7,-,6.82
Álex Bergantiños,Deportivo La Coruna,34,M(C),20(2),1750,1,1,39.9,77.4,-,2.3,0.1,6.82
Javi Noblejas,Getafe,26,Defender,1,90,-,-,46,69.6,1,3,-,6.82
Jonathan dos Santos,Villarreal,29,M(CR),20(6),1762,1,1,34.2,81.5,0.8,1.8,0.1,6.82
Carlos Kameni,Malaga,35,GK,28,2467,1,-,23.3,60.2,-,7.8,-,6.82
Zouhair Feddal,Levante,29,D(C),28,2520,1,0.2,40.1,73.9,-,4.7,-,6.82
Razvan Rat,Rayo Vallecano,38,D(L),8(2),734,-,1.1,39.7,70.3,1.3,2.7,-,6.82
Egor Filipenko,Malaga,31,D(C),6(2),562,-,-,22.5,68.3,-,1.8,-,6.81
Toño,Levante,29,"D(L),M(L)",26(1),2387,1,0.7,33.9,71.8,0.7,2,-,6.81
Faycal Fajr,Deportivo La Coruna,30,M(CLR),31(7),2841,3,1.5,38.1,82.2,0.9,2.7,0.1,6.81
Carlos Vela,Real Sociedad,30,"M(CLR),FW",32(3),2765,4,1.4,29.9,79.3,0.8,1.6,0.2,6.81
Fernando Navarro,Deportivo La Coruna,37,D(CL),35,2961,2,0.3,35.9,75.4,0.1,2,-,6.81
Guillermo Ochoa,Malaga,33,GK,10(1),953,-,-,22.2,53.3,-,7.1,-,6.80
Iñaki Williams,Athletic Bilbao,25,"AM(CLR),FW",21(4),1639,3,0.6,15.9,65.3,0.4,0.4,-,6.80
Sergio Rico,Sevilla,25,GK,34,3060,-,-,25.1,60.8,-,7.1,-,6.80
Dani García,Eibar,29,DMC,35,3057,-,0.4,49.1,76.4,-,6.2,-,6.80
Momo,Las Palmas,36,AM(LR),15(8),1386,3,1,34.4,86.2,0.5,2,0.1,6.80
Jony,Sporting Gijon,27,AM(LR),33(3),2873,7,1.3,23.9,67.4,1.1,0.8,0.1,6.80
Celso Borges,Deportivo La Coruna,31,M(C),21(3),1910,2,1,40,79.7,0.1,2.3,-,6.80
Juanfran,Deportivo La Coruna,30,"D(R),M(R)",30(5),2683,2,0.6,30.6,74.3,0.5,1.5,-,6.80
Guilherme Siqueira,Valencia,33,D(L),14,1097,-,0.1,33,83.5,0.4,0.6,-,6.79
Joseba Zaldua,Real Sociedad,27,D(R),10(3),918,-,0.3,23.9,69.5,0.6,2.1,-,6.79
Isaac Cuenca,Granada,28,"D(R),M(LR)",8(4),788,2,0.5,17.8,85.5,0.3,0.3,0.1,6.79
Rubén Pardo,Real Sociedad,26,M(C),19(9),1788,7,1.6,36.8,81.6,1.6,3.6,0.1,6.79
Petros,Real Betis,30,M(CLR),27(3),2329,1,0.5,39.3,83.2,-,1.3,0.1,6.79
Rubén Castro,Real Betis,38,"AM(LR),FW",38,3378,4,0.8,24.9,75.2,0.2,0.7,-,6.79
Antonio Adán,Real Betis,32,GK,36,3213,-,0.1,28.5,38.7,-,7.1,-,6.78
Ager Aketxe,Athletic Bilbao,25,AM(C),2(1),186,-,0.7,25.3,78.9,1.3,1,-,6.78
Piti,Granada,38,M(CLR),5(3),416,2,1.6,15.4,58.5,1.3,0.4,-,6.78
André Gomes,Valencia,25,M(CLR),27(3),2381,3,0.9,43.1,81,0.2,2.6,0.1,6.78
Daniel Carriço,Sevilla,30,"D(C),DMC",11(3),1050,1,0.1,35,80.2,-,3.3,-,6.78
Joan Jordán,Espanyol,24,M(C),5(4),624,-,1,40.1,88.4,0.3,3.9,-,6.78
Toño,Rayo Vallecano,39,GK,10,808,-,-,26.3,67.3,-,7.3,-,6.78
Sergi Gómez,Celta Vigo,27,D(CR),29(2),2615,1,0.1,47.8,85.6,-,1.9,-,6.78
Borja Bastón,Eibar,26,FW,29(7),2581,3,0.5,16.6,69.1,0.1,0.2,-,6.78
Javi López,Espanyol,33,"D(R),DMC",28(3),2423,2,0.2,28.9,71.1,0.4,1.6,-,6.77
Juan Cala,Getafe,29,D(C),21(1),1910,1,0.2,35.6,74.3,-,4.8,-,6.77
Jean-Sylvain Babin,Granada,32,D(C),25,2236,-,-,32.5,82.2,-,3,-,6.77
Giuseppe Rossi,Levante,32,FW,15(2),1162,2,1.2,18,79.1,0.1,0.8,0.1,6.77
Nico Pareja,Sevilla,35,D(C),1(1),123,-,0.5,44.5,73,-,6.5,-,6.77
Mikel Oyarzabal,Real Sociedad,22,"AM(CLR),FW",16(6),1501,1,0.9,21.1,71.6,0.2,0.5,-,6.77
Vicente Gómez,Las Palmas,30,DMC,16(5),1461,1,0.3,47.6,87.8,-,1.3,-,6.77
Jorge Meré,Sporting Gijon,22,D(C),24(1),2174,-,-,31.3,76.9,-,2.2,-,6.77
Aleksandar Pantic,Eibar,27,D(C),18(2),1677,-,0.1,25,64.1,-,2.3,-,6.77
Diego Alves,Valencia,34,GK,13,1170,-,-,27.5,60.5,-,9.1,-,6.76
Juankar,Malaga,29,"D(L),M(L)",14(5),1247,2,0.8,23,76.2,0.4,0.4,-,6.76
Jeremy Mathieu,Barcelona,35,D(CL),12(9),1263,2,0.2,38,88,-,1,-,6.76
Ognjen Vranjes,Sporting Gijon,29,D(CR),10(1),916,-,0.1,24.6,68.3,-,1.1,-,6.76
Tana,Las Palmas,28,AM(CLR),26(1),2127,4,1.2,40.8,84.3,0.3,1.1,0.1,6.76
Zé Castro,Rayo Vallecano,36,D(C),22,1720,-,0.4,52.4,76.1,-,6.3,-,6.76
Aleix Vidal,Barcelona,29,"D(R),M(LR)",6(3),543,1,0.7,43.3,86.9,0.1,2,0.1,6.76
Juan Rodríguez,Getafe,37,M(C),30(2),2516,1,0.2,34.8,78.1,0.1,3.2,-,6.76
Rafinha,Barcelona,26,M(CR),3(3),281,-,1,30.5,84.2,-,0.3,-,6.76
Javi Guerra,Rayo Vallecano,37,FW,23(7),2092,-,0.6,21.1,74.9,-,0.4,-,6.75
Mauro Dos Santos,Eibar,29,D(C),30(1),2682,1,0.2,30.2,67.2,-,4.1,-,6.75
Xabi Prieto,Real Sociedad,35,M(CLR),27(9),2380,3,1,33.6,77.5,0.6,1.1,0.1,6.75
Thomas Partey,Atletico Madrid,26,"D(R),DMC,M(R)",3(10),433,1,0.5,15.3,78.4,0.2,0.8,-,6.74
Danilo,Valencia,23,DMC,16(3),1366,-,0.4,25.4,75.5,0.1,1.7,0.1,6.74
Munir El Haddadi,Barcelona,23,"AM(LR),FW",8(7),825,2,0.6,20.7,78.7,-,0.7,-,6.74
Paco Alcácer,Valencia,25,"AM(R),FW",25(9),2420,6,1,13.6,74.9,-,0.2,0.1,6.74
José Mari,Levante,31,DMC,10(2),802,-,0.3,34,77.9,-,3.3,-,6.74
Tito,Rayo Vallecano,33,D(CLR),29,2488,3,0.5,32.2,78.1,0.3,1.7,-,6.74
Alberto Lora,Sporting Gijon,32,D(R),26(5),2411,4,0.7,34.3,75.8,0.4,1.5,-,6.74
Pablo Hernández,Rayo Vallecano,34,M(CLR),24(3),1917,4,1.1,35.2,77.1,0.4,1.9,-,6.74
Óscar Duarte,Espanyol,30,"D(C),DMC",13(1),1196,-,0.1,31.1,72.6,-,3.1,-,6.74
Álvaro Cejudo,Real Betis,35,M(LR),21(9),1877,2,0.9,22.5,71.6,0.8,0.9,-,6.73
Álvaro Arbeloa,Real Madrid,36,D(LR),2(4),258,-,0.2,22.2,85,-,0.3,-,6.73
Diego González,Sevilla,24,D(CL),1(1),107,-,-,22.5,91.1,-,1.5,-,6.73
Arda Turan,Barcelona,32,AM(CLR),9(9),816,3,0.4,34.1,92.3,0.1,1.4,0.2,6.73
Iván Ramis,Eibar,34,D(C),21(2),1795,1,0.2,31.9,77.2,0.1,4,-,6.73
Marcos Angeleri,Malaga,36,D(CR),13,1112,-,0.2,26.8,80.2,-,2.4,-,6.72
Antonio Sanabria,Sporting Gijon,23,FW,27(2),2265,1,0.4,20.4,71.6,0.1,0.5,-,6.72
