Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Nick Viergever,PSV Eindhoven,29,"D(CL),DMC",34,3008,3,1,3,-,0.3,90,2.2,-,6.94
Arijanet Muric,NAC Breda,20,GK,1,90,-,-,-,-,-,80.8,-,-,6.94
Luigi Bruins,Excelsior,32,AM(CL),28(1),2317,6,5,4,1,0.8,79.5,1.5,3,6.94
Tom van Weert,FC Groningen,29,FW,2,162,-,1,-,-,2.5,65.9,7.5,-,6.93
Ridgeciano Haps,Feyenoord,26,D(L),6(3),521,-,-,-,-,0.6,85.3,1,-,6.93
Michel Vlap,SC Heerenveen,22,AM(CL),33(1),2820,16,4,2,-,1.9,75.9,1,3,6.93
Tino Susic,VVV-Venlo,27,M(C),25(2),2173,5,2,3,-,1.5,79.2,1.7,2,6.92
Jens Toornstra,Feyenoord,30,AM(CLR),28(4),2343,8,5,3,-,1.2,83,0.2,2,6.92
Nick Kuipers,FC Emmen,26,D(C),8(2),787,-,-,2,-,0.7,77.4,2.9,-,6.91
Patrick Joosten,VVV-Venlo,23,"AM(CLR),FW",21(9),1959,6,5,2,-,2,70,1,3,6.91
Willem Janssen,FC Utrecht,32,"D(C),M(C)",32,2866,6,-,8,-,1,85.6,2.9,1,6.90
Tim Matavz,Vitesse,30,FW,8(6),739,6,1,-,-,1.8,56.3,1.9,1,6.90
Sean Klaiber,FC Utrecht,24,"D(R),M(CR)",33,2965,2,5,4,1,1,76.6,1,2,6.90
Trent Sainsbury,PSV Eindhoven,27,D(C),2(3),233,-,-,1,-,0.4,93.7,2,-,6.90
Youssef El Jebli,De Graafschap,26,AM(CL),30(2),2691,10,7,6,-,2.1,75.2,1.1,3,6.90
Ritsu Doan,FC Groningen,21,AM(CLR),30,2634,5,3,3,1,2.5,71.4,0.3,2,6.90
Aaron Meijers,ADO Den Haag,31,"D(L),DMC",31,2742,2,1,8,-,0.2,73.5,2.2,1,6.89
Erick Gutiérrez,PSV Eindhoven,24,M(C),5(11),641,3,4,1,-,0.8,86.3,0.1,-,6.89
Bram van Polen,PEC Zwolle,33,D(CLR),22,1920,2,-,6,-,0.7,85,2.7,1,6.88
Mimoun Mahi,FC Groningen,25,"AM(CLR),FW",23(3),2021,7,6,2,-,2.2,75.2,1.3,2,6.88
Joël Veltman,Ajax,27,D(CR),4(5),480,1,-,3,-,0.3,82.3,2.1,1,6.88
Johnatan Opoku,VVV-Venlo,29,AM(CR),23(6),2145,5,5,1,-,1.7,66,3.8,1,6.88
Andrija Novakovich,Fortuna Sittard,22,FW,27(2),2355,9,2,-,-,1.6,63.4,4.5,3,6.88
Jake Clarke-Salter,Vitesse,21,D(C),28,2419,1,-,3,-,0.6,81.8,3.2,-,6.88
Jeffry Fortes,Excelsior,30,"D(R),DMC",31(1),2791,4,1,8,-,0.8,76.1,1.9,2,6.88
Sven van Beek,Feyenoord,24,D(C),21(1),1868,-,-,2,1,0.5,91.4,3.2,-,6.87
Jurgen Mattheij,Excelsior,26,D(C),32,2856,3,2,8,1,0.8,74,3.6,2,6.87
Lazaros Lamprou,Fortuna Sittard,21,AM(L),19(5),1807,7,6,3,-,2.3,75.5,0.7,2,6.87
Mohammed Osman,Heracles,26,DMC,28(3),2575,5,3,5,-,1.5,84.4,0.6,-,6.87
Nicolai Jørgensen,Feyenoord,28,FW,15(9),1409,7,2,-,1,1.9,77.5,1.9,3,6.87
Danny Bakker,ADO Den Haag,24,"D(C),DMC",24,2053,2,1,4,-,1.1,76,1.8,-,6.87
Adrián Dalmau,Heracles,25,FW,27(4),2395,19,3,9,-,2.1,66.3,1.4,2,6.87
Mike te Wierik,FC Groningen,27,D(CR),33,2956,-,1,5,-,0.3,80.7,2,1,6.87
Vangelis Pavlidis,Willem II,20,AM(L),9(5),880,5,3,-,-,2,70,2.9,-,6.87
Sander van de Streek,FC Utrecht,26,"AM(CL),FW",26(7),2370,8,2,2,-,2.3,68.7,2.7,2,6.86
Marco Bizot,AZ Alkmaar,28,GK,34,3060,-,-,-,-,-,64.1,0.4,1,6.86
Simon Gustafson,FC Utrecht,24,AM(C),33,2786,8,6,4,1,1.2,82.5,1,1,6.86
Jean-Christophe Bahebeck,FC Utrecht,26,"AM(LR),FW",8(4),692,3,2,3,-,2,69.2,1.9,1,6.86
Tim Handwerker,FC Groningen,21,D(L),31,2686,-,2,3,-,0.5,63.2,0.8,-,6.86
Vyacheslav Karavaev,Vitesse,24,D(R),33,2936,1,7,2,-,0.8,78.1,0.7,-,6.85
Ryan Koolwijk,Excelsior,33,M(C),32,2779,3,1,5,-,1.1,81.9,1.7,-,6.85
Bart van Hintum,Heracles,32,D(L),21(3),1916,1,1,6,-,0.8,79.1,1.3,-,6.85
Navarone Foor,Vitesse,27,M(CLR),27(3),2266,5,4,7,-,1.2,80.7,0.6,-,6.85
Janis Blaswich,Heracles,28,GK,33,2926,-,-,1,-,-,63.1,0.5,3,6.85
Alexander Büttner,Vitesse,30,"D(L),M(L)",26(2),2283,2,4,7,1,1.1,77.3,0.8,-,6.85
Glenn Bijl,FC Emmen,23,"D(R),DMC",32,2868,2,4,8,1,1.8,81.8,1.4,1,6.85
Charlison Benschop,De Graafschap,29,FW,12(2),974,3,-,1,-,1.9,62.3,6.1,-,6.84
Oussama Darfalou,Vitesse,25,FW,14(11),1279,7,2,2,-,1.9,60,3.1,2,6.84
Donyell Malen,PSV Eindhoven,20,Forward,6(25),968,10,4,4,-,1.3,80.2,0.3,2,6.83
Cuco Martina,Feyenoord,29,D(CLR),11,918,-,-,-,-,-,89.2,1.8,-,6.83
André Onana,Ajax,23,GK,33,2921,-,-,3,-,-,75.7,0.2,1,6.82
Mitchell te Vrede,NAC Breda,27,FW,28(2),2522,10,-,5,-,2.9,69.3,5.1,3,6.82
Alessandro Damen,Excelsior,29,GK,20(3),1907,-,-,-,-,-,61.7,0.2,2,6.82
Nick Kuipers,ADO Den Haag,26,D(C),5(3),522,1,-,1,-,0.8,66.7,3,-,6.82
Gustavo Hamer,PEC Zwolle,22,M(C),20(3),1733,-,1,4,-,1.7,83.6,0.9,1,6.82
Daniel Høegh,SC Heerenveen,28,D(C),31,2646,2,1,4,-,0.7,83.9,3.7,-,6.81
Max Clark,Vitesse,23,D(L),18(5),1660,1,4,4,1,0.9,69,1.5,1,6.81
Michal Sadilek,PSV Eindhoven,20,M(C),7(4),654,1,1,3,-,0.5,88.2,1.3,-,6.81
Roy Beerens,Vitesse,31,"AM(CLR),FW",12(4),1033,1,4,-,-,1.3,76.4,-,1,6.81
Kik Pierie,SC Heerenveen,18,D(CL),31,2678,2,3,3,-,0.2,81.8,1.9,-,6.81
Dario Van den Buijs,Heracles,23,D(C),27(1),2403,1,1,4,-,0.3,78,1.8,-,6.80
Christian Kum,VVV-Venlo,33,D(CLR),18(6),1682,-,-,7,-,0.4,74.8,1.3,-,6.80
Thomas Bruns,FC Groningen,27,AM(CL),12(4),991,2,1,3,-,1.3,64.4,1.1,1,6.80
Khalid Karami,NAC Breda,29,D(LR),9(1),791,-,-,-,-,0.9,75,1,-,6.80
Rasmus Kristensen,Ajax,21,D(R),5(7),618,-,2,1,-,0.5,80.5,0.8,-,6.80
Lars Unnerstall,VVV-Venlo,28,GK,33,2900,-,-,2,-,-,56,0.2,2,6.79
Dorian Dervite,NAC Breda,30,D(C),5,378,-,-,1,-,0.4,69.6,2.6,-,6.79
Pelle Clement,PEC Zwolle,23,AM(C),17,1462,-,3,3,-,0.5,86.5,0.9,-,6.79
Michael Chacón,FC Emmen,25,"DMC,M(L)",29(2),2601,2,2,6,-,0.6,84.9,0.8,1,6.79
Maikel van der Werff,Vitesse,30,D(C),21(1),1857,3,2,4,2,0.8,77.7,3.6,2,6.79
Donis Avdijaj,Willem II,22,AM(L),14(1),1258,4,2,3,-,1.6,72.9,0.1,-,6.78
Thomas Lam,PEC Zwolle,25,"D(C),DMC",25,2170,4,1,5,-,0.6,87.8,1.9,-,6.78
Leeroy Owusu,De Graafschap,22,D(LR),34,3011,1,1,2,-,0.7,74.3,0.7,-,6.78
Richie Musaba,Vitesse,18,Midfielder,0(1),8,1,-,-,-,1,100,-,-,6.78
Pol Llonch,Willem II,26,M(C),29(1),2524,1,1,5,-,0.6,79.1,1.4,2,6.78
Thulani Serero,Vitesse,29,DMC,30(1),2706,1,2,3,-,0.5,89.3,0.3,-,6.78
Mitchell van Bergen,SC Heerenveen,19,AM(R),23(7),1960,7,2,-,-,1.2,74.6,0.3,2,6.78
Jurich Carolina,NAC Breda,20,D(L),6,524,-,-,-,-,0.7,70.3,1.7,1,6.78
Jan-Arie van der Heijden,Feyenoord,31,D(C),23(1),2035,2,-,2,-,0.5,93.2,1.6,-,6.78
Sergio Padt,FC Groningen,29,GK,34,3060,-,-,1,-,-,50.7,0.6,1,6.77
Kostas Lamprou,Ajax,27,GK,1(1),139,-,-,-,-,-,91.4,-,-,6.77
Karol Mets,NAC Breda,26,"D(C),DMC",15,1348,1,-,2,-,0.1,86.1,2.9,1,6.77
Menno Koch,NAC Breda,24,D(C),33,2970,2,-,6,-,0.5,84.2,3.4,2,6.77
Moreno Rutten,VVV-Venlo,26,"D(R),DMC",32,2761,1,1,5,1,0.4,69.9,1.2,-,6.77
Kenneth Vermeer,Feyenoord,33,GK,17(1),1511,-,-,-,-,-,68.4,0.1,2,6.76
Yuki Kobayashi,SC Heerenveen,27,AM(CR),25(4),2116,-,8,3,1,0.6,81.9,0.9,1,6.76
Vito van Crooij,PEC Zwolle,23,AM(LR),27(3),2398,9,3,7,1,1.8,70.6,1.5,2,6.76
Ron Vlaar,AZ Alkmaar,34,D(C),28,2392,2,-,3,-,0.6,88.4,2.4,-,6.76
Dave Bulthuis,SC Heerenveen,29,D(CL),13,1170,2,-,4,-,0.7,79.7,2.4,-,6.76
Morten Thorsby,SC Heerenveen,23,AM(CL),13(7),1177,5,2,4,2,0.9,81.4,3.5,1,6.76
Nicolas Isimat-Mirin,PSV Eindhoven,27,D(C),1,90,-,-,-,-,-,91.8,1,-,6.75
Justin Bijlow,Feyenoord,21,GK,16,1411,-,-,1,-,-,68.4,0.8,-,6.75
Branislav Ninaj,Fortuna Sittard,25,D(C),21,1810,3,-,9,1,0.7,76.1,2.2,-,6.74
Diego Palacios,Willem II,19,D(L),27,2375,-,3,5,1,0.4,79.1,0.4,-,6.73
Ben Rienstra,SC Heerenveen,29,"D(C),M(C)",30(2),2626,4,3,3,1,1.3,77.5,2,-,6.73
Rick Dekker,PEC Zwolle,24,"D(C),DMC",12(3),1036,1,-,3,-,0.3,84,0.8,-,6.72
Alexei Koselev,Fortuna Sittard,25,GK,34,3060,-,-,-,-,-,49.4,0.6,2,6.72
Amir Absalem,FC Groningen,22,D(L),2(1),163,-,1,1,-,0.3,66.7,0.3,-,6.72
Tomas Necid,ADO Den Haag,29,FW,16(10),1555,9,3,2,-,1.5,63.8,2.5,2,6.72
Django Warmerdam,FC Groningen,23,"D(L),M(CL)",21(3),1860,2,1,1,-,1,74.9,1.5,1,6.72
Paul Gladon,FC Groningen,27,FW,4(10),484,5,-,1,-,1.3,55.1,3.3,-,6.71
Emil Bergström,FC Utrecht,26,D(CL),6(3),613,1,1,-,-,1,82.6,2.4,-,6.71
Myron Boadu,AZ Alkmaar,18,FW,5(3),392,3,2,1,-,1.1,85.7,-,-,6.71
Thomas Buitink,Vitesse,19,FW,8(9),770,7,-,-,-,0.8,67.4,0.4,2,6.70
Mohamed Ihattaren,PSV Eindhoven,17,Midfielder,4(8),399,-,-,-,-,0.5,80.1,0.4,-,6.70
Alexander Merkel,Heracles,27,M(CR),30(2),2672,-,1,7,-,0.8,84.9,0.9,-,6.70
Jordy Tutuarima,De Graafschap,26,"D(L),DMC",31(1),2746,-,1,-,-,0.4,77.8,0.7,-,6.69
Finn Stokkers,Fortuna Sittard,23,FW,10(8),969,5,1,-,-,1.1,57.3,2.5,-,6.69
Bart Nieuwkoop,Feyenoord,23,D(R),6(7),727,-,-,1,1,0.8,81.4,1.7,-,6.69
Delano van Crooij,VVV-Venlo,28,Goalkeeper,1(1),160,-,-,-,-,-,53.3,0.5,-,6.69
Aras Özbiliz,Willem II,29,AM(R),10(4),883,1,2,2,-,1.6,74.4,0.3,-,6.69
Ahmed El Messaoudi,Fortuna Sittard,23,M(C),22(7),1903,5,2,2,-,1.1,81.8,1.1,-,6.69
Jeroen Zoet,PSV Eindhoven,28,GK,34,3060,-,-,1,-,-,73.4,0.4,-,6.68
Mikhail Rosheuvel,NAC Breda,28,"AM(CLR),FW",27(6),2463,5,6,1,-,0.6,75.8,0.2,1,6.68
Noa Lang,Ajax,20,Forward,0(3),45,-,1,-,-,0.7,81.5,0.3,-,6.68
Urby Emanuelson,FC Utrecht,33,"D(L),M(CLR)",21(3),1671,4,2,2,2,0.9,81.9,0.5,2,6.68
Mickey van der Hart,PEC Zwolle,25,GK,28(1),2510,-,-,1,-,-,69.3,0.3,1,6.68
Albert Gudmundsson,AZ Alkmaar,22,AM(R),14(11),1307,6,2,5,-,0.9,81,0.2,-,6.68
Elías Már Ómarsson,Excelsior,24,FW,21(2),1661,7,2,1,-,1.5,69.6,0.5,-,6.67
Kenneth Paal,PEC Zwolle,22,D(L),28(1),2535,-,3,5,-,0.4,82.7,0.8,-,6.67
Wilfried Kanon,ADO Den Haag,25,D(CL),29(1),2491,1,1,6,-,0.3,80.3,1.4,-,6.67
Nicklas Pedersen,FC Emmen,31,FW,7(5),597,4,1,1,-,1.1,68.6,2.2,-,6.67
Erik Palmer-Brown,NAC Breda,22,D(C),18,1576,1,-,1,-,0.2,85.6,2.5,1,6.67
Grad Damen,NAC Breda,21,Midfielder,3(1),300,-,-,-,-,1.3,76.1,1,-,6.67
Lerin Duarte,Heracles,28,"D(L),M(CR)",20(9),1811,6,1,5,-,1.4,79.3,0.7,2,6.66
Nils Röseler,VVV-Venlo,27,D(C),34,3060,1,1,3,-,0.3,78,2.4,-,6.66
Roel Janssen,VVV-Venlo,29,D(L),21(2),1728,-,-,4,1,0.1,65.5,0.7,-,6.66
Freek Heerkens,Willem II,29,"D(CLR),DMC",27(1),2413,1,1,6,1,0.3,78.3,2.2,1,6.66
José Rodríguez,Fortuna Sittard,24,"D(C),M(CR)",23(1),2005,2,2,6,2,0.5,84.6,1,1,6.65
Lucas Woudenberg,SC Heerenveen,25,D(L),24(2),2221,-,4,2,-,0.3,76.9,1,-,6.65
Ralf Seuntjens,VVV-Venlo,30,"AM(C),FW",24(5),2259,2,6,2,-,1.3,70.2,2.3,-,6.65
Iliass Bel Hassani,FC Groningen,26,AM(CLR),12(2),942,1,1,-,-,1.1,72,0.4,-,6.64
Yassine Azzagari,NAC Breda,17,Midfielder,0(1),45,-,-,-,-,-,89.5,-,-,6.64
