Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Sam Ricketts,Bolton,37,"D(CR),DMC",14(3),1389,-,0.4,23.4,61,0.8,1.9,-,6.90
Jonny Evans,Manchester United,31,D(CL),11(2),1006,-,0.3,44.8,84.2,-,3.2,0.1,6.90
John Mensah,Sunderland,36,"D(CL),DMC",15(3),1195,1,0.1,22.1,78.9,-,1.2,-,6.89
Jermaine Jenas,Tottenham,36,M(C),14(5),1320,1,1.1,46.2,87.7,0.1,4.5,0.1,6.89
Luke Young,Aston Villa,39,D(CR),23,2070,1,0.4,38.3,72.4,0.1,1.6,-,6.89
Bobby Zamora,Fulham,38,FW,9(5),758,5,1.4,20.9,70.6,0.1,0.2,0.1,6.89
Aleksandar Kolarov,Manchester City,33,"D(CL),M(L)",20(4),1717,-,1.1,32.9,77.1,1.6,1.2,-,6.89
Sandro,Tottenham,30,M(C),11(8),1076,-,0.6,31.2,82,0.3,2.1,-,6.89
Míchel Salgado,Blackburn,43,D(R),36,3034,2,0.6,22,65.6,0.4,1.1,-,6.88
William Gallas,Tottenham,41,D(C),26(1),2339,-,0.2,34.1,86.6,-,4.1,-,6.88
Nenad Milijas,Wolverhampton Wanderers,36,"AM(CR),FW",20(3),1720,3,1.1,42.8,76.8,0.5,2.5,0.3,6.88
Jerome Thomas,West Bromwich Albion,36,M(L),32(1),2590,5,1.2,24.2,85.6,0.5,0.3,0.1,6.88
Daniel Agger,Liverpool,34,D(C),12(4),1091,-,0.2,29.1,75.9,0.2,1.4,-,6.87
James Hurst,West Bromwich Albion,27,Defender,1,90,-,2,40,67.5,1,2,-,6.87
Gary O'Neil,West Ham,36,M(CR),7(1),592,1,1.3,27.3,76.6,0.6,1.5,-,6.87
Gary Taylor-Fletcher,Blackpool,38,"M(CL),FW",29(2),2459,4,1.4,31.8,70,0.2,0.9,0.1,6.87
Steven Pienaar,Tottenham,37,M(CL),5(3),494,1,1.1,28.9,80.1,0.5,0.6,-,6.86
Salomon Kalou,Chelsea,33,"AM(CLR),FW",16(15),1563,3,1.4,19.7,84.1,0.2,0.4,0.3,6.86
Asamoah Gyan,Sunderland,33,FW,20(11),2000,4,1.1,22.5,65.1,0.3,0.7,0.2,6.86
Sebastien Bassong,Tottenham,32,D(C),7(5),823,-,-,22.9,77.1,-,0.4,-,6.85
Stéphane Sessegnon,Sunderland,35,M(CLR),13(1),1182,3,1.2,31.5,78,0.1,0.7,0.1,6.85
Dekel Keinan,Blackpool,34,D(CL),3(3),395,-,-,24.2,86.9,-,2.5,-,6.85
Ryan Shawcross,Stoke,31,D(C),36,3196,-,0.1,19.1,59.8,-,1.8,-,6.85
Petr Cech,Chelsea,37,GK,38,3420,1,0.1,26,52.8,-,7.3,-,6.85
Kieran Richardson,Sunderland,34,"D(L),M(CL)",23(3),2041,3,1.1,31.7,74.4,0.4,1.6,0.1,6.85
Ahmed El Mohamady,Sunderland,31,"D(R),M(R)",26(10),2455,2,1.2,29.8,69.4,1.3,0.9,-,6.85
Mario Balotelli,Manchester City,28,FW,12(5),1092,-,0.5,17.5,77.1,0.2,0.6,0.1,6.85
Jonas Olsson,West Bromwich Albion,36,D(C),24,2125,3,0.3,29.8,77.5,-,2.4,-,6.85
Aaron Lennon,Tottenham,32,M(LR),25(9),2366,2,1.9,24.5,84.4,1,0.6,0.1,6.84
Michael Carrick,Manchester United,37,"D(C),M(C)",23(5),1976,-,0.6,51.1,86.6,-,4.4,-,6.84
Dickson Etuhu,Fulham,37,"AM(CR),FW",23(5),1970,2,0.8,33.9,80,0.1,0.8,-,6.84
Matt Upson,West Ham,40,D(C),30,2475,-,0.1,25,78.3,-,2.5,-,6.83
Stephen Warnock,Aston Villa,37,"D(CL),M(L)",19,1710,2,0.6,40.9,78.7,0.3,2.2,-,6.83
Martin Skrtel,Liverpool,34,D(C),38,3420,1,0.2,37.5,81,0.1,3.6,-,6.83
Peter Crouch,Tottenham,38,FW,20(14),1935,6,0.8,20.9,64.8,-,0.1,-,6.83
Ali Al Habsi,Wigan,37,GK,34,3060,1,0.1,25.9,44.4,-,6.6,-,6.82
Ryan Bertrand,Chelsea,29,"D(CL),M(L)",0(1),33,1,1,21,90.5,1,-,-,6.82
José Bosingwa,Chelsea,36,D(CLR),13(7),1263,-,0.9,35,82.9,0.8,1.4,-,6.82
Stephen Kelly,Fulham,35,D(LR),8(2),729,-,0.6,27.5,71.3,0.5,0.7,-,6.82
Maynor Figueroa,Wigan,36,"D(CL),M(L)",32(1),2812,2,0.5,39.5,70.1,0.5,2.1,-,6.82
Wes Brown,Manchester United,39,D(C),4(3),427,-,0.7,33.6,77,0.4,1.4,-,6.82
Fabricio Coloccini,Newcastle United,37,D(C),35,3082,-,0.2,33.4,81.9,0.1,2.5,-,6.81
Christophe Berra,Wolverhampton Wanderers,34,D(C),31(1),2790,-,0.2,28.3,70.2,-,1.4,-,6.81
Sotirios Kyrgiakos,Liverpool,39,"D(L),DMC",10(6),1080,-,0.2,24.6,73.6,-,1.6,-,6.81
Danny Gabbidon,West Ham,39,D(C),24(2),2181,-,0.3,31,82,-,3.4,-,6.81
Damien Duff,Fulham,40,M(LR),22(2),1884,2,1.2,26.5,83.8,1.5,0.6,0.1,6.81
Steven Taylor,Newcastle United,33,D(C),12(2),1008,1,0.2,23.9,82.7,0.1,1.7,-,6.81
Wojciech Szczesny,Arsenal,29,GK,15,1350,-,-,21.5,48.1,-,3.9,-,6.80
Kevin Doyle,Wolverhampton Wanderers,35,"M(C),FW",25(1),2188,4,1.1,26.4,75,0.4,0.3,0.2,6.80
George Elokobi,Wolverhampton Wanderers,33,D(C),23(4),2120,2,0.4,38.8,70.1,0.3,1.9,0.1,6.80
Carlo Cudicini,Tottenham,45,GK,8,720,-,-,23.4,75.9,-,7,-,6.80
Andy Wilkinson,Stoke,34,D(LR),21(1),1752,1,0.2,19.5,56.5,0.2,1.2,-,6.80
Steed Malbranque,Sunderland,39,M(C),24(11),2176,3,1.1,27.2,81,0.3,0.8,0.3,6.79
Mark Schwarzer,Fulham,46,GK,31,2790,-,0.1,30.4,45.5,-,9.3,-,6.79
Louis Saha,Everton,40,"AM(L),FW",14(8),1372,-,1,17,76,-,0.3,-,6.79
Alex Baptiste,Blackpool,33,D(CLR),19(2),1729,-,0.2,31.5,76.4,0.2,2,-,6.78
Paul Scholes,Manchester United,44,M(C),16(6),1536,3,0.9,61.7,90.2,0.1,8.4,0.2,6.78
Paul Robinson,Bolton,40,D(CL),35,3150,-,0.4,40,75.8,0.3,2.5,-,6.78
