Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Heiko Westermann,Hamburger SV,35,D(CLR),27(1),2308,-,-,4,-,0.5,76.3,4.2,1,7.12
Eugen Polanski,Hoffenheim,33,M(C),29(1),2541,5,-,7,-,1.3,76,1.3,-,7.12
Filip Kostic,VfB Stuttgart,26,"M(LR),FW",15(13),1514,3,5,5,-,1.7,63.1,0.5,3,7.11
Álvaro Domínguez,Borussia M.Gladbach,30,D(CL),23(1),2115,-,3,3,-,0.5,84.4,3,-,7.10
Gojko Kacar,Hamburger SV,32,"D(C),M(C)",7(6),714,3,-,4,-,0.8,74.1,2.4,4,7.10
Paul Verhaegh,Augsburg,35,"D(R),M(R)",27,2339,6,1,4,1,0.7,80.5,1.9,-,7.10
Dante,Bayern Munich,35,D(C),21(6),1997,-,-,5,-,0.3,91.4,3.3,-,7.10
Tobias Werner,Augsburg,33,AM(L),30(1),2634,8,4,8,-,2.2,58.8,1.6,3,7.10
Ralf Fährmann,Schalke 04,30,GK,25,2250,-,-,-,-,-,58.3,0.6,-,7.10
Hiroshi Kiyotake,Hannover 96,29,AM(CLR),29(3),2536,5,5,2,-,1,78.6,0.5,2,7.09
Roman Bürki,Freiburg,28,GK,34,3060,-,-,2,-,-,58.1,0.5,3,7.09
Marco Russ,Eintracht Frankfurt,33,"D(C),DMC",26,2224,2,3,5,-,0.7,74.4,4.1,1,7.08
Nils Petersen,Freiburg,30,FW,5(7),507,9,1,-,-,1.3,68.8,2.8,1,7.08
Yann Sommer,Borussia M.Gladbach,30,GK,34,3060,-,-,1,-,-,74.8,0.5,1,7.08
David Kinsombi,Eintracht Frankfurt,23,"D(C),DMC",2,153,-,-,1,-,-,69,0.5,-,7.07
Pierre-Emerick Aubameyang,Borussia Dortmund,30,"M(LR),FW",31(2),2723,16,6,4,-,3.1,66.7,1.6,-,7.07
Niko Bungert,Mainz 05,32,D(C),23(3),2124,1,1,4,-,0.7,85.7,4.3,1,7.07
Sebastian Rudy,Hoffenheim,29,"D(R),M(CR)",25(4),2244,4,3,9,-,0.8,77.4,1.3,2,7.07
Jonathan Schmid,Freiburg,29,"D(R),M(LR)",32(1),2826,4,8,2,-,1.8,76.5,1.3,-,7.07
Makoto Hasebe,Eintracht Frankfurt,35,"D(CR),M(CR)",33,2853,-,2,6,-,0.1,77.2,2.4,-,7.06
Daniel Ginczek,VfB Stuttgart,28,FW,14(4),1251,7,2,3,-,1.9,63,4.7,1,7.06
Christian Gentner,VfB Stuttgart,33,M(CLR),33,2941,5,3,6,-,1.3,71.5,1.9,2,7.06
Fabian Lustenberger,Hertha Berlin,31,"D(C),M(C)",26(1),2189,-,-,3,1,0.1,79.1,2.6,-,7.06
Franco Di Santo,Werder Bremen,30,"AM(CLR),FW",26,2300,13,2,8,-,2.1,60.1,3.5,1,7.06
Thiago Alcántara,Bayern Munich,28,M(C),2(5),281,-,-,-,-,0.6,88.7,1.3,-,7.05
Oliver Kirch,Borussia Dortmund,36,"D(R),M(C)",5(1),434,-,1,-,-,1,83,0.7,-,7.05
Daniel Brückner,Paderborn,38,D(L),23,2023,-,1,5,-,0.3,75,1.1,-,7.05
Felipe Santana,Schalke 04,33,"D(C),DMC",3(1),306,-,-,-,-,0.8,73.8,4,-,7.05
Johan Djourou,Hamburger SV,32,D(C),32,2805,-,-,4,1,0.2,83.8,4.3,1,7.05
Shinji Okazaki,Mainz 05,33,"AM(CLR),FW",31(1),2788,12,3,4,-,1.8,71.2,3.3,2,7.04
Ja-Cheol Koo,Mainz 05,30,M(CLR),16(7),1487,5,1,3,-,1.5,76.2,3.9,1,7.04
Marc Stendera,Eintracht Frankfurt,23,M(C),21(5),1849,3,5,6,-,0.9,71.4,1,-,7.04
Sead Kolasinac,Schalke 04,26,"D(L),M(L)",6,454,-,-,2,-,0.7,79.3,2.8,-,7.04
John Brooks,Hertha Berlin,26,D(C),24(3),2186,1,-,5,-,0.6,75.2,3.6,2,7.03
Tobias Strobl,Hoffenheim,29,"D(CR),DMC",26(4),2440,-,1,6,-,0.2,82.1,3.1,1,7.02
Sebastian Prödl,Werder Bremen,32,D(C),20(2),1742,3,1,5,-,0.9,70.9,3.9,1,7.02
Pierre-Emile Højbjerg,Augsburg,23,M(C),10(6),1008,2,3,4,-,1.7,80.1,1.8,1,7.02
Júnior Díaz,Mainz 05,35,D(CL),17(2),1434,1,1,4,-,0.8,72.9,3.9,1,7.01
Martin Harnik,VfB Stuttgart,32,"M(LR),FW",26(2),2246,9,2,1,2,1.9,66.6,4.1,1,7.01
Mitchell Weiser,Bayern Munich,25,"D(R),M(R)",8(5),778,1,4,2,-,0.5,81,0.8,1,7.00
Joel Matip,Schalke 04,27,D(C),17(4),1546,2,-,2,1,0.8,81.6,3.1,-,7.00
Assani Lukimya,Werder Bremen,33,D(C),18(4),1744,2,2,1,-,0.6,64.7,3.4,-,7.00
Oscar Wendt,Borussia M.Gladbach,33,"D(L),M(L)",25(1),2295,2,1,4,-,0.3,82.8,1,1,7.00
Daniel Schwaab,VfB Stuttgart,30,"D(CR),DMC",27(4),2347,1,-,1,1,0.4,73.9,3.4,1,6.99
Clemens Fritz,Werder Bremen,38,"D(R),DMC",26(1),2255,-,2,4,1,0.6,63.9,1.4,1,6.99
Stefan Mitrovic,Freiburg,29,D(C),13(1),1138,-,-,2,1,0.4,82.5,3.9,2,6.98
Timothy Chandler,Eintracht Frankfurt,29,"D(R),M(LR)",25(4),2332,1,1,7,-,0.5,70.6,2.6,-,6.97
Roel Brouwers,Borussia M.Gladbach,37,D(C),15(5),1413,1,-,2,-,0.3,92,2.4,1,6.97
Roman Neustädter,Schalke 04,31,"D(C),M(C)",28(1),2416,2,-,6,-,0.5,84.1,3.3,1,6.97
Simon Rolfes,Bayer Leverkusen,37,M(C),13(11),1231,1,1,4,-,0.5,68.1,2.6,1,6.97
Marco Höger,Schalke 04,29,"D(CR),M(C)",26,2081,1,2,11,-,0.8,76.4,2.2,1,6.97
Sebastian Boenisch,Bayer Leverkusen,32,D(CL),9(3),869,-,1,2,-,1.3,60.4,4,-,6.97
Sven Bender,Borussia Dortmund,30,"D(C),M(C)",14(6),1253,-,-,2,-,0.3,79.5,2.7,1,6.97
Jens Wemmer,Paderborn,33,D(R),17(4),1494,1,1,-,-,0.8,65.9,2.7,2,6.97
Tin Jedvaj,Bayer Leverkusen,23,D(CLR),18(4),1663,2,1,6,1,0.7,71.8,2.5,-,6.97
Josuha Guilavogui,Wolfsburg,28,M(C),21(6),1775,1,-,4,1,0.6,83,2,1,6.96
Constant Djakpa,Eintracht Frankfurt,32,D(L),5(1),437,-,-,1,-,0.3,60.6,1.8,-,6.96
Marcel Ndjeng,Hertha Berlin,37,"D(R),DMC,M(R)",11(5),1107,1,2,2,-,0.6,62.1,1.7,1,6.96
Rafa,Paderborn,34,D(CL),16,1391,-,-,2,-,0.3,78.2,2.6,-,6.96
Kevin Vogt,FC Cologne,27,"D(CR),M(C)",30(2),2689,1,3,8,-,0.7,79,3.3,1,6.96
Marvin Bakalorz,Paderborn,29,M(C),26(3),2177,1,2,2,1,1.1,71.4,4.1,-,6.95
Tranquillo Barnetta,Schalke 04,34,M(CLR),10(12),1071,3,4,-,-,0.9,72.1,0.8,1,6.95
Valon Behrami,Hamburger SV,34,M(C),22,1911,-,-,7,1,0.5,79.9,2.5,-,6.94
Koen Casteels,Werder Bremen,27,GK,6,540,-,-,-,-,-,61.4,0.8,-,6.94
Pawel Olkowski,FC Cologne,29,"D(R),M(R)",24(3),2110,2,2,1,1,0.8,66.1,2,1,6.94
Mergim Mavraj,FC Cologne,33,D(C),11(4),1033,-,-,1,-,0.1,86.6,2.9,-,6.94
Klaas-Jan Huntelaar,Schalke 04,35,FW,27(1),2438,9,3,5,1,2.6,73.7,2.1,2,6.94
Stefan Thesker,Hannover 96,28,"D(CL),DMC",1(1),96,-,-,-,-,-,53.6,3.5,-,6.94
Oliver Sorg,Freiburg,29,"D(CLR),DMC",24(1),2057,1,3,3,-,1,72.7,0.8,2,6.93
Ivo Ilicevic,Hamburger SV,32,M(CLR),9,748,-,-,1,-,1.8,74.2,1.7,-,6.93
Admir Mehmedi,Freiburg,28,"M(CLR),FW",26(2),2252,4,1,3,-,1.8,73.2,1.1,2,6.93
Marcel Risse,FC Cologne,29,"D(R),M(CLR)",26(3),2267,5,3,3,-,2.1,60.1,0.2,2,6.92
Per Skjelbred,Hertha Berlin,32,M(CR),26,2239,-,2,8,-,0.5,76.8,2,-,6.92
Marwin Hitz,Augsburg,31,GK,25,2250,1,-,1,-,-,65.9,0.5,-,6.92
Hiroki Sakai,Hannover 96,29,"D(LR),M(R)",27,2324,-,-,5,1,-,70.3,2.7,2,6.92
Marc-Oliver Kempf,Freiburg,24,D(C),10(3),918,2,-,3,-,0.3,76.1,3.4,-,6.92
Atsuto Uchida,Schalke 04,31,"D(R),M(R)",18(1),1675,-,3,2,-,0.2,68.2,1.5,-,6.92
Dominic Maroh,FC Cologne,32,D(C),26(3),2370,1,-,2,-,0.4,86.3,2,2,6.92
Jefferson Farfán,Schalke 04,34,"M(CR),FW",6(3),565,-,-,2,-,1,69.9,1.4,-,6.91
René Adler,Hamburger SV,34,GK,11(1),1058,-,-,1,-,-,60.4,0.6,-,6.91
Erik Durm,Borussia Dortmund,27,"D(LR),M(LR)",18,1585,1,1,2,-,0.6,70.4,1.9,-,6.91
Philipp Lahm,Bayern Munich,35,"D(R),DMC",17(3),1408,2,2,-,-,0.7,89,0.5,-,6.90
Park Joo-Ho,Mainz 05,32,"D(L),DMC",16,1413,-,-,2,-,0.5,78.6,1.8,-,6.90
Serey Dié,VfB Stuttgart,34,DMC,12(1),981,-,2,5,-,0.7,79,0.2,-,6.90
Ivica Olic,Wolfsburg,39,"AM(LR),FW",12(2),966,5,-,-,-,1.9,67.4,2.2,-,6.90
Kevin Wimmer,FC Cologne,26,D(C),32,2880,-,-,4,1,0.1,75.2,2.9,-,6.90
Timo Horn,FC Cologne,26,GK,33,2970,-,-,-,-,-,56.3,0.5,3,6.90
Daniel Baier,Augsburg,35,M(C),34,3055,1,1,4,-,0.9,78.3,1.6,1,6.90
Halil Altintop,Augsburg,36,"AM(C),FW",30(1),2475,3,4,1,-,1.2,76.9,1.2,1,6.90
Carlos Zambrano,Eintracht Frankfurt,29,D(C),16(1),1450,-,1,7,1,0.3,78.5,4.2,1,6.90
Vladimir Darida,Freiburg,28,"M(C),FW",27(4),2422,6,1,3,1,1.6,79.2,1.1,-,6.89
Peter Pekarík,Hertha Berlin,32,D(LR),30,2652,-,1,3,-,0.2,69.8,2.2,1,6.88
Mohamed Gouaida,Hamburger SV,26,AM(LR),8(3),682,-,-,1,-,0.6,71.8,1.2,-,6.88
Nikolce Noveski,Mainz 05,40,D(C),7(2),594,-,1,2,-,0.3,84.1,4.6,-,6.88
Andreas Beck,Hoffenheim,32,"D(LR),M(R)",33,2967,-,1,5,-,0.5,77.4,2.4,-,6.88
André Hahn,Borussia M.Gladbach,28,"AM(R),FW",15(8),1312,3,2,3,-,1.6,62.5,3.8,1,6.88
Gotoku Sakai,VfB Stuttgart,28,"D(LR),DMC,M(R)",17(1),1441,1,1,-,-,0.5,74.7,1.1,-,6.88
Jaroslav Drobny,Hamburger SV,39,GK,23,1999,-,-,4,1,-,45.2,0.5,1,6.87
Florian Klein,VfB Stuttgart,32,"D(LR),M(R)",33(1),2953,3,2,2,-,0.6,74.7,1.8,-,6.87
Julian Korb,Borussia M.Gladbach,27,"D(R),M(R)",23(1),2076,-,1,3,-,0.2,79.4,1,-,6.87
Julian Draxler,Schalke 04,25,AM(CLR),8(7),774,2,1,1,1,1.5,76.6,1.7,1,6.86
Lukas Rupp,Paderborn,28,M(CR),21(10),2012,4,1,3,-,1,78.1,0.9,3,6.86
Änis Ben-Hatira,Hertha Berlin,30,M(CLR),11(4),837,4,4,3,-,1.5,65.9,1.3,1,6.86
Anderson,Eintracht Frankfurt,31,D(C),19(3),1686,-,1,5,-,0.3,83.8,2.8,-,6.86
Manuel Neuer,Bayern Munich,33,GK,31(1),2866,-,-,1,-,-,86.5,0.2,-,6.86
Matthias Lehmann,FC Cologne,36,M(C),32,2846,5,1,9,-,0.8,79.8,1.3,-,6.86
Dominik Kohr,Augsburg,25,DMC,19(7),1640,1,1,10,-,0.7,75.5,1.9,-,6.85
Christian Günter,Freiburg,26,"D(L),M(L)",32(2),2886,1,2,4,-,0.8,69.7,0.9,1,6.85
Philipp Bargfrede,Werder Bremen,30,"D(C),M(C)",15(1),1256,1,-,3,-,1.3,68.5,1.9,1,6.85
Michael Heinloth,Paderborn,27,D(R),19(2),1638,-,1,2,1,0.3,64.5,1.8,-,6.84
Ibrahima Traoré,Borussia M.Gladbach,31,AM(LR),8(16),844,2,1,3,-,1,75.5,-,-,6.84
Pavel Krmas,Freiburg,39,D(C),22,1939,-,-,6,1,0.5,79.5,5.1,-,6.84
Antonio Rüdiger,VfB Stuttgart,26,D(CR),18(1),1605,-,1,2,-,0.9,83.4,3.1,1,6.83
Moritz Stoppelkamp,Paderborn,32,"M(CLR),FW",25(2),2180,4,2,5,-,2.4,76.7,0.5,1,6.83
Patrick Ziegler,Paderborn,29,"D(C),DMC",23(4),1948,-,-,7,-,0.4,76.4,3.1,-,6.82
Fabian Johnson,Borussia M.Gladbach,31,"D(LR),M(CLR)",15(9),1424,1,4,-,-,0.8,81.2,1.3,2,6.82
Sebastian Kehl,Borussia Dortmund,39,M(C),20(1),1695,-,1,3,-,0.4,81.9,2.7,-,6.82
Sebastian Rode,Bayern Munich,28,"D(R),M(C)",8(14),959,2,5,2,-,0.6,87.8,0.7,1,6.82
Alexandru Maxim,VfB Stuttgart,28,AM(CL),15(10),1414,2,6,3,-,1.1,79.7,0.8,2,6.82
Christian Schulz,Hannover 96,36,"D(CL),DMC",31,2647,1,-,7,-,0.5,79.5,5,1,6.82
Felix Klaus,Freiburg,26,AM(CLR),27(4),2226,2,2,5,-,1.3,67.2,1.5,-,6.81
Tolgay Arslan,Hamburger SV,28,M(C),8(5),653,-,1,2,-,0.4,79.4,1.2,-,6.81
Markus Feulner,Augsburg,37,"D(LR),M(CR)",23(2),1972,1,-,7,-,1.2,69.3,1.7,1,6.81
Davie Selke,Werder Bremen,24,FW,22(8),1990,9,3,4,-,1.4,57.2,3.7,2,6.81
Stefan Reinartz,Bayer Leverkusen,30,M(C),9(8),971,1,-,2,-,0.9,73.8,1.5,-,6.81
Lewis Holtby,Hamburger SV,28,M(CLR),17(5),1588,-,2,5,-,1,70.2,1.8,-,6.81
Yunus Malli,Mainz 05,27,"AM(CL),FW",24(7),2183,6,4,2,-,1.5,76.1,0.5,-,6.81
Genki Haraguchi,Hertha Berlin,28,M(CLR),14(7),1383,1,-,2,-,1.1,70.9,1.1,-,6.81
Alejandro Gálvez,Werder Bremen,30,"D(C),M(C)",18(2),1538,1,1,6,-,0.7,74,2.5,1,6.80
Diego Benaglio,Wolfsburg,35,GK,31,2790,-,-,2,-,-,66,0.7,-,6.80
Aleksandar Ignjovski,Eintracht Frankfurt,28,"D(LR),M(CL)",14(6),1210,-,2,4,-,0.3,74.3,1.3,-,6.80
Daniel Brosinski,Mainz 05,30,"D(LR),M(LR)",32,2774,-,3,4,1,0.7,66.4,2.5,-,6.80
Hong Jeong-Ho,Augsburg,29,D(C),10(7),939,-,-,2,-,0.4,81.6,4.5,1,6.80
Janek Sternberg,Werder Bremen,26,D(L),12(2),1017,-,-,2,-,0.6,64,2.2,-,6.80
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",19(3),1654,-,1,4,-,0.5,72.2,2.1,-,6.79
