Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Gaël Kakuta,Rayo Vallecano,28,M(CLR),35,3061,5,7,1,-,2,72.6,0.9,-,7.03
Alberto Lopo,Deportivo La Coruna,39,D(C),30,2676,2,-,14,1,0.3,76.3,2.9,2,7.02
Martín Montoya,Barcelona,28,D(LR),6(2),588,-,-,-,-,0.4,88.2,0.9,-,7.02
Dídac Vilá,Eibar,30,D(L),12(3),1111,-,-,3,-,0.3,69.5,1.9,1,7.02
Miranda,Atletico Madrid,34,D(C),23,2028,3,1,8,1,0.3,77,2.3,2,7.02
Rene Krhin,Cordoba,29,DMC,14,1204,-,-,4,-,0.6,83.8,4.9,1,7.02
Eduard Campabadal,Cordoba,26,D(R),12(2),1087,-,-,4,1,0.3,72.5,0.9,1,7.01
Carlos Bacca,Sevilla,32,FW,31(6),2568,20,6,4,-,1.9,67.5,1.1,4,7.01
Juanfran,Deportivo La Coruna,30,"D(R),M(R)",33(1),2707,1,1,4,-,1,72.9,1.3,2,7.01
Éver Banega,Sevilla,31,M(C),23(11),2199,3,3,11,-,1,82.5,0.2,1,7.00
Gustavo Cabral,Celta Vigo,33,D(C),35,3083,1,-,9,1,0.5,85.8,2.3,-,7.00
Allan Nyom,Granada,31,"D(LR),M(R)",34,2989,1,-,9,-,0.3,75.3,1,-,7.00
Antonio Barragán,Valencia,32,"D(R),M(R)",32(2),2846,1,2,8,-,0.1,81.2,1.1,-,7.00
Joseba Zaldua,Real Sociedad,27,D(R),21(2),1919,-,2,5,-,0.3,70.2,2.3,1,6.99
Celso Borges,Deportivo La Coruna,31,M(C),17,1474,3,-,6,-,1.4,81.7,2.4,2,6.99
Mikel Balenziaga,Athletic Bilbao,31,D(L),33,2921,-,-,9,-,0.3,71.7,1.5,-,6.99
Sofiane Feghouli,Valencia,29,M(CR),20(13),1934,6,6,5,-,1,74.4,1,3,6.98
Jaime,Eibar,38,GK,5,450,-,-,-,-,-,47.7,0.6,-,6.98
Augusto Fernández,Celta Vigo,33,M(CR),24(6),2114,1,-,11,-,1.2,86.8,1,3,6.98
Weligton,Malaga,39,D(C),32,2747,-,1,13,2,0.2,78.9,1.9,3,6.98
Fran Serrano,Cordoba,24,Defender,1(1),140,-,-,-,-,0.5,84.9,-,-,6.98
Jaume Costa,Villarreal,31,"D(L),M(L)",29(1),2431,1,-,8,1,0.6,75.8,0.8,1,6.97
Raúl García,Atletico Madrid,32,"M(CLR),FW",17(14),1690,5,3,8,-,1.7,61.8,3.7,1,6.96
Andrés Iniesta,Barcelona,35,M(CL),19(5),1590,-,1,3,-,1,89.9,0.3,-,6.96
Fede Cartabia,Cordoba,26,AM(CLR),24(6),2123,4,5,9,2,2,78.6,0.3,3,6.96
Fran Rico,Granada,31,M(C),28(3),2547,3,1,13,-,0.6,80.3,1.9,2,6.96
Fernando Navarro,Sevilla,37,D(CL),15(4),1375,-,-,3,-,0.5,76.9,1,1,6.96
Yuri,Real Sociedad,29,"D(L),M(L)",17(4),1472,-,1,7,-,0.7,76.5,1.7,2,6.95
Roberto Rosales,Malaga,30,"D(R),M(R)",34,3041,-,3,7,-,0.6,73.7,0.9,-,6.95
Ion Ansotegi,Real Sociedad,36,D(C),19,1710,-,-,6,-,0.3,72.5,3.3,-,6.95
Pedro Mosquera,Elche,31,M(C),24(1),2143,1,1,5,-,0.8,83.7,1.9,1,6.94
Jeison Murillo,Granada,27,D(C),18(1),1592,-,-,4,1,0.4,80.2,3.3,1,6.94
Benoît Trémoulinas,Sevilla,33,"D(L),M(L)",18(2),1640,-,4,5,-,0.4,74.7,0.7,1,6.94
