Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lasse Sorensen,Stoke,19,Midfielder,1,76,-,1,-,-,-,74.1,-,-,7.06
Florian Lejeune,Newcastle United,28,D(C),24,2104,-,2,3,-,0.5,76.8,3.5,1,7.05
Kyle Walker,Manchester City,29,"D(CR),M(R)",32,2787,-,6,2,1,0.4,87.8,2.2,-,7.05
Gabriel Jesus,Manchester City,22,"AM(LR),FW",19(10),1673,13,3,6,-,1.9,79.7,0.7,1,7.05
Manuel Lanzini,West Ham,26,AM(CLR),23(4),2049,5,6,4,-,1.6,87.6,0.1,2,7.04
Jamaal Lascelles,Newcastle United,25,D(C),32(1),2928,3,-,5,-,0.4,77.1,3.9,1,7.04
Vincent Kompany,Manchester City,33,D(C),17,1397,1,1,6,-,0.5,92.6,2.5,-,7.04
Kieran Trippier,Tottenham,28,"D(R),M(R)",21(3),1914,-,5,1,-,0.3,81.4,1.5,-,7.04
Eric Bailly,Manchester United,25,D(CR),11(2),1000,1,-,2,-,0.2,86.2,1.3,-,7.03
Arthur Masuaku,West Ham,25,"D(L),M(L)",21(6),1873,-,3,5,-,0.3,80.5,0.9,2,7.02
Lewis Dunk,Brighton,27,D(C),38,3420,1,1,7,-,0.7,78.4,3.2,1,7.02
Johann Gudmundsson,Burnley,28,AM(CLR),32(3),2840,2,8,2,-,1.5,73.7,1.2,-,7.02
Andrew Robertson,Liverpool,25,"D(L),M(L)",22,1943,1,5,2,-,0.5,87.1,0.7,1,7.02
Craig Dawson,West Bromwich Albion,29,D(CR),28,2509,2,-,6,-,0.6,69.5,4.2,4,7.02
Terence Kongolo,Huddersfield,25,D(CL),11(2),1047,-,-,-,-,0.2,71.4,2.2,1,7.02
Granit Xhaka,Arsenal,26,M(C),37(1),3266,1,7,10,-,1.7,86.9,1.3,-,7.02
Badou Ndiaye,Stoke,28,M(C),13,1140,2,1,5,-,1.5,82.2,0.8,2,7.02
Trent Alexander-Arnold,Liverpool,20,"D(R),M(R)",18(1),1576,1,1,3,-,0.6,77.3,0.3,-,7.02
Luka Milivojevic,Crystal Palace,28,DMC,35(1),3082,10,1,8,-,1.2,80.2,1.4,1,7.01
Willian,Chelsea,30,AM(CLR),20(16),1883,6,7,1,-,1.5,80.2,0.3,4,7.01
Abdoulaye Doucouré,Watford,26,M(C),37,3325,7,3,10,-,1.3,83.6,1.2,1,7.00
Dejan Lovren,Liverpool,29,D(C),24(5),2125,2,1,4,-,0.5,88.5,3.6,2,6.99
Son Heung-Min,Tottenham,26,"M(CLR),FW",27(10),2312,12,6,-,-,2,85.2,0.1,3,6.99
Ahmed Hegazi,West Bromwich Albion,28,D(C),38,3387,2,-,4,-,0.4,73.1,2.7,3,6.98
Jamie Vardy,Leicester,32,"AM(L),FW",37,3258,20,1,3,-,1.9,60.5,2.1,-,6.98
Cuco Martina,Everton,29,D(CLR),20(1),1831,-,2,1,-,0.1,77.9,1.1,-,6.98
Matthew Lowton,Burnley,30,"D(LR),M(R)",25(1),2295,-,3,1,-,0.2,68.9,1.3,1,6.97
Matt Targett,Southampton,23,"D(L),M(L)",2,167,-,-,-,-,-,72.5,0.5,-,6.97
Simon Francis,Bournemouth,34,D(CR),31(1),2710,-,1,8,1,0.4,73.5,4.4,1,6.96
Henrikh Mkhitaryan,Manchester United,30,M(CLR),11(4),931,1,5,2,-,1,82.5,0.6,1,6.96
Yohan Benalouane,Leicester,32,D(CR),1,90,-,-,-,-,2,63,2,-,6.96
Eric Dier,Tottenham,25,"D(CR),DMC",32(2),2827,-,2,4,-,0.9,86.3,2.4,-,6.96
Kenedy,Newcastle United,23,"D(L),M(L)",13,1030,2,2,1,-,1.8,77.2,0.2,-,6.95
Idrissa Gueye,Everton,29,M(C),32(1),2757,2,1,6,1,0.7,84.7,1,1,6.95
David Ospina,Arsenal,30,GK,4(1),380,-,-,-,-,-,69.2,1,-,6.95
Jordan Henderson,Liverpool,29,M(CLR),25(2),2173,1,1,1,-,0.6,84.4,1,-,6.95
Marouane Fellaini,Manchester United,31,M(C),5(11),613,4,-,1,-,0.6,85.2,2.4,2,6.94
Davinson Sánchez,Tottenham,23,D(C),29(2),2535,-,-,1,1,0.3,89.4,2.4,-,6.94
Jesús Gámez,Newcastle United,34,D(LR),1(1),97,-,-,-,-,0.5,82.2,0.5,-,6.94
Michael Keane,Everton,26,D(CR),29(1),2561,-,1,3,-,0.5,77.8,4.3,-,6.94
Álvaro Morata,Chelsea,26,"AM(L),FW",24(7),2067,11,6,7,-,2.5,73.3,1.7,1,6.94
Christian Kabasele,Watford,28,D(C),27(1),2332,2,-,5,-,0.4,74.8,3.7,2,6.93
Mario Lemina,Southampton,25,DMC,20(5),1723,1,1,2,-,0.9,87.8,1,3,6.93
Nick Pope,Burnley,27,GK,34(1),3114,-,-,3,-,-,39,0.3,-,6.93
Eric Maxim Choupo-Moting,Stoke,30,"M(CLR),FW",26(4),2248,5,5,3,-,2,73,2,3,6.93
Chris Brunt,West Bromwich Albion,34,"D(L),M(CLR)",22(4),1923,-,7,5,-,1,73.6,0.6,-,6.93
Oriol Romeu,Southampton,27,DMC,34,2903,1,-,11,-,0.8,82.6,2.9,1,6.92
James Collins,West Ham,35,D(C),12(1),1050,1,-,3,-,0.3,72.6,3.6,-,6.92
Antonio Rüdiger,Chelsea,26,D(CR),25(2),2336,2,1,4,-,0.6,89.5,2.2,1,6.92
Sead Kolasinac,Arsenal,26,"D(L),M(L)",25(2),2152,2,4,3,-,0.8,80.1,1.7,1,6.92
Joel Matip,Liverpool,27,D(C),22(3),1995,1,-,3,-,0.4,88.7,2.3,-,6.92
Jordan Ayew,Swansea,27,"AM(CLR),FW",33(3),2859,7,2,2,1,1.8,82.6,1.4,6,6.91
Danilo,Manchester City,27,D(LR),13(10),1342,3,2,2,-,0.8,89.9,0.7,2,6.91
Christian Benteke,Crystal Palace,28,FW,24(7),2238,3,5,6,-,1.9,56.4,7.8,2,6.91
Younes Kaboul,Watford,33,D(C),2,151,-,-,-,-,-,68.4,4,-,6.90
Victor Moses,Chelsea,28,M(CLR),25(3),2119,3,3,3,-,1.3,76.6,1,1,6.90
Mousa Dembélé,Tottenham,31,M(CR),21(7),1886,-,-,6,-,0.4,92.2,0.3,-,6.90
José Fonte,West Ham,35,D(C),8,690,-,1,-,-,1,80.7,2.6,2,6.89
Steve Cook,Bournemouth,28,D(C),31(3),2766,2,1,5,-,0.6,75.8,4,1,6.89
Mike van der Hoorn,Swansea,26,D(C),24,1952,1,-,4,-,0.4,76.3,2.4,-,6.89
Lukasz Fabianski,Swansea,34,GK,38,3420,-,-,-,-,-,53.4,0.4,3,6.89
Wesley Hoedt,Southampton,25,D(C),28,2520,-,1,7,-,0.5,78.9,2.2,1,6.89
Stephen Ward,Burnley,33,D(L),28,2462,1,1,1,-,0.2,69.1,2.1,1,6.89
John Stones,Manchester City,25,D(CR),16(2),1306,-,-,-,-,0.6,95.8,1.8,-,6.89
Nathan Aké,Bournemouth,24,"D(CL),DMC",37(1),3354,2,3,5,-,0.5,83.9,2.8,-,6.88
Michail Antonio,West Ham,29,"D(R),M(CLR),FW",16(5),1358,3,1,1,-,1.6,67.8,2,-,6.88
Gylfi Sigurdsson,Everton,29,"M(CLR),FW",25(2),2262,4,3,2,-,1.4,74.9,0.7,1,6.88
Alex Iwobi,Arsenal,23,AM(CLR),22(4),1844,3,5,1,-,1.7,86.6,0.1,-,6.88
Joshua King,Bournemouth,27,"AM(CLR),FW",27(6),2456,8,3,3,-,1.5,72.9,2.1,3,6.88
Alex Oxlade Chamberlain,Liverpool,25,M(CLR),14(18),1485,3,7,3,-,1.2,81.9,0.3,1,6.88
Anthony Martial,Manchester United,23,"AM(LR),FW",18(12),1584,9,5,1,-,1.6,81.9,0.5,-,6.87
Junior Stanislas,Bournemouth,29,M(CLR),17(2),1299,5,2,1,-,2.4,77.3,0.5,3,6.87
Joe Allen,Stoke,29,M(C),36,3142,2,6,8,-,0.7,81.1,1,3,6.87
Jonjoe Kenny,Everton,22,D(R),17(2),1589,-,1,2,-,0.2,68.5,2,-,6.87
Xherdan Shaqiri,Stoke,27,M(CLR),36,3049,8,7,5,-,1.9,79.5,0.1,2,6.87
Phil Bardsley,Burnley,34,D(LR),13,1126,-,-,5,-,0.2,67.5,2.2,-,6.87
Benjamin Mendy,Manchester City,24,"D(L),DMC,M(L)",4(3),362,-,1,2,-,0.7,85.6,0.7,-,6.87
Juan Mata,Manchester United,31,AM(CLR),23(5),1933,3,5,1,-,1,86.7,0.1,1,6.87
