Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Rafael van der Vaart,Hamburger SV,36,M(C),27,2292,9,2.3,42.5,79.4,1.4,3.7,0.2,7.18
Hiroshi Kiyotake,Nuernberg,29,AM(CLR),30(1),2564,9,2.7,35.4,81.8,2.5,2.5,0.2,7.18
Neven Subotic,Borussia Dortmund,30,D(C),25,2241,-,0.3,67.7,83.9,0.1,7.6,-,7.17
Cedrick Makiadi,Freiburg,35,M(C),26(3),2273,2,0.7,36,80.9,-,3,-,7.17
Sebastian Rode,Eintracht Frankfurt,28,"D(R),M(C)",33,2915,-,1,53.5,84.4,0.2,5.5,0.2,7.17
Jérôme Boateng,Bayern Munich,30,D(CR),25(1),2245,2,0.3,66.7,88.4,0.1,7.2,0.1,7.17
Benedikt Höwedes,Schalke 04,31,D(CLR),32,2880,1,0.3,50.6,84.6,0.1,3.9,-,7.16
Jan Rosenthal,Freiburg,33,"M(C),FW",18(2),1478,3,1.2,28.2,72.5,0.3,1.4,0.2,7.16
Michael Mancienne,Hamburger SV,31,"D(CLR),M(C)",21,1757,-,-,49.6,85.6,-,5.4,-,7.16
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",19(5),1718,5,1.2,32.8,80.3,1.3,3.5,0.1,7.15
Pavel Krmas,Freiburg,39,D(C),16(1),1335,-,0.2,36.4,82.2,0.1,2.2,-,7.15
Mame Biram Diouf,Hannover 96,31,"M(LR),FW",24(4),2157,7,0.9,16.9,63.1,-,0.6,-,7.14
Jaroslav Drobny,Hamburger SV,39,GK,2,180,-,-,35.5,33.8,-,8,-,7.14
Elkin Soto,Mainz 05,38,M(C),24(4),2040,2,0.9,34.7,84.7,0.1,2.3,0.1,7.14
Mitchell Langerak,Borussia Dortmund,30,GK,3,270,-,-,25,61.3,-,12,-,7.13
Luiz Gustavo,Bayern Munich,31,"D(C),M(C)",16(6),1464,1,0.3,42.6,92.8,0.1,3.7,0.1,7.13
Aleksandar Ignjovski,Werder Bremen,28,"D(LR),M(CL)",17(3),1552,2,0.5,32.5,79.2,0.4,2.8,0.1,7.13
