Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Andreu Fontàs,Barcelona,29,"D(C),DMC",5(1),460,0.7,2.2,0.2,0.2,1.7,0.2,0.3,-,7.01
Borja Ekiza,Athletic Bilbao,31,D(C),21,1890,3.2,3.6,0.9,1.3,3.5,0.4,0.5,-,7.01
Carlos Martínez,Real Sociedad,33,D(R),25,2206,2.2,3.3,0.9,0.2,3.1,0.4,0.5,-,7.01
Cata Díaz,Getafe,39,D(C),35,3101,2.9,4,1,1.2,4,0.8,0.8,-,7.00
Manuel Pablo,Deportivo La Coruna,43,D(LR),30,2642,3.9,3,0.8,0.8,1.8,0.8,0.2,-,7.00
Pierre Webó,Mallorca,37,FW,28(6),2643,0.6,0.6,1.6,-,0.7,0.2,0.1,-,7.00
Sami Khedira,Real Madrid,32,M(C),20(5),1839,1.9,2.1,1.1,0.2,1.3,0.7,0.3,-,6.99
Juanlu,Levante,39,AM(L),28(2),2311,2.5,2,1.2,-,0.3,0.7,0.1,-,6.99
Alberto Lopo,Deportivo La Coruna,39,D(C),33,2895,1.8,3.6,1.3,0.7,4.7,0.6,0.5,-,6.99
Marius Stankevicius,Valencia,37,"D(CLR),DMC",19(2),1700,2.5,3.5,1.8,0.4,2.6,1.3,0.6,-,6.99
Iker Muniain,Athletic Bilbao,26,AM(CLR),30(5),2592,1.4,1,0.8,-,0.1,0.4,-,-,6.99
Mario Gaspar,Villarreal,28,"D(CR),M(R)",20(2),1833,3.5,2.9,0.9,0.8,3.2,1,-,-,6.99
Gonzalo Rodríguez,Villarreal,35,D(C),20(3),1805,2.8,2.6,0.9,1.8,4.9,0.4,0.5,-,6.99
Adriano,Barcelona,34,"D(CLR),M(L)",11(4),951,1.6,1.3,1,0.1,1.5,0.2,0.2,-,6.98
Tino Costa,Valencia,34,M(C),17(7),1624,2.2,1.6,1.9,0.1,0.5,0.9,-,-,6.98
Kevin,Mallorca,29,D(L),18(1),1585,2.7,2.8,1.2,0.3,1.9,0.8,0.6,1,6.98
Pablo Hernández,Valencia,34,M(CLR),20(7),1774,1,1,0.6,-,0.4,0.4,-,-,6.98
Sergio Sánchez,Sevilla,33,D(CR),6(1),562,1.9,4.1,1.3,1,2.9,0.4,0.1,-,6.98
Jaime Gavilán,Getafe,34,AM(L),15(3),1269,0.6,1.3,1.2,-,0.2,0.5,0.1,-,6.97
