Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Stijn Schaars,SC Heerenveen,35,DMC,29,2580,1.8,1.2,1.4,0.1,1.8,0.9,0.2,-,7.04
Jeroen Zoet,PSV Eindhoven,28,GK,32,2879,-,0.1,-,-,0.9,-,-,-,7.04
Michiel Kramer,Sparta Rotterdam,30,FW,7(1),631,0.3,0.3,1.3,-,1.8,0.3,0.1,-,7.03
Menno Koch,NAC Breda,24,D(C),13,1170,1.1,1.8,1,0.1,8.1,0.4,1,-,7.03
Roy Beerens,Vitesse,31,"AM(CLR),FW",11(1),866,0.5,0.3,0.6,-,-,0.7,-,-,7.02
Tim Matavz,Vitesse,30,FW,27(3),2376,0.3,0.2,0.6,-,0.7,0.5,-,-,7.01
Gyrano Kerk,FC Utrecht,23,"AM(R),FW",28(2),2440,0.9,0.1,1.7,-,0.2,0.5,-,-,7.01
Stijn Wuytens,AZ Alkmaar,29,"D(C),DMC",29,2533,1.2,1.6,0.8,0.8,5.1,0.4,0.8,-,7.00
Mateusz Klich,FC Utrecht,29,M(C),14,1069,1.5,0.9,1.3,-,0.9,1.5,0.1,-,6.99
Aaron Meijers,ADO Den Haag,31,"D(L),DMC",33,2970,2.6,1.5,1.3,0.3,3.3,1.2,0.4,-,6.99
Oussama Assaidi,Twente,30,"AM(L),FW",24(1),1975,0.9,0.2,0.8,-,-,0.7,-,-,6.99
Eric Botteghin,Feyenoord,31,D(C),10(2),881,2.3,1.4,0.8,0.8,3.4,0.9,0.3,-,6.99
Guus Til,AZ Alkmaar,21,AM(C),33,2829,1.3,0.6,1.3,-,0.8,1.1,0.1,-,6.99
Lennart Thy,VVV-Venlo,27,FW,32,2857,0.8,0.2,0.5,-,0.4,0.8,0.1,-,6.98
Samir Memisevic,FC Groningen,25,"D(C),DMC",28(1),2430,1.3,1.9,1,0.8,4.9,0.5,0.6,-,6.98
Christian Kum,Roda,33,D(CLR),19,1666,2.1,2.1,0.8,0.8,5.8,0.9,0.7,-,6.98
Fran Sol,Willem II,27,FW,32,2866,0.2,0.1,1.1,-,0.7,0.4,0.2,-,6.98
Joachim Andersen,Twente,23,D(C),2,180,3,1.5,-,0.5,7.5,-,0.5,-,6.98
Mike van Duinen,Excelsior,27,"AM(LR),FW",26(3),2412,0.9,0.2,1.5,-,0.8,0.9,0.1,-,6.97
Matt Miazga,Vitesse,23,D(C),29(3),2640,0.7,1.1,0.8,0.5,5.6,0.3,0.9,-,6.97
Umar Sadiq,NAC Breda,22,FW,6(6),621,0.5,0.3,1.1,-,0.2,0.3,0.2,1,6.96
Danny Bakker,ADO Den Haag,24,"D(C),DMC",34,3055,2.5,2,1.2,0.4,3.1,1.7,0.8,-,6.96
Donis Avdijaj,Roda,22,AM(L),10(1),791,0.9,-,0.8,-,0.3,0.8,0.1,-,6.96
