Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Danny Latza,Mainz 05,29,DMC,18(3),1580,4,-,1.3,0.7,0.5,1.6,-,1,0.6,6.99
Florent Hadergjonaj,Ingolstadt,24,"D(R),M(R)",25,2222,1,2,0.4,0.9,0.5,1.2,-,0.2,0.4,6.99
Joshua Kimmich,Bayern Munich,24,"D(CR),DMC",15(12),1542,6,1,1.1,1.1,0.2,1.4,0.1,0.3,0.6,6.99
Mergim Mavraj,Hamburger SV,33,D(C),14,1260,-,-,0.6,-,0.1,0.9,-,0.1,-,6.98
Hamit Altintop,Darmstadt,36,M(CR),15(1),1361,-,-,1.3,0.7,1.4,0.9,-,0.8,1.3,6.98
John Brooks,Hertha Berlin,26,D(C),24,2116,2,-,0.5,-,0.2,1,-,0.1,0.3,6.98
Makoto Hasebe,Eintracht Frankfurt,35,"D(CR),M(CR)",21(1),1887,1,1,0.4,0.7,0.4,1,-,0.2,0.5,6.97
Gonzalo Castro,Borussia Dortmund,32,M(CR),23(5),1927,3,6,1.1,1.5,0.6,0.8,-,0.7,0.9,6.97
Santiago García,Werder Bremen,30,"D(CL),M(L)",16(3),1445,1,2,0.6,0.4,0.3,2,-,0.6,1.1,6.97
Maximilian Philipp,Freiburg,25,"AM(LR),FW",23(2),1939,9,2,2.1,1,1.4,1.9,0.2,1.2,1.8,6.97
Kai Havertz,Bayer Leverkusen,20,M(CR),15(9),1451,4,5,1.3,0.8,1,0.8,-,1.8,1.7,6.96
Dominique Heintz,FC Cologne,25,D(CL),30(2),2774,-,-,0.2,0.3,0.3,0.7,-,0.3,0.3,6.96
Bastian Oczipka,Eintracht Frankfurt,30,"D(CL),M(L)",33,2952,1,4,0.3,1.1,1.1,1.5,-,1,1,6.96
Eric Maxim Choupo-Moting,Schalke 04,30,"M(CLR),FW",19(4),1689,3,4,2.1,1.4,1.7,1.2,1,1.6,1.5,6.96
Martin Hinteregger,Augsburg,26,D(C),31,2773,3,-,0.8,0.1,0.1,0.5,-,0.1,0.3,6.96
Niklas Stark,Hertha Berlin,24,"D(C),DMC",27,2355,1,-,0.8,0.1,0.1,1.3,-,0.1,0.3,6.96
Dominik Kohr,Augsburg,25,DMC,21(5),1965,2,-,1.1,0.5,0.3,1.7,-,0.3,0.7,6.96
Ibrahima Traoré,Borussia M.Gladbach,31,AM(LR),9(5),841,1,3,0.6,1.8,1.7,1.3,0.4,0.5,0.4,6.95
Serge Gnabry,Werder Bremen,23,"AM(CLR),FW",23(4),1971,11,1,2.3,1.1,1.6,1,0.3,0.5,1.6,6.95
Giulio Donati,Mainz 05,29,"D(R),M(R)",31(1),2805,-,-,0.3,0.6,0.6,1.3,0.1,0.3,0.6,6.95
Julian Brandt,Bayer Leverkusen,23,"M(CLR),FW",25(7),2306,3,8,1.4,1.6,2.2,0.8,0.1,1.8,2.1,6.95
Pavel Kaderábek,Hoffenheim,27,"D(R),M(R)",22(1),1976,-,3,0.3,1.1,0.8,1.1,0.2,0.4,0.7,6.94
Thilo Kehrer,Schalke 04,22,"D(CR),M(R)",12(4),1078,1,1,0.8,0.4,0.5,1.3,0.1,0.4,0.6,6.94
Kevin Kampl,Bayer Leverkusen,28,M(CLR),28(2),2539,1,2,1.1,1.3,1.6,0.6,0.1,1.2,1.1,6.94
Marcel Schmelzer,Borussia Dortmund,31,"D(CL),M(L)",25(1),2195,-,1,1,0.8,0.3,1.9,0.2,0.5,0.7,6.94
Nicolai Müller,Hamburger SV,31,"M(CLR),FW",22(3),1902,5,6,1.7,1.1,1.5,1.8,0.4,1,1.6,6.94
Mario Vrancic,Darmstadt,30,M(CL),18(5),1542,4,2,1.3,2.3,0.6,1,-,0.5,0.5,6.94
Christian Träsch,Wolfsburg,31,"D(R),M(C)",7(4),696,-,1,0.5,1.4,1,1,0.1,0.2,0.3,6.94
Nabil Bentaleb,Schalke 04,24,M(C),28(4),2554,5,5,1.3,1,1.2,0.9,-,0.9,1,6.93
Daniel Caligiuri,Schalke 04,31,"D(R),M(LR),FW",14(2),1112,2,3,1.1,1.3,1.3,1.1,0.1,1.8,1.2,6.93
Walace,Hamburger SV,24,DMC,9,722,1,-,0.7,0.1,0.7,0.9,-,0.7,1.3,6.93
Karim Bellarabi,Bayer Leverkusen,29,"AM(CLR),FW",14(2),1119,2,6,2.2,1.1,1.6,1,0.7,1.6,1.8,6.93
Mark Uth,Hoffenheim,27,"AM(CR),FW",12(10),1154,7,3,1.8,1,0.9,1.2,0.4,1,1,6.92
Theodor Gebre Selassie,Werder Bremen,32,"D(LR),DMC,M(R)",26(4),2341,5,2,0.9,0.5,0.3,1.4,0.1,0.3,0.8,6.92
Jonathan Tah,Bayer Leverkusen,23,D(C),16(3),1637,1,1,0.5,0.2,0.5,0.7,-,0.4,0.3,6.92
Marco Höger,FC Cologne,29,"D(CR),M(C)",24(6),2062,-,1,0.3,0.6,1,1.3,0.1,0.9,0.8,6.92
Philipp Wollscheid,Wolfsburg,30,D(C),6(1),541,-,-,0.9,0.4,-,0.6,-,-,0.1,6.92
Breel Embolo,Schalke 04,22,"AM(R),FW",4(3),342,2,1,1.1,0.7,1.1,1.1,1,0.4,1.3,6.92
Robert Bauer,Werder Bremen,24,"D(CLR),M(LR)",25(2),2125,1,3,0.4,0.5,0.5,1.3,-,0.7,0.7,6.92
Robin Knoche,Wolfsburg,27,D(C),21(2),1871,1,1,0.5,0.2,0.1,0.6,-,0.1,0.4,6.92
Mathew Leckie,Ingolstadt,28,AM(CLR),25(5),2088,-,2,1.6,1,1.6,1.6,0.3,1.5,1.9,6.91
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",9,610,-,1,0.6,0.8,0.2,1.2,-,1.1,0.4,6.91
Marvin Matip,Ingolstadt,33,D(C),33,2970,-,-,0.8,0.2,0.1,0.4,-,-,0.5,6.91
Rafinha,Bayern Munich,33,"D(CLR),M(R)",10(10),1021,1,1,0.3,0.7,0.7,1.1,-,0.3,0.3,6.91
Florian Jungwirth,Darmstadt,30,"D(CR),DMC",12(4),1143,-,-,0.6,0.3,-,0.9,0.1,0.1,0.4,6.91
Fabio Coltorti,RasenBallsport Leipzig,38,GK,1,90,-,-,-,-,-,-,-,-,-,6.90
Almog Cohen,Ingolstadt,30,M(C),29(2),2500,7,1,1.9,0.2,0.3,1.4,-,0.5,0.8,6.90
Luiz Gustavo,Wolfsburg,31,"D(C),M(C)",26(1),2344,-,-,0.7,0.1,0.4,1.5,-,0.7,0.6,6.89
André Schürrle,Borussia Dortmund,28,"M(CLR),FW",8(7),745,2,2,2.4,1.1,1.1,1.2,0.6,0.9,0.7,6.89
Nico Elvedi,Borussia M.Gladbach,22,D(CLR),23(2),2111,-,-,0.2,0.4,0.8,1,-,0.4,0.8,6.89
Chicharito,Bayer Leverkusen,31,FW,20(6),1815,11,3,2,0.8,0.5,1.4,0.9,0.7,1.4,6.89
Jesús Vallejo,Eintracht Frankfurt,22,D(C),22(3),2055,1,-,0.2,0.1,0.2,0.4,-,-,0.2,6.88
Timothy Chandler,Eintracht Frankfurt,29,"D(R),M(LR)",31(1),2817,-,3,0.6,1.1,0.6,0.9,0.2,0.3,0.5,6.88
Christian Pulisic,Borussia Dortmund,20,M(CLR),15(14),1518,3,6,1.1,0.9,1.9,1.1,0.1,1.6,0.7,6.88
Bas Dost,Wolfsburg,30,FW,1,81,-,1,-,1,-,-,-,-,1,6.88
Felix Platte,Darmstadt,23,FW,6(3),469,2,1,1.3,0.3,0.9,0.8,0.7,0.6,1.2,6.88
Fabian Lustenberger,Hertha Berlin,31,"D(C),M(C)",17(2),1500,-,1,0.1,0.4,0.1,1.3,-,0.3,0.4,6.88
Oliver Baumann,Hoffenheim,29,GK,34,3060,-,-,-,-,0.1,0.2,-,-,-,6.87
Çaglar Söyüncü,Freiburg,23,D(C),24,2072,-,1,0.4,0.2,0.5,0.7,0.1,0.2,0.5,6.86
Guido Burgstaller,Schalke 04,30,"AM(L),FW",17(1),1474,9,2,2.5,1,0.7,1.3,1.3,1.4,2.6,6.86
Sebastian Jung,Wolfsburg,29,D(R),4,296,-,1,-,1,-,1,-,-,0.3,6.86
Salomon Kalou,Hertha Berlin,33,"AM(CLR),FW",25(1),1998,7,4,1.5,0.9,1.2,1,0.4,1.3,1.4,6.85
Oscar Wendt,Borussia M.Gladbach,33,"D(L),M(L)",28,2462,2,2,0.9,0.9,0.1,0.5,0.1,0.5,0.5,6.85
Niklas Moisander,Werder Bremen,33,D(C),29(1),2655,-,1,0.3,0.3,0.5,0.7,-,-,0.4,6.85
Dayot Upamecano,RasenBallsport Leipzig,20,D(C),8(4),666,-,-,0.1,0.1,0.2,0.3,-,0.3,0.4,6.85
Filip Kostic,Hamburger SV,26,"M(LR),FW",29(2),2532,4,3,1.7,1.3,1.5,1.2,0.4,1.2,1.7,6.85
Lukas Kübler,Freiburg,26,"D(R),M(R)",14(2),1160,-,1,0.3,0.4,0.3,0.9,0.1,0.3,1.3,6.85
Lamine Sané,Werder Bremen,32,"D(C),M(C)",27,2364,1,1,0.2,0.1,0.1,0.7,0.1,-,0.2,6.84
Milos Jojic,FC Cologne,27,M(CLR),13(6),1088,4,4,0.9,1.1,0.5,0.6,-,0.9,1.5,6.84
Lewis Holtby,Hamburger SV,28,M(CLR),29,2421,1,6,1,1.1,0.7,1.6,0.5,1.5,1.9,6.84
Nicolas Höfler,Freiburg,29,"D(C),DMC",26(2),2369,1,1,0.3,0.3,0.3,1.1,-,0.8,0.8,6.84
Gaëtan Bussmann,Mainz 05,28,D(L),12(2),1048,-,1,0.7,0.6,0.5,0.5,-,0.3,0.7,6.84
