Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Thorgan Hazard,Borussia M.Gladbach,26,"AM(CLR),FW",19(10),1647,1.4,0.9,1.6,-,0.2,1,-,-,6.89
Dominique Heintz,FC Cologne,25,D(CL),32(1),2874,2,2.4,0.8,0.3,4.2,0.8,0.4,-,6.89
Ivo Ilicevic,Hamburger SV,32,M(CLR),24(7),2153,1.8,1.3,1.3,-,0.3,1.2,0.1,-,6.89
Emir Spahic,Hamburger SV,38,D(C),26,2268,1.7,3.1,1.2,0.9,5.3,0.5,0.5,-,6.89
Raúl Bobadilla,Augsburg,32,"AM(R),FW",19(8),1816,1,0.6,1.6,-,0.4,0.5,0.1,-,6.89
Jairo Samperio,Mainz 05,25,M(LR),26(5),2307,0.8,1.5,1.2,-,0.3,1.2,0.1,-,6.89
Klaas-Jan Huntelaar,Schalke 04,35,FW,29(2),2483,0.2,0.3,1.6,-,0.6,0.3,0.1,-,6.89
Gotoku Sakai,Hamburger SV,28,"D(LR),DMC,M(R)",21(1),1891,2.2,2.8,0.8,0.2,2.3,1,0.2,-,6.88
Darío Lezcano,Ingolstadt,29,FW,15(2),1247,1.3,0.5,2.2,-,0.3,0.7,-,-,6.88
Holger Badstuber,Bayern Munich,30,D(CL),5(2),470,0.7,0.6,0.4,1,3,-,-,-,6.88
Vladimir Darida,Hertha Berlin,28,"M(C),FW",30(1),2599,0.9,2.1,1.8,-,0.6,0.8,0.2,-,6.88
John Brooks,Hertha Berlin,26,D(C),20(3),1808,1,1.7,1,0.7,3.7,0.4,0.3,-,6.88
Giulio Donati,Bayer Leverkusen,29,"D(R),M(R)",10(2),932,2,2.4,1.1,0.2,1.9,0.8,0.3,-,6.88
Konstantinos Stafylidis,Augsburg,25,"D(L),DMC,M(L)",8(3),686,1.9,2.2,0.9,0.3,2.9,0.5,0.4,-,6.88
Aaron Hunt,Hamburger SV,32,"M(CLR),FW",19(2),1659,1.2,1,1.2,-,0.3,0.6,0.1,1,6.88
Christian Pulisic,Borussia Dortmund,20,M(CLR),4(5),387,1.2,1.1,0.4,-,0.2,0.2,0.1,-,6.88
Marco Russ,Eintracht Frankfurt,33,"D(C),DMC",26(2),2350,1.1,2.3,0.9,0.9,3.2,0.6,0.5,-,6.87
Dante,Wolfsburg,35,D(C),23,2065,1.7,2.6,1.6,0.9,3.7,0.7,0.7,-,6.87
Younès Belhanda,Schalke 04,29,M(CL),8(7),813,1.4,1.1,1,-,0.1,1.1,-,-,6.87
Jonas Hofmann,Borussia Dortmund,26,AM(CLR),4(3),288,0.7,0.4,0.1,-,0.1,-,-,-,6.87
Ron-Robert Zieler,Hannover 96,30,GK,34,3060,-,-,-,-,0.9,0.1,-,-,6.87
Niklas Süle,Hoffenheim,23,D(C),33,2970,1.4,2.1,0.5,1.3,6.2,0.2,0.9,-,6.86
Timm Klose,Wolfsburg,31,D(C),7(1),633,1.3,2.1,0.6,1.4,3.1,0.8,0.3,-,6.86
Marcel Schäfer,Wolfsburg,35,"D(L),M(L)",14(7),1305,1,0.7,0.4,0.2,0.8,0.2,0.2,-,6.86
Philipp Bargfrede,Werder Bremen,30,"D(C),M(C)",14,1185,3.4,3.4,1.9,0.2,0.9,1.6,0.5,-,6.86
Christian Träsch,Wolfsburg,31,"D(R),M(C)",23(6),2070,2.4,1.8,1,0.4,2,1.5,0.1,-,6.85
Timo Horn,FC Cologne,26,GK,33,2970,-,-,-,-,0.7,-,-,-,6.85
Peter Pekarík,Hertha Berlin,32,D(LR),12,1066,2.3,1.9,1,0.1,2.3,0.8,0.2,-,6.85
Andrej Kramaric,Hoffenheim,28,"AM(CLR),FW",12(3),1085,0.3,0.5,0.7,-,-,0.3,-,-,6.85
Emiliano Insúa,VfB Stuttgart,30,"D(L),M(L)",33,2934,1.9,3.2,1.3,0.6,2.1,1.2,0.2,-,6.85
Per Skjelbred,Hertha Berlin,32,M(CR),31,2695,1.8,2.6,2,0.1,0.9,1,0.2,-,6.84
Fabian Lustenberger,Hertha Berlin,31,"D(C),M(C)",30,2537,2.2,1.8,0.8,0.3,2.9,0.7,0.4,-,6.84
Ralf Fährmann,Schalke 04,30,GK,34,3060,-,0.1,-,-,1.2,-,-,-,6.84
Julian Brandt,Bayer Leverkusen,23,"M(CLR),FW",18(11),1626,0.5,0.6,0.4,-,0.1,0.6,-,-,6.84
Robert Bauer,Ingolstadt,24,"D(CLR),M(LR)",18(6),1677,2.8,2.4,1.4,0.3,2,0.7,0.1,-,6.84
Ragnar Klavan,Augsburg,33,D(C),31,2787,1.3,1.4,0.8,0.4,5.8,0.3,0.9,-,6.84
Marvin Plattenhardt,Hertha Berlin,27,"D(L),M(L)",33,2970,1.4,1.3,1.1,0.3,1.8,0.3,0.2,-,6.84
Jan-Ingwer Callsen-Bracker,Augsburg,34,D(C),8(2),741,1.1,2.5,1.4,0.4,4.2,0.6,1.2,-,6.84
Kenan Karaman,Hannover 96,25,"AM(CLR),FW",19(4),1744,1.6,1,0.6,-,0.3,0.7,-,-,6.84
Dominik Kohr,Augsburg,25,DMC,30(1),2512,2,3,2.1,0.1,2.4,1.4,0.5,-,6.84
Ermin Bicakcic,Hoffenheim,29,D(C),18(3),1600,1.3,2.2,0.7,0.9,6.3,0.5,1.2,-,6.84
Giulio Donati,Mainz 05,29,"D(R),M(R)",11,935,2.3,2.4,1.5,0.2,2.4,1.1,0.3,-,6.84
Tobias Strobl,Hoffenheim,29,"D(CR),DMC",22(4),2078,2.8,2.4,1.7,0.3,1.9,1.3,0.3,-,6.83
Kim Jin-Su,Hoffenheim,27,D(L),14(1),1313,1.6,3.3,1.4,0.4,3.7,1.1,0.2,-,6.83
Erik Durm,Borussia Dortmund,27,"D(LR),M(LR)",10(4),865,1.4,1.8,0.9,0.1,1.2,0.5,0.1,-,6.83
Loris Karius,Mainz 05,26,GK,34,3060,-,0.1,-,-,0.7,0.1,-,-,6.83
Serey Dié,VfB Stuttgart,34,DMC,23,1826,2.4,2.4,1.7,-,0.6,1.4,-,-,6.83
Pablo De Blasis,Mainz 05,31,"D(R),M(CLR)",18(8),1646,1.9,1.1,1,-,0.6,1.6,0.1,-,6.82
Slobodan Rajkovic,Darmstadt,30,D(C),12(3),1008,1.1,2.2,1.5,0.3,5.5,0.4,0.8,-,6.82
Hong Jeong-Ho,Augsburg,29,D(C),19(4),1714,1,1.9,0.9,0.4,5,0.4,0.8,-,6.82
Alexander Esswein,Augsburg,29,"AM(LR),FW",22(7),1809,1.3,1.2,1.1,-,0.2,0.6,-,-,6.82
Álvaro Domínguez,Borussia M.Gladbach,30,D(CL),5(1),472,0.8,1.3,0.7,1,2.8,0.3,0.7,-,6.82
Luca Caldirola,Darmstadt,28,D(CL),34,3060,2.1,2.5,1.1,0.4,4,0.7,0.7,-,6.82
Daniel Opare,Augsburg,28,D(LR),4,360,1.3,2.5,1.3,0.3,4.8,0.3,-,-,6.81
