Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Sergio Padt,FC Groningen,29,GK,36,3240,-,-,-,0.1,0.1,0.1,-,-,-,6.94
Bersant Celina,Twente,22,"AM(CLR),FW",26(1),2158,5,4,2.1,1.5,1.9,0.5,0.1,1.5,1.7,6.94
Jurgen Mattheij,Excelsior,26,D(C),31,2662,3,1,0.7,0.2,0.1,0.8,-,0.2,0.3,6.94
Ryan Koolwijk,Excelsior,33,M(C),28(4),2349,2,2,0.8,0.9,0.5,1.1,0.1,1,1,6.93
Jeremiah St. Juste,SC Heerenveen,22,"D(CR),DMC",28,2336,2,1,0.1,0.2,0.5,0.8,-,0.2,0.1,6.93
Sander Duits,Go Ahead Eagles,35,DMC,29(1),2356,3,-,0.7,0.6,0.4,0.8,-,0.6,0.6,6.93
Dico Koppers,Willem II,27,"D(L),M(L)",11(6),1111,2,2,0.4,0.8,0.8,1.1,-,0.5,1.2,6.93
Dion Malone,ADO Den Haag,30,"D(R),DMC",13,1148,3,3,0.8,1.2,0.9,0.6,-,1.2,1.8,6.93
Ron Vlaar,AZ Alkmaar,34,D(C),23(1),2044,-,-,0.6,0.1,0.4,0.1,-,0.3,0.4,6.93
Adil Auassar,Roda,32,"D(C),M(CL)",24(5),2254,2,4,1.3,1.1,0.4,0.5,0.1,1.3,1.2,6.93
Daniel Crowley,Go Ahead Eagles,21,AM(C),15(1),1275,2,2,0.6,1.3,2.8,1.6,-,1.3,1.2,6.92
Zakaria Labyad,FC Utrecht,26,"AM(CLR),FW",11(7),1035,3,3,1.8,1.4,0.7,0.7,0.1,0.7,0.8,6.91
Jason Davidson,FC Groningen,28,D(L),22,1863,-,3,0.5,1,0.4,1,-,0.5,0.9,6.91
Ramon Leeuwin,FC Utrecht,31,D(C),35(1),3079,1,-,0.4,0.2,-,0.7,-,0.1,0.1,6.91
Hicham Faik,Excelsior,27,M(C),17(5),1560,4,1,1.2,0.9,0.6,0.7,-,1.3,0.5,6.91
Mats Seuntjens,AZ Alkmaar,27,"M(CLR),FW",19(6),1571,-,1,0.7,0.8,2.4,0.8,-,1.2,1.1,6.91
Maikel van der Werff,Vitesse,30,D(C),16(1),1353,-,-,0.7,0.5,0.2,0.2,0.1,0.2,0.1,6.91
Mohamed Rayhi,NEC Nijmegen,25,"AM(L),FW",21(5),1942,2,3,2.7,0.8,1,1.2,0.1,1.5,2.2,6.90
José San Román,ADO Den Haag,30,D(R),11(1),994,-,1,0.3,1.1,1.2,1.5,-,0.4,0.5,6.90
Sinan Bytyqi,Go Ahead Eagles,24,Midfielder,2(2),225,-,1,1,1.3,1.3,1,-,0.8,0.5,6.90
Jürgen Locadia,PSV Eindhoven,25,"AM(LR),FW",9(5),766,3,2,2.5,0.9,0.7,1.1,0.1,1,1.1,6.90
Joris Delle,NEC Nijmegen,29,GK,34,3060,-,-,-,-,0.1,0.3,-,-,-,6.90
Thomas Bruns,Heracles,27,AM(CL),31(1),2621,4,4,1.7,1.2,0.4,1.3,0.1,0.8,1.3,6.89
André Onana,Ajax,23,GK,32,2880,-,1,-,-,0.2,-,-,-,-,6.89
Jordens Peters,Willem II,32,D(C),31,2718,-,-,0.3,0.3,0.1,0.6,-,0.1,0.2,6.89
Matt Miazga,Vitesse,23,D(C),15(8),1436,-,2,0.5,0.1,0.2,0.3,-,-,0.3,6.88
Mikael Dyrestam,NEC Nijmegen,27,D(CR),15(2),1393,-,-,0.2,0.4,0.7,0.3,0.1,0.5,0.1,6.88
Brad Jones,Feyenoord,37,GK,32,2880,-,-,-,-,-,0.1,-,-,-,6.88
Bart Nieuwkoop,Feyenoord,23,D(R),6(7),589,-,3,0.6,0.7,0.4,0.3,-,0.5,0.7,6.88
Jonas Svensson,AZ Alkmaar,26,"D(R),DMC",13,1093,-,2,0.4,0.7,0.3,0.7,0.1,1.2,0.8,6.88
Marko Vejinovic,Feyenoord,29,M(C),1(1),106,-,-,1,1.5,0.5,1.5,-,1,-,6.88
Wout Brama,FC Utrecht,32,DMC,17(1),1570,-,1,0.2,0.4,0.2,1,-,0.4,0.7,6.87
Lucas Bijker,SC Heerenveen,26,D(CL),35,3080,-,1,0.3,0.7,0.6,1,-,0.7,0.8,6.87
Arbër Zeneli,SC Heerenveen,24,AM(LR),29(5),2499,6,3,2.4,1.4,2.3,1.3,0.2,2.2,2.9,6.87
Mohamed El Makrini,Roda,31,DMC,9(2),846,1,1,0.9,0.2,0.4,0.8,-,0.4,0.7,6.87
Aaron Meijers,ADO Den Haag,31,"D(L),DMC",19,1641,-,3,0.4,0.6,0.6,1.7,-,0.7,1.2,6.87
Stefano Marzo,SC Heerenveen,28,"D(R),DMC",35,3060,1,5,0.4,0.7,0.4,0.4,0.1,0.4,0.7,6.87
Bryan Linssen,FC Groningen,28,"AM(CLR),FW",25(5),2079,11,1,2.1,0.9,0.4,0.3,0.5,0.9,0.9,6.86
Eloy Room,Vitesse,30,GK,33,2951,-,-,-,-,-,-,-,-,-,6.86
Lerin Duarte,Heracles,28,"D(L),M(CR)",15(3),1181,1,1,1.1,0.8,2.3,1.9,-,2.1,1.8,6.86
Mark van der Maarel,FC Utrecht,29,D(CLR),13(9),1323,1,-,0.4,0.5,0.2,0.6,0.1,0.1,0.3,6.85
Bart Ramselaar,PSV Eindhoven,23,AM(CL),22(5),1822,5,3,1.3,1,1.3,0.4,-,0.9,1.1,6.85
Danny Holla,PEC Zwolle,31,DMC,24(1),2092,3,4,1.7,1.8,0.2,0.8,-,0.5,0.7,6.85
Bram Castro,Heracles,36,GK,34,2991,-,-,-,0.1,-,-,-,-,-,6.85
Thomas Kok,Willem II,21,Midfielder,1,90,-,-,-,-,-,1,-,-,1,6.85
André Fomitschow,NEC Nijmegen,28,D(L),23(2),1957,-,3,0.6,1.4,0.6,1,-,0.4,1.1,6.85
Heiko Westermann,Ajax,35,D(CLR),1(3),157,-,-,0.3,0.3,-,0.5,-,-,0.8,6.85
Danny Bakker,ADO Den Haag,24,"D(C),DMC",19,1628,1,-,0.6,0.2,0.1,1.2,-,0.7,0.5,6.85
Anwar El Ghazi,Ajax,24,"AM(LR),FW",7(5),621,-,2,1.6,0.7,2.3,1,0.3,1.6,0.9,6.85
Bram van Polen,PEC Zwolle,33,D(CLR),31,2687,2,2,0.5,0.7,0.3,0.7,0.1,0.4,0.6,6.85
Anouar Kali,Willem II,28,DMC,26(2),2373,-,2,0.6,0.8,0.8,0.9,-,1.4,1.1,6.84
David Jensen,FC Utrecht,27,GK,23(1),2116,-,-,-,-,-,-,-,-,-,6.84
Marcel Ritzmaier,Go Ahead Eagles,26,"D(L),M(CL)",28,2417,2,3,1.9,1.2,0.3,1.3,0.1,0.4,1.3,6.84
Tim Breukers,Heracles,31,D(LR),24(1),2206,-,1,0.3,0.7,0.2,1.1,-,0.6,0.6,6.84
Brahim Darri,Heracles,24,AM(L),14(15),1436,2,4,1.7,0.9,2.2,1.3,0.1,1.9,1.2,6.84
Joey Pelupessy,Heracles,26,DMC,34,2992,1,2,0.7,0.5,0.2,0.6,-,0.6,0.6,6.84
Joachim Andersen,Twente,23,D(C),21(1),1814,2,1,0.7,0.4,0.3,0.5,-,0.2,0.4,6.84
Loris Brogno,Sparta Rotterdam,26,AM(LR),18(4),1417,7,6,1.6,1,0.9,2.1,-,1.5,1.4,6.84
Mike te Wierik,Heracles,27,D(CR),29,2592,1,1,0.4,0.5,0.2,0.6,-,0.2,0.3,6.84
Ruben Yttergård Jenssen,FC Groningen,31,M(CL),35,3098,2,3,0.5,1.1,0.5,0.5,-,0.7,0.8,6.84
Fernando Lewis,AZ Alkmaar,26,"D(CR),M(L)",1(1),135,-,-,-,-,-,-,-,0.5,1,6.84
Denzel Dumfries,Sparta Rotterdam,23,D(R),30(1),2646,1,1,0.5,0.5,0.9,2,-,1.9,1.1,6.83
Oleksandr Zinchenko,PSV Eindhoven,22,"D(L),M(CR)",4(8),497,-,3,1.3,1.6,0.8,1,-,1.3,0.9,6.83
Darryl Lachman,Willem II,29,D(C),32,2880,1,-,0.2,0.3,0.8,0.4,-,0.4,0.2,6.83
Rico Strieder,FC Utrecht,26,DMC,16,1336,1,1,0.3,0.4,0.4,1.1,-,0.5,0.4,6.83
Edouard Duplan,ADO Den Haag,36,AM(CLR),29(4),2522,2,4,1.1,1.4,1.2,3,-,2.2,1.7,6.83
Luciano Narsingh,PSV Eindhoven,28,AM(LR),9(6),801,1,1,1.6,1.4,1.6,0.8,0.5,1.5,1.1,6.83
Arnold Kruiswijk,Vitesse,34,D(CL),24(3),2105,1,-,-,0.4,0.5,0.6,-,0.5,0.4,6.83
Khalid Karami,Excelsior,29,D(LR),33,2970,2,3,0.6,0.8,1.2,0.4,0.1,0.7,0.9,6.82
Nicolai Brock-Madsen,PEC Zwolle,26,FW,20(3),1772,7,1,1.8,1,0.6,1,0.5,1.5,3.1,6.82
Rens van Eijden,AZ Alkmaar,31,D(C),23,2026,-,-,0.3,0.3,0.3,0.8,-,0.2,0.3,6.82
Gyrano Kerk,FC Utrecht,23,"AM(R),FW",14(4),1129,4,4,1.7,0.7,1.4,0.8,0.7,1.9,2.6,6.82
Michel Breuer,Sparta Rotterdam,39,D(C),32,2764,1,-,0.5,0.2,0.1,0.5,-,0.2,0.3,6.81
Giovanni Troupée,FC Utrecht,21,D(R),27(4),2401,3,2,0.4,0.4,-,0.6,0.2,0.5,1.1,6.81
Simon Tibbling,FC Groningen,24,"DMC,M(R)",22(4),1878,1,2,1.2,1.6,1.6,1.1,-,1.3,2,6.81
Funso Ojo,Willem II,27,DMC,28,2495,-,-,0.7,0.6,0.6,0.9,-,0.7,0.9,6.81
Sander Fischer,Go Ahead Eagles,30,D(C),33,2938,1,-,0.6,0.1,0.2,0.5,-,0.3,0.4,6.80
Kenny Tete,Ajax,23,"D(R),M(R)",5,450,-,-,0.4,1,0.6,0.8,-,1.2,2,6.80
Calvin Verdonk,PEC Zwolle,22,D(L),14(3),1357,-,-,0.2,0.6,-,0.2,-,0.1,0.5,6.80
Yuki Kobayashi,SC Heerenveen,27,AM(CR),30(1),2686,1,-,0.8,0.8,0.7,1.8,0.1,1,0.8,6.80
Queensy Menig,PEC Zwolle,23,"AM(LR),FW",29(2),2532,9,1,2.5,0.9,1.5,0.7,0.7,1.4,2.1,6.79
Glenn Bijl,FC Groningen,23,"D(R),DMC",2,180,-,1,-,1.5,0.5,1,-,-,1,6.79
Jorrit Hendrix,PSV Eindhoven,24,"D(C),DMC",8(11),893,1,-,1.1,0.7,0.8,0.5,-,0.5,0.4,6.79
Daryl Werker,Roda,25,D(C),19(4),1754,1,-,0.7,0.2,0.1,0.3,-,0.3,0.3,6.79
Iliass Bel Hassani,AZ Alkmaar,26,AM(CLR),14(11),1315,1,5,1.7,1.6,1.4,0.9,-,1.2,0.8,6.79
Tom Beugelsdijk,ADO Den Haag,28,D(C),26(2),2331,3,-,0.6,0.2,0.3,0.6,-,0.2,0.3,6.79
Ernestas Setkus,ADO Den Haag,34,GK,22,1963,-,-,-,-,-,0.1,-,-,-,6.79
Peet Bijen,Twente,24,D(C),23(3),2059,-,1,0.4,0.3,0.7,0.2,-,0.2,0.3,6.78
Doke Schmidt,SC Heerenveen,27,D(CLR),10(3),929,1,-,0.3,0.2,0.2,0.7,-,0.2,0.4,6.78
Nick Marsman,Twente,28,GK,34,3060,-,-,-,-,-,0.1,-,-,-,6.77
Tom Hiariej,FC Groningen,30,"D(R),DMC",21(4),1959,-,2,0.2,1,0.5,1,-,0.4,0.7,6.77
Mattias Johansson,AZ Alkmaar,27,D(R),22(3),1988,-,1,0.4,0.4,0.6,0.7,-,0.5,0.7,6.77
Iván Calero,Sparta Rotterdam,24,AM(L),7(1),573,2,-,1.5,0.6,1.4,1.1,-,2.4,2,6.77
Tom Muyters,Excelsior,34,GK,17,1530,-,-,-,-,0.1,0.2,-,-,-,6.77
Luigi Bruins,Excelsior,32,AM(CL),18(6),1621,2,4,1,1,1,0.8,-,0.8,0.8,6.76
Navarone Foor,Vitesse,27,M(CLR),26(3),2232,6,1,1,1,0.8,1,-,1,2,6.76
Leeroy Owusu,Excelsior,22,D(LR),5,443,1,-,0.6,0.6,0.4,0.4,-,1.8,1.4,6.76
Siem de Jong,PSV Eindhoven,30,"AM(C),FW",10(9),961,6,1,1.5,0.9,0.5,0.3,0.1,1.1,0.6,6.76
Etiënne Reijnen,FC Groningen,32,D(CR),25(4),2377,-,2,0.2,0.3,-,0.6,-,0.1,0.4,6.76
Michael Heinloth,NEC Nijmegen,27,D(R),17(4),1557,1,1,0.2,0.7,0.8,0.8,-,0.6,0.4,6.76
Gervane Kastaneer,ADO Den Haag,23,"AM(L),FW",12(2),951,4,1,1.9,0.6,1.4,0.9,0.6,2.2,2.9,6.75
Ard van Peppen,Roda,34,D(L),32,2841,-,-,0.3,0.7,0.3,0.5,-,0.5,0.7,6.75
Lucas Woudenberg,Feyenoord,25,D(L),5(3),482,-,-,0.3,0.5,-,0.4,-,0.1,0.6,6.75
Oussama Idrissi,FC Groningen,23,AM(LR),17(12),1545,5,3,1.2,1.2,1.2,0.7,0.1,1.7,1.6,6.75
Kevin Diks,Vitesse,22,D(R),11,942,-,-,0.5,0.9,0.4,1.1,-,0.5,1.5,6.75
Yaw Yeboah,Twente,22,AM(R),20(6),1726,2,1,1.6,0.8,1.2,1.1,0.1,1.8,2,6.75
Mike Havenaar,ADO Den Haag,32,FW,21(7),1931,9,1,2,0.5,0.1,1,0.4,0.8,1.6,6.75
Robin van der Meer,Go Ahead Eagles,24,D(L),3,245,-,-,-,0.3,1,1,-,1,0.7,6.74
Nacer Barazite,FC Utrecht,29,"AM(C),FW",20(11),1956,6,4,1.6,1.4,0.7,0.8,0.3,0.8,1.5,6.74
Jeffry Fortes,Excelsior,30,"D(R),DMC",15(5),1428,1,-,0.4,0.3,0.3,0.9,-,0.1,0.4,6.74
Ryan Thomas,PEC Zwolle,24,AM(CL),24(7),2221,1,5,1.3,1,0.8,1.5,-,1.6,1.4,6.74
Justin Hoogma,Heracles,21,D(C),34,3060,-,1,0.3,0.2,0.3,0.2,0.1,0.3,0.3,6.73
Frederic Ananou,Roda,21,D(CR),17(1),1463,-,-,0.1,0.2,0.6,0.8,-,0.2,0.4,6.73
Wojciech Golla,NEC Nijmegen,27,D(C),33,2908,-,1,0.5,0.3,-,0.1,-,0.2,0.4,6.73
Sheran Yeini,Vitesse,32,"D(CR),DMC",8(2),768,-,-,0.2,0.7,0.3,1,-,0.7,0.7,6.73
Dani Schahin,Roda,29,FW,13(5),1147,2,-,1.6,0.9,0.6,1.3,0.4,1.8,1.8,6.73
Daniel Schwaab,PSV Eindhoven,30,"D(CR),DMC",13(10),1317,-,-,0.4,0.1,0.4,0.3,-,0.1,0.2,6.73
Sam Lammers,PSV Eindhoven,22,FW,1(4),144,2,-,1.8,0.4,-,0.6,-,0.4,1.2,6.72
Dirk Marcellis,PEC Zwolle,31,D(CR),29,2591,-,-,0.2,0.4,0.3,0.5,-,0.4,0.3,6.72
Kelvin Leerdam,Vitesse,29,"D(LR),DMC",25(3),2279,1,5,0.6,0.9,0.3,0.5,-,0.5,0.8,6.72
Guus Joppen,Willem II,29,D(LR),9(2),701,-,1,0.2,0.5,0.2,0.2,-,0.1,0.8,6.72
