Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Kamel Chafni,Auxerre,37,M(C),26(5),2285,2.1,1.5,0.9,-,0.4,0.8,-,-,6.94
Jamel Saihi,Montpellier,32,M(C),28(2),2429,2.8,2.8,2.2,-,0.9,0.7,0.1,-,6.94
Zoumana Camara,Paris Saint-Germain,40,D(C),17(2),1616,1.4,2.1,0.9,0.6,5,0.3,0.8,-,6.94
Grégory Lorenzi,Brest,35,D(L),14(1),1282,2.1,2.1,1.8,0.3,5.7,0.5,0.1,-,6.94
Yoann Poulard,AC Ajaccio,43,D(C),34,3060,2,1.9,0.3,0.6,9.2,0.6,0.9,1,6.94
Olivier Sorlin,Evian Thonon Gaillard,40,M(C),32(1),2783,3.4,3.7,1.8,-,0.9,2.2,0.1,-,6.94
Stéphane Ruffier,Saint-Etienne,32,GK,38,3420,0.1,-,-,-,1.3,0.1,-,1,6.94
Sébastien Puygrenier,Nancy,37,D(C),18,1620,1.8,2.2,0.8,0.3,7.1,0.5,0.3,-,6.93
Rio Mavuba,Lille,35,M(C),36(2),3270,2.1,2.3,1.1,0.1,2.1,0.7,0.1,-,6.93
Jean-Pascal Mignot,Saint-Etienne,38,D(C),25,2175,2.3,2.3,0.9,0.6,6.4,0.7,0.5,-,6.92
Jean-Armel Kana-Biyik,Rennes,29,D(C),33(1),2814,1.6,2.3,1,0.8,6.4,0.2,0.4,-,6.92
Josuha Guilavogui,Saint-Etienne,28,M(C),25(7),2349,2.8,2.4,1.7,-,1.5,0.4,0.1,-,6.91
Bruno Grougi,Brest,36,M(C),34,2961,1.6,0.8,1.9,-,0.4,0.9,0.2,-,6.91
Túlio de Melo,Lille,34,FW,10(6),937,0.6,-,1.6,-,0.9,0.1,0.2,-,6.91
Jérémy Sorbon,Caen,35,D(C),29(1),2591,2.7,2.5,1.6,0.6,5.2,0.4,0.5,-,6.91
Didier Digard,Nice,32,M(C),29(1),2389,2.5,3.1,1.3,0.1,2,0.8,0.3,1,6.91
Dimitri Payet,Lille,32,M(CLR),23(10),1869,0.4,0.5,0.5,-,0.1,0.3,-,-,6.90
Hugo Lloris,Lyon,32,GK,36,3195,0.1,0.1,-,-,1.3,0.1,-,1,6.90
John Boye,Rennes,32,D(C),14(5),1304,1.8,2.1,0.6,0.3,6.7,0.3,0.7,-,6.90
Benoît Trémoulinas,Bordeaux,33,"D(L),M(L)",36,3240,1.5,1.4,0.5,0.2,2.3,0.3,0.3,-,6.90
Christian Poulsen,Evian Thonon Gaillard,39,M(C),24,2106,2.5,2.8,1.9,0.1,1.9,0.8,0.3,-,6.90
Lossemy Karaboue,Nancy,31,"D(R),M(CR)",36(1),3178,1.6,1.8,1.2,-,0.2,0.4,0.3,-,6.90
Daniel Niculae,Nancy,36,"AM(CLR),FW",28(3),2531,0.8,1,1.7,-,1.7,0.5,-,-,6.89
Marko Basa,Lille,36,D(C),22,1790,1.1,1.3,1.1,0.7,5.7,0.1,0.5,-,6.89
Fabien Audard,Lorient,41,GK,29,2468,0.1,-,-,0.1,1.3,-,-,-,6.89
Max-Alain Gradel,Saint-Etienne,31,"M(LR),FW",19(10),1755,1.7,1,1.2,-,0.6,0.4,0.1,-,6.89
Bakary Sako,Saint-Etienne,31,"M(L),FW",28(8),2685,0.9,0.9,0.8,-,0.7,0.1,0.2,-,6.89
Rudy Mater,Valenciennes,38,D(R),25(4),2283,3.7,1.5,1.4,0.1,4,1.2,0.2,-,6.89
Fabrice Pierre Begeorgi Cabezas,AC Ajaccio,32,D(L),3,246,2,2.7,1.7,-,2.7,0.3,0.7,-,6.89
Jonathan Zebina,Brest,40,D(C),27(1),2291,1.1,2.1,0.7,0.8,6.8,0.2,0.7,-,6.89
John Utaka,Montpellier,37,"M(L),FW",34(1),2970,0.5,0.7,1.4,-,0.1,0.2,0.1,-,6.89
Lamine Koné,Lorient,30,D(C),20(1),1737,1.5,2.1,1.2,1.1,7,0.2,0.4,-,6.88
Modibo Maiga,Sochaux,31,FW,17(6),1614,0.4,0.2,2,-,0.4,0.2,-,-,6.88
Baptiste Reynet,Dijon,28,GK,37,3330,-,-,-,-,0.9,-,-,-,6.87
Édouard Cissé,Auxerre,41,"D(C),M(CR)",27(1),2393,2.1,2.6,2.5,-,1.1,0.5,0.2,-,6.87
Mamadou Sakho,Paris Saint-Germain,29,D(C),20(2),1774,1.9,1.7,1.1,0.5,4.3,0.4,0.7,-,6.87
Nicolas Seube,Caen,39,M(C),34(1),2925,3.7,3.1,1.4,-,1.6,1.8,0.3,-,6.87
Rémy Cabella,Montpellier,29,"M(CLR),FW",16(13),1433,1.4,1.1,0.8,-,0.2,0.3,0.1,-,6.86
Nolan Roux,Lille,31,"AM(LR),FW",10(7),960,0.4,0.6,0.6,-,0.2,0.2,0.1,-,6.86
Alexis Thébaux,Caen,34,GK,38,3420,-,0.1,0.1,-,1.6,0.1,-,-,6.86
Stéphane Mbia,Marseille,33,"D(C),M(C)",14(1),1145,1.3,2.3,1.5,0.3,3.5,0.5,0.5,-,6.85
Salvatore Sirigu,Paris Saint-Germain,32,GK,38,3420,-,-,-,-,1.2,-,-,-,6.85
David Rozehnal,Lille,38,"D(C),DMC",11(4),1090,0.9,1.9,1.1,0.6,5.6,0.7,0.5,1,6.85
Larrys Mabiala,Nice,31,D(C),8,720,2,3.4,1.4,0.8,4,1.1,1.1,-,6.85
Georges Mandjeck,Auxerre,30,M(C),15,1350,2.4,2.7,1.8,0.3,2.9,1,0.1,-,6.85
Santiago Gentiletti,Brest,34,D(C),15,1291,1.9,1.9,1.1,0.5,6.1,0.6,0.3,-,6.84
Jonathan Brison,Saint-Etienne,36,D(LR),3(1),229,2.5,2.3,1,0.3,2,0.3,-,-,6.84
Cédric Mongongu,Evian Thonon Gaillard,30,D(C),12(2),1113,1,1.7,0.9,1.1,7.6,0.6,0.5,-,6.84
Gregory Proment,Caen,40,"D(C),M(R)",25(8),2273,2.3,2.2,1.4,-,1.6,0.8,0.3,-,6.84
Johan Martial,Brest,28,D(C),24,2070,2,1.9,1.1,0.5,5.8,0.4,0.6,-,6.84
Reynald Lemaître,Nancy,36,D(L),16(8),1472,2.8,1.4,1.3,0.3,2.3,0.7,-,-,6.84
Florian Marange,Bordeaux,33,D(CL),1(1),94,1,0.5,1,-,2.5,0.5,-,-,6.84
Ceará,Paris Saint-Germain,39,D(LR),17(7),1524,2,1.9,1.2,0.1,2.4,0.6,0.2,-,6.83
Kafoumba Coulibaly,Nice,33,"D(CR),M(CR)",26(2),2418,2.2,1.6,1.9,-,0.5,0.5,0.1,-,6.83
Mariano,Bordeaux,33,"D(R),M(R)",19,1710,1.9,1.6,0.4,0.3,1.9,0.6,0.1,-,6.83
Gaël Kakuta,Dijon,28,M(CLR),12(2),1099,1.4,1.4,0.8,-,0.3,0.9,0.1,-,6.82
