Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Celta Vigo,Brais Méndez,0,0,9,4,19,6.73
Real Madrid,Theo Hernández,2,0,18,17,20,6.73
Malaga,Juankar,1,0,20,19,23,6.73
Villarreal,Roger Martínez,0,0,1,0,1,6.73
Real Betis,Jordi Amat,4,2,74,38,32,6.73
Levante,Oier Olazábal,0,1,16,1,0,6.73
Deportivo Alaves,Burgui,0,0,1,7,10,6.73
Levante,Róber Pier,18,0,73,41,35,6.72
Malaga,Adalberto Peñaranda,1,0,1,0,10,6.72
Sevilla,Sandro Ramírez,0,0,2,4,8,6.72
Girona,Jonas Ramalho,11,0,106,35,25,6.72
Leganes,Mauro Dos Santos,5,1,52,12,16,6.72
Girona,Carles Planas,0,0,6,5,5,6.72
Celta Vigo,Rubén Blanco,0,1,27,3,0,6.72
Villarreal,Antonio Rukavina,3,0,57,16,25,6.72
Levante,Antonio Luna,9,0,49,36,39,6.72
Levante,Chema,27,1,109,30,20,6.72
Las Palmas,Gabriel Peñalba,4,0,13,8,6,6.71
Deportivo La Coruna,Sulley Muntari,4,0,10,11,9,6.71
Girona,Gorka Iraizoz,0,2,12,1,1,6.71
Valencia,Carlos Soler,1,0,16,5,51,6.71
Real Betis,Víctor Camarasa,0,0,11,15,20,6.71
Sevilla,Sébastien Corchia,4,0,17,16,18,6.71
Levante,Toño,0,0,24,6,12,6.71
Deportivo La Coruna,Borja Valle,0,0,4,3,6,6.71
Atletico Madrid,Ángel Correa,1,0,15,25,41,6.71
Malaga,Youssef En-Nesyri,0,0,32,9,31,6.70
Real Sociedad,David Zurutuza,10,0,21,41,49,6.70
Real Betis,Javi García,12,1,76,26,34,6.70
Deportivo La Coruna,Pedro Mosquera,6,0,35,23,48,6.70
Sevilla,Joaquín Correa,1,0,11,2,15,6.70
Eibar,Cristian Rivera,2,0,2,3,13,6.70
Real Betis,Alin Toșca,1,1,16,5,12,6.70
Getafe,Mathias Olivera,0,0,2,1,3,6.70
Deportivo La Coruna,Carles Gil,0,0,0,4,6,6.70
Deportivo Alaves,Antonio Sivera,0,0,0,0,0,6.70
Deportivo Alaves,Héctor Hernández,0,0,1,0,1,6.70
Malaga,Ivan Rodríguez,0,0,1,1,1,6.70
Getafe,Carlos Calderón,0,0,0,0,1,6.70
Atletico Madrid,Nicolás Gaitán,0,0,3,1,9,6.70
Deportivo Alaves,Enzo Zidane,0,0,1,0,2,6.70
Villarreal,Alfred N'Diaye,0,0,3,3,3,6.70
Levante,Ivi,1,0,12,15,48,6.70
Real Betis,Riza Durmisi,7,1,47,15,39,6.70
Celta Vigo,Sergio Álvarez,0,1,15,0,0,6.69
Espanyol,Carlos Sánchez,5,0,24,18,25,6.69
Deportivo Alaves,Alexis Ruano,14,3,107,30,33,6.69
Malaga,Diego Rolán,1,0,7,12,33,6.69
Athletic Bilbao,Mikel San José,13,0,28,41,52,6.69
Valencia,Luciano Vietto,0,0,7,5,13,6.69
Malaga,Ignasi Miquel,13,0,111,33,19,6.69
Deportivo La Coruna,Raúl Albentosa,19,0,89,26,13,6.69
Deportivo La Coruna,Costel Pantilimon,0,0,3,0,0,6.68
Deportivo La Coruna,Michael Krohn-Dehli,0,0,12,17,25,6.68
Sevilla,Sergio Rico,0,1,23,1,1,6.68
Girona,Johan Mojica,3,1,31,32,42,6.68
Espanyol,Óscar Duarte,8,1,57,9,12,6.68
Espanyol,Mario Hermoso,8,0,119,27,13,6.68
Levante,Pedro López,7,0,35,26,33,6.68
Real Madrid,Kiko Casilla,0,1,8,2,1,6.68
Malaga,Adrián González,8,0,32,38,40,6.68
Atletico Madrid,Augusto Fernández,2,0,2,2,3,6.68
Las Palmas,Tana,0,0,3,23,31,6.67
Eibar,Marko Dmitrović,0,2,44,2,4,6.67
Villarreal,Denis Cheryshev,1,0,8,13,27,6.67
Sevilla,Luis Muriel,2,1,3,3,16,6.67
Celta Vigo,Andreu Fontàs,5,0,29,14,13,6.67
Deportivo La Coruna,Fernando Navarro,3,0,42,29,32,6.67
Real Betis,Rafa Navarro,0,0,6,1,3,6.67
