Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Leganes,Diego Rico,14,74,665,0,1,6.91
Athletic Bilbao,Xabier Etxeita,0,85,258,0,0,6.91
Barcelona,Paco Alcácer,12,80,167,3,5,6.91
Espanyol,Léo Baptistão,14,71,254,4,3,6.91
Granada,Mubarak Wakaso,7,80,318,1,0,6.91
Villarreal,Álvaro González,3,84,880,1,1,6.91
Deportivo Alaves,Óscar Romero,16,77,199,1,3,6.91
Deportivo La Coruna,Guilherme,11,84,1114,1,0,6.90
Valencia,Simone Zaza,13,69,194,1,0,6.90
Real Madrid,Fábio Coentrão,2,94,103,1,2,6.90
Sevilla,Sergio Rico,0,60,598,0,0,6.90
Deportivo Alaves,Adrián Ortolá,1,58,36,0,0,6.90
Granada,Pervis Estupinan,2,81,74,0,0,6.90
Leganes,Robert Ibáñez,2,87,40,1,0,6.90
Deportivo La Coruna,Edu Expósito,1,81,17,0,0,6.90
Osasuna,Jhon Steven,0,72,72,0,0,6.90
Las Palmas,Jesé Rodríguez,15,82,304,1,4,6.90
Real Betis,Germán Pezzella,7,75,1020,0,1,6.90
Leganes,Alexander Szymanowski,29,78,407,2,4,6.90
Deportivo La Coruna,Raúl Albentosa,4,82,853,1,2,6.89
Valencia,Nani,40,77,488,7,10,6.89
Espanyol,Diego López,0,53,493,0,0,6.89
Celta Vigo,Daniel Wass,47,76,864,4,8,6.89
Atletico Madrid,Kévin Gameiro,22,72,272,5,8,6.89
Las Palmas,Kevin-Prince Boateng,21,77,594,4,3,6.89
Atletico Madrid,Miguel Ángel Moyà,0,53,100,0,0,6.89
Celta Vigo,Andreu Fontàs,2,82,809,1,0,6.89
Deportivo La Coruna,Alejandro Arribas,1,77,557,0,0,6.89
Atletico Madrid,Thomas Partey,11,84,318,2,2,6.89
Real Madrid,Keylor Navas,1,67,395,0,0,6.88
Valencia,José Luis Gayà,24,78,599,2,5,6.88
Leganes,Alberto Martín,6,84,425,0,1,6.88
Sporting Gijon,Jean-Sylvain Babin,4,80,526,1,0,6.88
Valencia,Aderllan Santos,0,84,333,0,0,6.88
Eibar,Pedro León,87,68,624,5,6,6.87
Valencia,Mario Suárez,5,80,625,0,0,6.87
Deportivo La Coruna,Joselu,6,63,201,1,0,6.87
Villarreal,Cédric Bakambu,12,73,286,1,4,6.87
Osasuna,Roberto Torres,62,68,648,3,2,6.87
Deportivo Alaves,Theo Hernández,22,81,760,3,6,6.87
Atletico Madrid,Yannick Carrasco,34,83,686,4,6,6.87
Deportivo Alaves,Ibai Gómez,37,78,487,2,4,6.87
Sporting Gijon,Mikel Vesga,5,76,689,1,1,6.87
Atletico Madrid,Juanfran,17,78,673,2,3,6.87
Villarreal,Jonathan dos Santos,44,87,1139,3,8,6.86
Real Sociedad,Mikel González,0,84,292,0,0,6.86
Deportivo La Coruna,Emre Çolak,72,82,1000,6,5,6.86
Las Palmas,Roque Mesa,20,91,2267,2,4,6.86
Barcelona,Lucas Digne,10,87,736,0,1,6.86
Real Sociedad,David Zurutuza,15,84,1195,1,0,6.86
Eibar,Antonio Luna,24,71,700,5,4,6.86
Malaga,Roberto Rosales,39,78,1011,2,1,6.86
Celta Vigo,Gustavo Cabral,2,84,984,1,2,6.86
Espanyol,José Jurado,29,83,1016,3,2,6.85
Real Madrid,Kiko Casilla,0,67,149,0,0,6.85
Eibar,Anaitz Arbilla,10,71,541,2,3,6.85
Sevilla,Luciano Vietto,16,81,333,3,4,6.85
Malaga,Diego Llorente,3,79,661,0,0,6.85
Sevilla,Nicolás Pareja,6,81,951,1,2,6.85
Deportivo Alaves,Nenad Krstičić,7,76,194,0,1,6.85
Las Palmas,David García,2,85,975,1,1,6.85
Malaga,Charles Días,9,66,190,1,1,6.85
Celta Vigo,Facundo Roncaglia,7,82,1134,0,0,6.85
Deportivo La Coruna,Ola John,9,81,91,1,2,6.85
Leganes,Martín Mantovani,2,81,741,0,0,6.85
Atletico Madrid,Nicolás Gaitán,21,80,441,2,3,6.84
Las Palmas,Momo,19,83,587,0,0,6.84
Atletico Madrid,Jan Oblak,0,56,289,0,0,6.84
Leganes,David Timor,24,76,691,1,1,6.84
Espanyol,Pablo Piatti,42,77,555,10,6,6.84
Sporting Gijon,Duje Čop,22,62,374,3,6,6.84
Villarreal,Rafael Santos Borré,7,76,78,1,2,6.84
Sevilla,Mariano,37,81,1051,2,5,6.84
Real Sociedad,Yuri Berchiche,23,82,1371,2,0,6.83
Sevilla,Pablo Sarabia,47,79,772,8,7,6.83
