Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Real Betis,Petros,14,7,18,1,1,6.89
Celta Vigo,Marcelo Díaz,0,6,5,0,0,6.89
Malaga,Marcos Angeleri,0,3,1,0,0,6.88
Malaga,Fernando Tissone,0,6,6,0,0,6.88
Real Sociedad,Aritz Elustondo,7,14,14,1,1,6.88
Valencia,Rodrigo De Paul,0,4,10,1,0,6.88
Athletic Bilbao,Eneko Bóveda,0,4,12,1,0,6.88
Villarreal,Tomás Pina,0,5,8,0,0,6.88
Las Palmas,Vicente Gómez,20,5,12,0,1,6.88
Eibar,Iván Ramis,0,7,7,1,0,6.87
Malaga,Miguel Torres,0,1,2,0,0,6.87
Las Palmas,Mauricio Lemos,0,4,5,0,0,6.87
Valencia,Enzo Pérez,0,3,21,0,0,6.87
Atletico Madrid,Jesús Gámez,0,2,3,0,0,6.87
Sporting Gijon,Bernardo Espinosa,8,12,1,0,1,6.87
Las Palmas,Ángel Montoro,0,1,1,0,0,6.87
Las Palmas,Sergio Araujo,10,51,25,8,5,6.86
Barcelona,Adriano,0,1,4,0,0,6.86
Valencia,Mathew Ryan,0,0,0,0,0,6.86
Valencia,Zakaria Bakkali,14,7,12,0,1,6.86
Sporting Gijon,Antonio Sanabria,26,42,26,9,11,6.86
Real Sociedad,Xabi Prieto,19,16,11,0,3,6.86
Deportivo La Coruna,Alejandro Arribas,22,9,10,1,2,6.86
Espanyol,Anaitz Arbilla,0,3,5,0,0,6.86
Atletico Madrid,Yannick Carrasco,10,41,67,5,4,6.86
Getafe,Pablo Sarabia,14,51,46,1,7,6.85
Rayo Vallecano,Javi Guerra,22,54,7,11,12,6.85
Valencia,Danilo,0,10,23,1,0,6.85
Valencia,João Cancelo,13,8,51,2,1,6.85
Rayo Vallecano,Jozabed Sánchez,26,35,6,2,9,6.85
Valencia,Álvaro Negredo,16,32,12,10,5,6.85
Sporting Gijon,Iván Cuéllar,0,0,0,0,0,6.85
Deportivo La Coruna,Fernando Navarro,0,0,9,0,0,6.85
Las Palmas,Javi Varas,0,0,6,0,0,6.85
Rayo Vallecano,Razvan Rat,0,6,2,0,0,6.84
Levante,Carl Medjani,20,5,3,1,1,6.84
Barcelona,Munir El Haddadi,19,16,6,5,3,6.84
Valencia,Rodrigo,6,32,20,5,2,6.84
Rayo Vallecano,Zé Castro,20,10,7,0,2,6.84
Getafe,Juan Rodriguez,0,16,6,0,0,6.84
Athletic Bilbao,Mikel Balenziaga,0,8,20,0,0,6.84
Athletic Bilbao,Óscar de Marcos,9,11,22,1,1,6.84
Real Sociedad,Carlos Vela,11,46,51,11,5,6.84
Celta Vigo,Sergi Gómez,0,1,4,0,0,6.84
Sporting Gijon,Jorge Meré,0,7,12,1,0,6.84
Rayo Vallecano,Diego Llorente,20,10,22,0,2,6.83
Malaga,Duda,7,15,10,2,1,6.83
Athletic Bilbao,Ander Iturraspe,0,3,2,0,0,6.83
Levante,Joan Verdu,13,8,5,1,1,6.83
Barcelona,Jérémy Mathieu,0,5,6,0,0,6.83
Las Palmas,Roque Mesa,4,28,35,1,1,6.83
Sevilla,Timothée Kolodziejczak,0,7,8,0,0,6.83
Real Sociedad,Jonathas,14,49,11,8,7,6.83
Villarreal,Sergio Asenjo,0,0,0,0,0,6.83
Sevilla,Adil Rami,0,11,3,2,0,6.83
Valencia,Diego Alves,0,0,2,0,0,6.82
Levante,Jefferson Lerma,4,26,14,0,1,6.82
Sevilla,Daniel Carriço,14,7,1,1,1,6.82
Espanyol,Álvaro González,0,15,8,1,0,6.82
Espanyol,Gerard Moreno,18,40,34,5,7,6.82
Las Palmas,Javier Garrido,0,1,1,0,0,6.82
Real Madrid,Mateo Kovačić,0,7,20,1,0,6.82
Espanyol,Óscar Duarte,14,7,2,2,1,6.81
Granada,Abdoulaye Doucouré,0,5,6,1,0,6.81
Athletic Bilbao,Carlos Gurpegi,0,5,2,0,0,6.81
Espanyol,Felipe Caicedo,23,35,32,5,8,6.81
Villarreal,Cédric Bakambu,28,43,19,7,12,6.81
Getafe,Roberto Lago,0,2,12,0,0,6.81
Eibar,Ander Capa,25,8,35,0,2,6.81
Sevilla,Vicente Iborra,28,25,2,4,7,6.81
Levante,Diego Mariño,0,0,1,0,0,6.81
Rayo Vallecano,Juan Carlos,0,0,1,0,0,6.80
Granada,Rene Krhin,0,7,12,1,0,6.80
Athletic Bilbao,Iñaki Williams,25,32,27,1,8,6.80
Espanyol,Burgui,4,23,33,2,1,6.80
Sporting Gijon,Alberto Lora,0,2,7,0,0,6.80
Rayo Vallecano,José Ángel Crespo,0,1,1,0,0,6.80
Real Sociedad,Bruma,6,36,54,6,2,6.80
Barcelona,Aleix Vidal,0,1,3,0,0,6.80
Sevilla,Fernando Llorente,15,26,6,5,4,6.80
Real Sociedad,Jon Bautista,33,3,1,0,1,6.80
Granada,Isaac Cuenca,33,6,12,0,2,6.80
Rayo Vallecano,Bebé,5,55,50,0,3,6.80
Valencia,José Luis Gayà,0,0,10,0,0,6.79
Villarreal,Adrián López,57,7,11,2,4,6.79
Real Betis,Joaquín,5,22,47,3,1,6.79
Athletic Bilbao,Markel Susaeta,19,16,20,1,3,6.79
Sporting Gijon,Ognjen Vranješ,0,0,4,0,0,6.79
Las Palmas,Emmanuel Culio,0,5,10,0,0,6.79
Athletic Bilbao,Íñigo Lekue,13,8,13,0,1,6.79
Eibar,Saúl,15,26,19,3,4,6.79
Real Sociedad,Mikel Oyarzabal,24,25,13,1,6,6.79
Malaga,Christian Atsu,22,9,9,0,2,6.78
Celta Vigo,Nemanja Radoja,0,5,11,0,0,6.78
Sporting Gijon,Rachid Aït-Atmane,0,4,11,0,0,6.78
Atletico Madrid,Luciano Vietto,5,19,11,2,1,6.78
Barcelona,Arda Turan,20,10,9,2,2,6.78
Malaga,Duje Čop,15,46,8,8,7,6.78
Atletico Madrid,Ángel Correa,19,27,36,1,5,6.78
Real Sociedad,Joseba Zaldúa,0,2,7,0,0,6.78
Getafe,Mehdi Lacen,0,9,19,0,0,6.77
Rayo Vallecano,Quini,0,11,17,1,0,6.77
Athletic Bilbao,Gorka Iraizoz,0,0,0,0,0,6.77
Celta Vigo,Jonny Castro,8,12,29,1,1,6.77
Sporting Gijon,Carlos Carmona,18,11,14,1,2,6.77
Athletic Bilbao,Mikel Rico,11,9,4,0,1,6.77
Deportivo La Coruna,Miguel Cardoso,0,3,1,0,0,6.77
Las Palmas,Tana,19,27,25,4,5,6.77
Malaga,Juankar,8,13,12,2,1,6.77
Getafe,Vicente Guaita,0,0,1,0,0,6.76
Eibar,Mauro Dos Santos,0,10,8,0,0,6.76
Sporting Gijon,Alen Halilović,8,40,81,4,3,6.75
Celta Vigo,Carles Planas,0,3,2,1,0,6.75
Barcelona,Marc-André ter Stegen,0,0,0,0,0,6.75
Granada,Fran Rico,14,14,6,0,2,6.75
Rayo Vallecano,Pablo Hernández,13,24,26,3,3,6.75
Levante,Víctor Casadesús,38,8,7,0,3,6.75
Sevilla,Benoît Trémoulinas,0,9,6,0,0,6.75
Villarreal,Samu García,25,8,8,2,2,6.74
Rayo Vallecano,Manucho,17,23,1,4,4,6.74
Espanyol,Abraham González,8,12,2,5,1,6.74
Sevilla,Vitolo,11,19,46,5,2,6.74
Villarreal,Antonio Rukavina,0,1,5,0,0,6.74
Real Betis,Cristiano Piccini,0,9,24,0,0,6.74
Levante,José Luis Morales,13,53,70,4,7,6.74
Eibar,Antonio Luna,0,1,6,0,0,6.74
Celta Vigo,Sergio Álvarez,0,0,0,0,0,6.74
Getafe,Santiago Vergini,0,6,17,1,0,6.73
Real Betis,Ricky van Wolfswinkel,8,13,2,2,1,6.73
Levante,Simao Mate,11,9,8,0,1,6.73
Real Betis,Jordi Figueras,0,0,1,0,0,6.73
Getafe,Miguel Angel,0,0,1,0,0,6.73
Espanyol,Rubén Duarte,0,7,2,0,0,6.73
Eibar,Keko,14,21,41,5,3,6.73
Sevilla,Sebastián Cristóforo,0,2,8,0,0,6.73
Granada,Adalberto Peñaranda,31,16,29,1,5,6.73
Eibar,David Juncà,0,5,17,0,0,6.73
Eibar,Aleksandar Pantić,0,7,1,1,0,6.73
Granada,David Lombán,0,11,1,0,0,6.72
Real Betis,Francisco Varela,0,4,1,0,0,6.72
Las Palmas,Mubarak Wakaso,8,12,12,0,1,6.72
Deportivo La Coruna,Germán Lux,0,0,1,0,0,6.72
Real Betis,Dani Ceballos,0,11,52,1,0,6.72
