"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Jan Oblak","Atletico Madrid,","26",",  GK","37","3330","-","-","-","-","-","49.4","0.2","2","6.90"
"Jeison Murillo","Valencia,","27",",  D(C)","1","90","-","-","-","-","-","94.1","3","-","6.90"
"Jorge Miramón","SD Huesca,","30",",  D(R),M(R)","30","2496","1","-","5","-","0.4","75.1","1","1","6.90"
"Naldo","Espanyol,","30",",  D(C)","16","1366","1","1","3","-","0.4","81.3","2.4","-","6.90"
"Óscar Rodríguez","Leganes,","20",",  AM(C)","29(2)","2515","4","3","5","-","2","75.4","0.7","1","6.90"
"Gonçalo Guedes","Valencia,","22",",  AM(LR),FW","18(7)","1474","5","3","2","-","1.4","75.9","0.4","1","6.89"
"Jony","Deportivo Alaves,","27",",  AM(LR)","34(2)","2985","5","10","3","-","1.5","65.3","0.1","1","6.89"
"Rubén Alcaraz","Real Valladolid,","28",",  DMC","34","2978","3","2","13","-","1.5","83.6","1.5","2","6.89"
"Arturo Vidal","Barcelona,","32",",  M(C)","22(11)","1929","3","7","7","-","0.7","89","1.2","-","6.89"
"Vitorino Antunes","Getafe,","32",",  D(L)","25(3)","2182","1","3","5","-","1","58.2","0.8","-","6.89"
"Jonathan Silva","Leganes,","24",",  D(L),M(L)","30","2700","3","6","9","-","0.8","71.7","0.6","-","6.89"
"Sergio Asenjo","Villarreal,","29",",  GK","32","2880","-","-","-","-","-","60.3","0.3","2","6.89"
"Damián Suárez","Getafe,","31",",  D(R)","36","3240","-","3","13","-","0.4","65","0.9","-","6.89"
"Mikel Merino","Real Sociedad,","22",",  M(C)","24(5)","2061","3","3","8","1","0.8","79.6","2.9","2","6.88"
"Jaime Mata","Getafe,","30",",  FW","27(7)","2437","14","6","10","-","1.7","62.9","2.9","3","6.88"
"Ximo Navarro","Deportivo Alaves,","29",",  D(CR)","28(3)","2533","2","2","7","-","0.4","79.1","1.6","1","6.88"
"Gareth Bale","Real Madrid,","29",",  M(CLR),FW","21(8)","1794","8","3","4","-","2.6","78.3","1.3","2","6.88"
"Clément Lenglet","Barcelona,","23",",  D(C)","22(1)","1935","1","-","8","1","0.3","89.4","1.9","1","6.88"
"Pedro Alcalá","Girona,","30",",  D(C)","20(5)","1869","1","1","9","-","0.6","79.4","3.5","1","6.88"
"Okay Yokuslu","Celta Vigo,","25",",  D(C),DMC","26(4)","2205","2","-","10","-","0.6","86.1","2.6","1","6.87"
"Simon Kjaer","Sevilla,","30",",  D(C)","25(1)","2016","-","-","5","-","0.5","85.7","3","-","6.87"
"Daniel Carriço","Sevilla,","30",",  D(C),DMC","24","2132","1","1","10","-","0.3","79.7","2.5","1","6.87"
"Nacho","Real Valladolid,","30",",  D(LR)","35","3150","1","3","10","-","0.5","71","0.9","2","6.87"
"Álex Granell","Girona,","30",",  DMC,M(L)","26(6)","2392","-","4","5","-","1.2","76.1","1","1","6.87"
"Franco Vázquez","Sevilla,","30",",  AM(CR),FW","26(8)","2290","3","4","8","1","1.3","79.3","2","-","6.87"
"Thomas Lemar","Atletico Madrid,","23",",  AM(CLR)","22(9)","1829","3","3","4","-","0.8","85.2","0.3","1","6.87"
"Joaquín","Real Betis,","37",",  M(CLR),FW","17(13)","1697","6","-","5","-","0.8","84.8","0.5","1","6.87"
"Yuri","Athletic Bilbao,","29",",  D(L),M(L)","35","3121","2","2","9","1","0.8","81.9","2.2","1","6.87"
"Hugo Mallo","Celta Vigo,","27",",  D(CR),M(R)","35","3094","1","4","11","-","0.7","74.6","1.7","-","6.86"
"José Luis Morales","Levante,","31",",  D(R),M(CLR),FW","35(2)","3197","12","5","7","-","1.8","71.1","0.4","2","6.86"
"Pape Diop","Eibar,","33",",  M(C)","27(1)","2356","1","1","11","-","1.3","73.2","3.6","-","6.85"
"Íñigo Martínez","Athletic Bilbao,","28",",  D(C)","33","2903","-","-","12","-","0.8","78","2.9","-","6.85"
"Esteban Granero","Espanyol,","31",",  M(CLR)","24(4)","2020","3","1","11","-","1.1","86.2","0.8","2","6.85"
"Kévin Rodrigues","Real Sociedad,","25",",  D(L)","5(2)","483","-","-","1","-","0.3","74.6","0.9","-","6.85"
"Aihen Muñoz","Real Sociedad,","21",",  D(L)","11","954","-","-","-","-","0.2","73.7","1.4","-","6.84"
"Marc Muniesa","Girona,","27",",  D(CL)","15(4)","1403","-","-","6","-","0.4","80.7","1.6","1","6.83"
"Cristiano Piccini","Valencia,","26",",  D(R)","21(2)","1868","1","-","3","-","0.5","78.5","1.1","1","6.83"
"Marcos Llorente","Real Madrid,","24",",  DMC","6(1)","540","-","-","1","-","0.1","93.1","0.3","-","6.83"
"Theo Hernández","Real Sociedad,","21",",  D(L)","22(2)","1977","1","2","5","1","1","82.8","0.9","3","6.83"
"Mikel Oyarzabal","Real Sociedad,","22",",  AM(CLR)","36(1)","3160","13","2","2","-","1.8","73.9","1.2","1","6.83"
"Karl Toko Ekambi","Villarreal,","26",",  AM(L),FW","24(10)","2149","10","1","5","-","1.7","74.7","1","2","6.83"
"Javi López","Espanyol,","33",",  D(R),DMC","21(2)","1949","-","-","3","1","0.3","78.1","1.5","1","6.83"
"Iker Muniain","Athletic Bilbao,","26",",  AM(CLR)","27(7)","2387","7","4","7","-","0.7","85.9","0.2","1","6.83"
"Andriy Lunin","Leganes,","20",",  GK","4(1)","364","-","-","-","-","-","61","0.4","-","6.82"
"Oier Olazábal","Levante,","29",",  GK","21","1890","-","-","1","-","-","54.4","0.2","4","6.82"
"Joel Robles","Real Betis,","28",",  GK","5","450","-","-","-","-","-","76.7","0.2","-","6.81"
