"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Gerard Gumbau","Leganes,","24",",  DMC","13(3)","1197","1","1","4","1","1.2","75.7","0.9","-","6.30"
"Nikola Kalinic","Atletico Madrid,","31",",  FW","7(10)","641","2","-","3","-","0.5","57","1","-","6.30"
"Fran Beltrán","Celta Vigo,","20",",  M(C)","16(14)","1513","1","-","3","-","0.6","91.2","0.2","-","6.30"
"Michael Santos","Leganes,","26",",  FW","5(11)","553","1","3","4","-","1.1","73.4","0.8","-","6.30"
"Antonio Barragán","Real Betis,","32",",  D(R),M(R)","12(2)","937","-","-","4","-","0.1","86","0.8","-","6.29"
"Roberto López","Real Sociedad,","19",",  Forward","0(1)","28","-","-","-","-","-","33.3","1","-","6.29"
"Mikel Balenziaga","Athletic Bilbao,","31",",  D(L)","6(5)","520","-","-","-","-","0.1","74","0.5","-","6.28"
"Patrick Roberts","Girona,","22",",  AM(R)","6(13)","596","-","-","-","-","0.4","82.2","0.1","-","6.28"
"Kevin Soni","Girona,","21",",  Midfielder","1(4)","79","-","-","1","-","1","81.8","0.4","-","6.28"
"Mathias Jensen","Celta Vigo,","23",",  Midfielder","3(3)","235","-","-","-","-","0.7","78.2","1","-","6.28"
"Borja Fernández","Real Valladolid,","38",",  M(C)","11(9)","842","-","-","4","-","0.3","78.9","1.9","-","6.27"
"Emre Mor","Celta Vigo,","21",",  AM(LR)","4(6)","367","-","-","1","-","0.8","78.3","0.3","-","6.27"
"Jozabed Sánchez","Celta Vigo,","28",",  M(C)","14(6)","1159","-","-","1","-","0.6","84.9","0.3","-","6.27"
"Daniele Verde","Real Valladolid,","22",",  AM(LR)","4(18)","643","2","-","1","-","1.1","79.3","-","-","6.27"
"Kevin Vázquez","Celta Vigo,","26",",  Defender","2(2)","218","-","-","-","-","-","77.2","-","-","6.27"
"Luis Muriel","Sevilla,","28",",  AM(CL),FW","1(5)","120","1","1","-","-","0.7","76.6","1.5","-","6.26"
"Toni Lato","Valencia,","21",",  D(L)","3(1)","270","-","-","1","-","0.5","79.4","-","-","6.26"
"Aleksandar Jovanovic","SD Huesca,","26",",  GK","12","1080","-","-","1","-","-","43.7","0.3","-","6.25"
"Aritz Aduriz","Athletic Bilbao,","38",",  FW","10(10)","941","2","-","4","-","1","62.3","2.7","-","6.25"
"Leo Suárez","Real Valladolid,","23",",  FW","7(5)","520","2","-","-","-","0.8","80.4","0.3","-","6.25"
"Antonio Sivera","Deportivo Alaves,","22",",  Goalkeeper","3","270","-","-","-","-","-","42","0.7","-","6.24"
"Andrew Hjulsager","Celta Vigo,","24",",  Midfielder","2(13)","350","-","3","1","-","0.1","78.9","0.1","-","6.24"
"Facundo Ferreyra","Espanyol,","28",",  FW","1(8)","204","1","-","2","-","0.3","67.3","0.9","-","6.24"
"Samuele Longo","SD Huesca,","27",",  FW","6(9)","551","1","2","4","-","0.7","64.2","1.3","-","6.24"
"Seydou Doumbia","Girona,","31",",  FW","5(12)","536","2","-","2","-","0.9","71.4","0.3","-","6.23"
"Burgui","Deportivo Alaves,","25",",  AM(LR)","5(11)","548","1","-","1","-","0.5","79.7","0.4","-","6.23"
"John Guidetti","Deportivo Alaves,","27",",  FW","6(16)","625","2","1","2","-","0.5","69.2","0.7","-","6.23"
"Raba","Villarreal,","23",",  AM(CR)","2(6)","187","-","1","-","-","0.3","78.5","0.4","-","6.23"
"Michy Batshuayi","Valencia,","25",",  FW","4(11)","522","1","-","3","-","1.1","76.3","0.7","-","6.23"
"Kevin-Prince Boateng","Barcelona,","32",",  M(CLR),FW","3","240","-","-","1","-","1","76.7","1.3","-","6.22"
"Juan Aguilera","SD Huesca,","33",",  Midfielder","4(2)","347","-","-","-","-","0.5","89.1","0.7","-","6.22"
"Daniel Ojeda","Leganes,","24",",  Forward","2(3)","192","-","-","1","-","0.4","73.2","1","-","6.22"
"José Arnáiz","Leganes,","24",",  Forward","0(6)","108","-","-","-","-","0.2","83.3","0.7","-","6.21"
"Moctar Sidi El Hacen","Real Valladolid,","21",",  Midfielder","0(1)","2","-","-","-","-","-","-","-","-","6.21"
"Mathieu Flamini","Getafe,","35",",  M(C)","4(6)","449","-","-","5","-","-","65.9","1.5","-","6.21"
"Javier Eraso","Leganes,","29",",  AM(C)","9(4)","636","-","-","2","-","0.2","81.3","0.7","-","6.20"
"Duje Cop","Real Valladolid,","29",",  FW","6(12)","679","-","-","2","-","0.9","66.9","0.8","-","6.20"
"Martín Zubimendi","Real Sociedad,","20",",  Midfielder","0(1)","6","-","-","-","-","-","25","-","-","6.20"
"Francisco Montero","Atletico Madrid,","20",",  D(C)","4(5)","401","-","-","2","-","-","75","0.1","-","6.19"
"Dennis Eckert","Celta Vigo,","22",",  Forward","1(8)","211","-","-","-","-","0.9","73.7","1.4","-","6.19"
"Javi Puado","Espanyol,","21",",  Forward","2(13)","349","-","-","-","-","0.5","69.7","0.6","-","6.18"
"Fran Manzanara","Levante,","22",",  Midfielder","1(3)","155","-","-","-","-","0.3","89.6","1.3","-","6.17"
"Javier Díaz","Sevilla,","22",",  Goalkeeper","1","90","-","-","-","-","-","52.4","-","-","6.17"
"Álex López","Espanyol,","22",",  Midfielder","1(3)","109","-","-","1","-","0.3","90.7","0.3","-","6.17"
"Miguel De la Fuente","Real Valladolid,","19",",  Forward","0(2)","11","-","-","-","-","1","66.7","0.5","-","6.17"
"Cristo González","Real Madrid,","21",",  Forward","0(1)","45","-","-","-","-","1","100","-","-","6.16"
"Robert Ibáñez","Getafe,","26",",  AM(R)","0(7)","71","-","-","1","-","0.6","89.5","-","-","6.16"
"Kenan Kodro","Athletic Bilbao,","25",",  FW","0(11)","152","1","-","-","-","0.4","80.4","0.6","-","6.15"
"Anthony Lozano","Girona,","26",",  Forward","7(13)","725","-","-","4","1","1.2","67.8","1.2","-","6.15"
"Alfa Semedo","Espanyol,","21",",  D(C),DMC","0(3)","42","-","-","1","-","0.7","81","1","-","6.15"
"Ezequiel Muñoz","Leganes,","28",",  D(C)","2(1)","211","-","-","-","-","0.7","81.7","1.3","-","6.14"
"Serdar Gurler","SD Huesca,","27",",  AM(LR)","5(8)","479","-","1","2","-","0.5","67.1","0.5","-","6.14"
"Paik Seung-Ho","Girona,","22",",  Midfielder","0(3)","58","-","-","-","-","0.3","85","0.3","-","6.13"
"Sergio León","Real Betis,","30",",  FW","6(10)","634","-","1","1","-","0.8","78.8","0.2","-","6.12"
"Raphael Dwamena","Levante,","23",",  Forward","1(11)","213","-","1","-","-","0.3","70.7","0.5","-","6.12"
"Álex Alegría","Rayo Vallecano,","26",",  FW","0(9)","132","-","-","-","-","0.3","68.8","0.7","-","6.11"
"Sabin Merino","Leganes,","27",",  AM(L),FW","2(10)","289","-","-","-","-","0.9","76.1","1.3","-","6.11"
"Manuel Iturra","Villarreal,","34",",  DMC","1(2)","73","-","-","1","-","-","83.3","0.7","-","6.10"
"Carles Pérez","Barcelona,","21",",  Forward","0(1)","17","-","-","-","-","1","85.7","-","-","6.10"
"Lee Kang-In","Valencia,","18",",  Midfielder","0(3)","21","-","-","1","-","0.3","84.6","-","-","6.09"
"Nolito","Sevilla,","32",",  AM(L)","1(3)","74","-","-","-","-","0.5","63","-","-","6.09"
"Markel Bergara","Getafe,","33",",  M(C)","0(3)","50","-","-","-","-","-","76.5","0.3","-","6.08"
"Johan Mojica","Girona,","26",",  D(L),M(L)","0(1)","19","-","-","-","-","-","83.3","-","-","6.08"
"Rajko Brezancic","SD Huesca,","29",",  D(L)","0(1)","66","-","-","-","-","-","66.7","1","-","6.08"
"Lluis Sastre","SD Huesca,","33",",  DMC","1(3)","117","-","-","-","-","-","79.8","-","-","6.07"
"Sergio Moreno","Rayo Vallecano,","20",",  Forward","0(1)","13","-","-","-","-","1","100","-","-","6.07"
"Patrick Twumasi","Deportivo Alaves,","25",",  AM(R)","0(11)","160","-","-","2","-","0.3","70.9","0.5","-","6.06"
"Dani Torres","Deportivo Alaves,","29",",  DMC","1(1)","71","-","-","1","-","-","86.7","0.5","-","6.06"
"Cheick Doukouré","Levante,","26",",  DMC","3(6)","315","-","-","1","-","0.1","74.3","0.4","-","6.04"
"Miguel Marí","Eibar,","21",",  Midfielder","0(2)","67","-","-","-","-","0.5","90","0.5","-","6.03"
"Luca Zidane","Real Madrid,","21",",  Goalkeeper","1","90","-","-","-","-","-","84.2","1","-","6.02"
"Bebé","Eibar,","28",",  AM(LR),FW","1(1)","62","-","-","-","-","1.5","87","-","-","6.02"
"Victor Mollejo","Atletico Madrid,","18",",  Forward","0(4)","63","-","-","-","-","0.5","82.6","0.5","-","6.02"
"Gorka Guruzeta","Athletic Bilbao,","22",",  Forward","0(6)","45","-","-","-","-","0.2","77.8","0.5","-","6.01"
"Cristian Ganea","Athletic Bilbao,","27",",  Defender","1","50","-","-","-","-","-","100","-","-","6.00"
"Joaquín Muñoz","Atletico Madrid,","20",",  Forward","0(1)","1","-","-","-","-","-","-","1","-","6.00"
"Jordi Calavera","Eibar,","23",",  Defender","0(1)","1","-","-","-","-","-","-","-","-","6.00"
"Leandro Chichizola","Getafe,","29",",  GK","1","90","-","-","-","-","-","41.7","1","-","6.00"
"Stiven Plaza","Real Valladolid,","20",",  Forward","0(2)","36","-","-","-","-","-","66.7","-","-","5.99"
"Álex Blanco","Deportivo Alaves,","20",",  Forward","0(2)","14","-","-","-","-","-","66.7","-","-","5.99"
"Martín Merquelanz","Real Sociedad,","24",",  Forward","0(1)","4","-","-","-","-","-","-","-","-","5.99"
"Sergi Guardiola","Getafe,","28",",  FW","0(3)","28","-","-","-","-","0.7","54.5","-","-","5.99"
"Emmanuel Apeh","Celta Vigo,","22",",  Forward","0(2)","12","-","-","-","-","-","75","-","-","5.98"
"Iván Alejo","Getafe,","24",",  AM(R)","2(2)","147","-","-","2","1","0.3","46.9","0.8","-","5.96"
"Álex Collado","Barcelona,","20",",  Midfielder","0(1)","84","-","-","-","-","2","83.3","-","-","5.96"
"Ivi","Real Valladolid,","24",",  AM(L)","0(3)","17","-","-","-","-","0.3","90.9","-","-","5.94"
"Alexander Szymanowski","Leganes,","30",",  AM(L)","0(1)","9","-","-","-","-","-","80","-","-","5.92"
"Franco Di Santo","Rayo Vallecano,","30",",  AM(CLR),FW","1(5)","170","-","-","1","1","-","63.9","1.3","-","5.91"
"Axel Werner","SD Huesca,","23",",  GK","6","540","-","-","-","-","-","43.2","-","-","5.87"
"Yoel Rodríguez","Real Valladolid,","30",",  GK","3","270","-","-","-","-","-","45.7","-","-","5.66"
