Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Rayo Vallecano,Jozabed Sánchez,85,2,33,6,9,6.85
Valencia,Álvaro Negredo,63,2,5,12,5,6.85
Sporting Gijon,Iván Cuéllar,34,2,1,0,0,6.85
Deportivo La Coruna,Fernando Navarro,75,2,96,9,0,6.85
Las Palmas,Javi Varas,57,0,2,6,0,6.85
Rayo Vallecano,Razvan Rat,70,0,10,2,0,6.84
Levante,Carl Medjani,76,0,12,3,1,6.84
Barcelona,Munir El Haddadi,79,2,10,6,3,6.84
Valencia,Rodrigo,76,3,18,20,2,6.84
Rayo Vallecano,Zé Castro,76,0,39,7,2,6.84
Getafe,Juan Rodriguez,78,1,56,6,0,6.84
Athletic Bilbao,Mikel Balenziaga,78,3,82,20,0,6.84
Athletic Bilbao,Óscar de Marcos,71,3,91,22,1,6.84
Real Sociedad,Carlos Vela,79,4,27,51,5,6.84
Celta Vigo,Sergi Gómez,86,1,52,4,0,6.84
Sporting Gijon,Jorge Meré,77,0,50,12,0,6.84
Rayo Vallecano,Diego Llorente,80,0,60,22,2,6.83
Malaga,Duda,69,1,22,10,1,6.83
Athletic Bilbao,Ander Iturraspe,78,1,21,2,0,6.83
Levante,Joan Verdu,85,1,12,5,1,6.83
Barcelona,Jérémy Mathieu,88,2,18,6,0,6.83
Las Palmas,Roque Mesa,88,2,57,35,1,6.83
Sevilla,Timothée Kolodziejczak,83,0,40,8,0,6.83
Real Sociedad,Jonathas,69,2,13,11,7,6.83
Villarreal,Sergio Asenjo,52,0,1,0,0,6.83
Sevilla,Adil Rami,80,1,18,3,0,6.83
Valencia,Diego Alves,61,0,0,2,0,6.82
Levante,Jefferson Lerma,75,2,60,14,1,6.82
Sevilla,Daniel Carriço,80,1,17,1,1,6.82
Espanyol,Álvaro González,76,1,44,8,0,6.82
Espanyol,Gerard Moreno,71,3,26,34,7,6.82
Las Palmas,Javier Garrido,87,1,31,1,0,6.82
Real Madrid,Mateo Kovačić,90,2,37,20,0,6.82
Espanyol,Óscar Duarte,73,0,15,2,1,6.81
Granada,Abdoulaye Doucouré,84,2,31,6,0,6.81
Athletic Bilbao,Carlos Gurpegi,80,0,19,2,0,6.81
Espanyol,Felipe Caicedo,76,0,18,32,8,6.81
Villarreal,Cédric Bakambu,74,3,16,19,12,6.81
Getafe,Roberto Lago,78,2,38,12,0,6.81
Eibar,Ander Capa,63,5,106,35,2,6.81
Sevilla,Vicente Iborra,67,2,26,2,7,6.81
Levante,Diego Mariño,63,0,0,1,0,6.81
Rayo Vallecano,Juan Carlos,65,0,0,1,0,6.80
Granada,Rene Krhin,76,0,38,12,0,6.80
Athletic Bilbao,Iñaki Williams,65,3,18,27,8,6.80
Espanyol,Burgui,77,3,22,33,1,6.80
Sporting Gijon,Alberto Lora,76,4,67,7,0,6.80
Rayo Vallecano,José Ángel Crespo,82,0,23,1,0,6.80
Real Sociedad,Bruma,80,1,15,54,2,6.80
Barcelona,Aleix Vidal,87,1,9,3,0,6.80
Sevilla,Fernando Llorente,64,3,7,6,4,6.80
Real Sociedad,Jon Bautista,61,0,2,1,1,6.80
Granada,Isaac Cuenca,86,2,13,12,2,6.80
