Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Stade De Reims,Baba Rahman,80,1,26,13,1,6.88
Amiens,Moussa Konaté,68,2,10,15,7,6.88
Strasbourg,Dimitri Liénard,84,2,33,16,0,6.88
Strasbourg,Adrien Thomasson,78,8,54,21,5,6.88
Toulouse,Christopher Jullien,83,0,35,4,1,6.88
Ogc Nice,Christophe Jallet,84,0,29,1,1,6.88
Angers,Angelo Fulgini,78,1,38,19,4,6.88
Bordeaux,Pablo Nascimento Castro,84,1,26,8,1,6.87
Dijon,Nayef Aguerd,78,0,17,6,3,6.87
Stade De Reims,Jacques-Alaixys Romao,79,3,118,26,0,6.87
Stade Rennais,Eduardo Camavinga,85,0,23,3,0,6.87
Caen,Frédéric Guilbert,74,2,97,29,1,6.86
Amiens,Thomas Monconduit,78,1,76,34,0,6.86
Angers,Mateo Pavlović,86,1,26,1,2,6.86
Bordeaux,Otávio,89,2,127,16,0,6.86
Olympique De Marseille,Duje Ćaleta-Car,85,0,22,0,0,6.86
Olympique De Marseille,Rolando,87,0,18,2,0,6.86
Ogc Nice,Olivier Boscagli,79,1,20,6,0,6.86
Olympique De Marseille,Luiz Gustavo,89,0,72,15,2,6.86
Stade De Reims,Ghislain Konan,77,1,46,25,0,6.86
Olympique De Marseille,Jordan Amavi,79,2,74,23,0,6.85
Nimes Olympique,Paul Bernardoni,49,0,1,0,0,6.85
Montpellier,Daniel Congré,82,2,76,3,2,6.85
Stade Rennais,Benjamin Bourigeaud,80,5,55,10,6,6.85
Angers,Zacharie Boucher,51,0,0,0,0,6.85
Dijon,Cédric Yambéré,83,0,47,6,0,6.85
Caen,Jonathan Gradit,81,0,52,21,0,6.85
Fc Nantes,Abdoulaye Touré,80,1,48,42,3,6.85
Stade De Reims,Remi Oudin,61,4,51,12,10,6.84
Fc Nantes,Ciprian Tătărușanu,69,0,0,0,0,6.84
Olympique De Marseille,Clinton N'Jie,72,2,7,10,3,6.84
As Monaco,Adrien Silva,83,0,50,15,0,6.84
Saint Etienne,Makhtar Gueye,60,1,2,0,1,6.84
Strasbourg,Nuno Da Costa,69,5,39,33,8,6.84
Bordeaux,Maxime Poundjé,80,2,48,15,0,6.84
As Monaco,Kamil Glik,84,0,32,2,1,6.84
As Monaco,Jemerson,87,1,54,1,0,6.83
Montpellier,Damien Le Tallec,79,0,95,2,3,6.83
Saint Etienne,Romain Hamouma,78,4,30,21,4,6.83
Olympique De Marseille,Lucas Ocampos,78,7,80,66,4,6.83
Dijon,Wesley Saïd,75,1,25,45,4,6.83
Bordeaux,Jimmy Briand,74,3,14,13,7,6.83
Stade Rennais,Ramy Bensebaini,78,0,69,12,1,6.83
Caen,Adama Mbengue,64,0,48,8,0,6.83
Olympique De Marseille,Kevin Strootman,82,5,76,10,1,6.83
Paris Saint Germain,Moussa Diaby,83,6,14,20,2,6.83
Fc Nantes,Kalifa Coulibaly,53,2,15,19,8,6.83
Olympique De Marseille,Morgan Sanson,83,3,70,33,5,6.82
Lille Osc,Loïc Rémy,78,2,2,5,7,6.82
Strasbourg,Stefan Mitrović,91,0,23,3,0,6.82
Fc Nantes,Lucas Lima,73,4,49,23,0,6.82
As Monaco,Benjamin Henrichs,74,2,58,13,1,6.82
Strasbourg,Benjamin Corgnet,65,2,21,8,1,6.82
Paris Saint Germain,Presnel Kimpembe,94,1,55,5,0,6.82
Stade De Reims,Thomas Fontaine,86,1,6,1,0,6.81
Ogc Nice,Adrien Tameze,89,3,74,40,0,6.81
Stade Rennais,Adrien Hunou,77,1,11,3,7,6.81
Paris Saint Germain,Stanley N'Soki,87,0,20,13,0,6.81
Stade De Reims,Hassane Kamara,81,0,29,22,0,6.81
As Monaco,Gelson Martins,78,2,20,25,4,6.81
Angers,Stéphane Bahoken,73,1,15,6,11,6.81
Saint Etienne,Timothée Kolodziejczak,82,3,34,12,3,6.81
Dijon,Benjamin Jeannot,72,0,16,14,2,6.81
Nimes Olympique,Loïck Landre,81,0,31,4,3,6.81
Olympique De Marseille,Bouna Sarr,85,1,67,55,1,6.80
As Monaco,Aleksandr Golovin,82,3,36,29,3,6.80
Toulouse,Matthieu Dossevi,76,2,42,40,4,6.80
As Monaco,Fodé Ballo-Touré,79,4,93,48,0,6.80
Strasbourg,Matz Sels,57,0,0,0,0,6.80
Olympique Lyonnais,Anthony Lopes,78,0,1,0,0,6.80
As Monaco,Pietro Pellegri,62,0,1,1,1,6.80
