Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Willem Ii Tilburg,Branco Van den Boomen,3,80,233,0,0,6.86
Nec Nijmegen,Jay-Roy Grot,14,61,206,0,2,6.86
Pec Zwolle,Calvin Verdonk,11,78,536,0,0,6.85
Pec Zwolle,Queensy Menig,28,76,377,1,3,6.85
Az Alkmaar,Robert Muhren,4,61,99,0,0,6.85
Go Ahead Eagles,Sinan Bytyqi,5,85,78,1,0,6.85
Groningen,Martijn Van der Laan,1,76,32,0,0,6.85
Heerenveen,Younes Namli,13,81,414,0,2,6.85
Az Alkmaar,Dabney dos Santos,36,71,364,4,2,6.84
Go Ahead Eagles,Pedro Chirivella,14,86,717,2,1,6.84
Fc Twente,Nick Marsman,1,67,719,0,0,6.84
Feyenoord,Michiel Kramer,7,80,86,2,1,6.84
Vitesse,Sheran Yeini,7,80,354,0,0,6.84
Heracles Almelo,Bram Castro,2,66,699,0,0,6.84
Vitesse,Kevin Diks,10,77,374,0,0,6.84
Nec Nijmegen,Wojciech Golla,10,81,996,1,0,6.84
Heracles Almelo,Tim Breukers,17,78,794,1,1,6.84
Az Alkmaar,Markus Henriksen,2,58,19,0,0,6.83
Heracles Almelo,Paul Gladon,2,66,39,0,0,6.83
Ado Den Haag,Robert Zwinkels,0,59,236,0,0,6.83
Groningen,Alexander Sørloth,13,61,209,3,4,6.83
Psv Eindhoven,Steven Bergwijn,20,86,308,1,6,6.83
Roda Jc Kerkrade,Tom van Hyfte,23,76,665,0,0,6.83
Roda Jc Kerkrade,Farshad Noor,6,69,191,0,0,6.83
Groningen,Jason Davidson,18,72,466,3,3,6.83
Ajax,Abdelhak Nouri,9,88,140,0,1,6.83
Roda Jc Kerkrade,Beni Badibanga,2,76,28,0,0,6.82
Willem Ii Tilburg,Erik Falkenburg,17,67,353,1,3,6.82
Psv Eindhoven,Siem de Jong,18,82,359,1,5,6.82
Roda Jc Kerkrade,Ard Van Peppen,21,74,868,0,3,6.82
Roda Jc Kerkrade,Daniel De Silva,8,84,114,1,0,6.81
Nec Nijmegen,Julian von Haacke,28,84,849,0,0,6.81
Psv Eindhoven,Jeroen Zoet,0,71,552,0,0,6.81
Excelsior,Jurgen Matheij,5,77,822,1,1,6.81
Roda Jc Kerkrade,Martin Milec,21,77,721,1,2,6.81
Sparta Rotterdam,Craig Goodwin,26,70,287,5,5,6.81
Fc Utrecht,Wout Brama,11,83,1052,1,1,6.81
Heerenveen,Morten Thorsby,8,79,552,1,0,6.81
Sparta Rotterdam,Jerson Cabral,18,78,182,3,4,6.81
Excelsior,Fredy,34,75,657,4,5,6.81
Sparta Rotterdam,David Mendes,4,80,199,0,1,6.80
Feyenoord,Mohammed El Hankouri,0,71,5,0,0,6.80
Ajax,Deyovaisio Zeefuik,0,82,14,0,0,6.80
Vitesse,Navarone Foor,31,81,811,1,2,6.80
Vitesse,Kelvin Leerdam,25,73,721,5,4,6.80
Feyenoord,Gustavo Hamer,1,90,27,0,0,6.80
Sparta Rotterdam,Michael Verrips,0,30,7,0,0,6.80
Willem Ii Tilburg,Guus Joppen,5,77,179,1,1,6.80
Go Ahead Eagles,Xandro Schenk,6,84,1247,0,1,6.80
Excelsior,Tom Muyters,0,54,316,0,0,6.79
Ajax,Mateo Cassierra,3,80,105,0,1,6.79
Go Ahead Eagles,Theo Zwarthoed,4,54,708,1,0,6.79
Excelsior,Jeffrey Fortes,6,74,457,0,0,6.79
Excelsior,Stanley Elbers,13,74,244,0,3,6.79
Willem Ii Tilburg,Jordy Croux,40,73,354,7,8,6.79
Ado Den Haag,Wilfried Kanon,9,75,643,1,1,6.79
Az Alkmaar,Ben Rienstra,18,82,877,1,0,6.79
Pec Zwolle,Dirk Marcellis,12,85,1285,0,1,6.79
Az Alkmaar,Fred Friday,14,76,258,2,4,6.79
Excelsior,Khalid Karami,28,70,818,3,4,6.78
Groningen,Albert Rusnák,18,84,310,0,1,6.78
Excelsior,Nigel Hasselbaink,24,74,385,6,4,6.78
Sparta Rotterdam,Thomas Verhaar,22,61,333,1,2,6.78
Roda Jc Kerkrade,Nathan Rutjes,3,82,119,0,0,6.78
Roda Jc Kerkrade,Abdul Ajagun,29,73,559,2,1,6.78
Vitesse,Adnane Tighadouini,25,76,416,1,0,6.78
Az Alkmaar,Mattias Johansson,10,77,693,1,2,6.77
Sparta Rotterdam,Mathias Pogba,5,65,75,0,1,6.77
Sparta Rotterdam,Mart Dijkstra,26,76,928,1,1,6.77
Go Ahead Eagles,Darren Maatsen,21,69,198,1,3,6.77
Heerenveen,Erwin Mulder,3,66,673,0,0,6.77
Ado Den Haag,Sheraldo Becker,25,72,338,1,6,6.77
Willem Ii Tilburg,Jari Schuurman,4,79,107,0,0,6.77
Fc Twente,Yaw Yeboah,22,80,493,1,2,6.77
Pec Zwolle,Kingsley Ehizibue,20,69,309,2,2,6.77
Excelsior,Henrico Drost,2,87,607,0,0,6.77
Pec Zwolle,Gustavo,1,73,32,0,0,6.77
Go Ahead Eagles,Jarchinio Antonia,37,70,478,3,7,6.77
Az Alkmaar,Sergio Rochet,0,54,307,0,0,6.77
Go Ahead Eagles,Joey Suk,8,70,258,1,1,6.76
Roda Jc Kerkrade,David Boysen,14,70,159,1,1,6.76
Willem Ii Tilburg,Fran Sol,16,72,358,0,1,6.76
Fc Utrecht,Gyrano Kerk,11,62,88,4,3,6.76
Nec Nijmegen,Mikael Dyrestam,7,76,445,0,0,6.76
Az Alkmaar,Joris van Overeem,32,78,506,5,7,6.76
Nec Nijmegen,Kevin Mayi,19,69,316,3,1,6.75
Heerenveen,Luciano Slagveer,10,69,219,3,3,6.75
Roda Jc Kerkrade,Mikhael Rosheuvel,42,77,385,5,6,6.75
Fc Twente,Enis Bunjaki,1,89,16,1,1,6.75
Fc Utrecht,Richairo Zivkovic,13,73,247,1,3,6.75
Ado Den Haag,Thomas Meissner,6,81,715,0,0,6.74
Ajax,Václav Černý,5,78,80,0,0,6.74
Sparta Rotterdam,Zakaria El Azzouzi,24,75,305,1,1,6.74
Ado Den Haag,Tyronne Ebuehi,16,76,746,1,3,6.74
Ado Den Haag,Ruben Schaken,22,82,375,4,5,6.74
Pec Zwolle,Ryan Thomas,30,75,625,5,4,6.74
Vitesse,Valeri Qazaishvili,2,81,47,0,0,6.73
Ado Den Haag,Ashraf El Mahdioui,9,79,326,1,1,6.73
Excelsior,Warner Hahn,0,52,299,0,0,6.73
Pec Zwolle,Youness Mokhtar,20,74,338,2,3,6.73
Sparta Rotterdam,Ivan Calero,5,69,100,0,0,6.73
Heracles Almelo,Mark Jan Fledderus,1,81,67,0,0,6.73
