Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Fulham,Luciano Vietto,79,4,14,16,1,6.73
Arsenal,Sead Kolašinac,78,5,34,13,0,6.73
Everton,Jordan Pickford,56,0,0,0,0,6.73
Brighton Hove Albion,Bruno Saltor,82,1,25,4,0,6.73
Newcastle United,Javier Manquillo,70,3,27,5,0,6.73
Arsenal,Danny Welbeck,74,1,3,2,1,6.73
Fulham,Aboubakar Kamara,73,0,8,12,3,6.72
West Ham United,Andriy Yarmolenko,82,0,4,2,2,6.72
Burnley,Joe Hart,45,0,0,0,0,6.72
Cardiff City,Bruno Ecuele Manga,65,1,69,10,0,6.72
Everton,Ademola Lookman,85,2,15,23,0,6.72
Bournemouth,Simon Francis,73,2,25,5,0,6.72
Cardiff City,Daniel Ward,54,0,2,0,1,6.72
Leicester City,Kasper Schmeichel,65,0,1,2,0,6.72
Watford,Will Hughes,76,4,73,27,2,6.72
Southampton,Stuart Armstrong,78,2,28,19,3,6.71
Southampton,Ryan Bertrand,75,0,46,6,1,6.71
Burnley,Charlie Taylor,72,1,54,41,0,6.71
Fulham,Alfie Mawson,82,0,11,0,0,6.71
Chelsea,Álvaro Morata,77,0,8,6,5,6.71
Bournemouth,Andrew Surman,87,0,11,3,0,6.71
Brighton Hove Albion,Yves Bissouma,82,0,62,47,0,6.70
Manchester United,Eric Bailly,87,0,15,4,0,6.70
Tottenham,Serge Aurier,75,2,21,8,0,6.70
Southampton,Shane Long,65,1,15,4,5,6.70
Fulham,Harvey Elliott,91,0,0,0,0,6.70
Watford,Marc Navarro,83,0,4,1,0,6.70
Watford,Kiko Femenia,83,1,48,13,1,6.70
Crystal Palace,Jeffrey Schlupp,76,1,41,23,4,6.70
Cardiff City,Joe Ralls,69,0,45,5,0,6.70
West Ham United,Pablo Zabaleta,77,1,47,14,0,6.70
Fulham,Maxime Le Marchand,83,1,56,10,0,6.70
Tottenham,Victor Wanyama,81,0,13,6,1,6.69
Newcastle United,Martin Dúbravka,53,0,2,1,0,6.69
Leicester City,Rachid Ghezzal,79,0,14,19,1,6.69
Brighton Hove Albion,Martín Montoya,80,1,58,12,0,6.69
Fulham,Denis Odoi,82,1,48,16,0,6.69
Tottenham,Oliver Skipp,84,0,7,2,0,6.69
Manchester United,Marouane Fellaini,81,1,21,1,0,6.68
Chelsea,Cesc Fàbregas,87,0,6,0,0,6.68
Everton,Mason Holgate,77,0,5,2,0,6.68
Cardiff City,Kenneth Zohore,63,1,3,5,1,6.68
Brighton Hove Albion,Davy Pröpper,80,1,50,30,1,6.68
Arsenal,Edward Nketiah,90,0,1,2,1,6.68
West Ham United,Ryan Fredericks,71,0,38,12,1,6.67
Southampton,Cédric Soares,73,2,23,7,1,6.67
Watford,Roberto Pereyra,83,1,21,41,6,6.67
Watford,Adrian Mariappa,82,0,35,1,0,6.67
Tottenham,Juan Foyth,85,0,31,19,1,6.66
Cardiff City,Lee Peltier,60,0,39,3,0,6.66
Newcastle United,Joselu,62,0,14,1,2,6.66
Huddersfield Town,Karlan Grant,70,0,5,12,4,6.66
Manchester United,David De Gea,60,0,0,0,0,6.66
Fulham,Håvard Nordtveit,83,1,9,1,0,6.66
Fulham,André Zambo Anguissa,87,0,48,42,0,6.65
Manchester United,Scott McTominay,83,0,10,1,2,6.65
Chelsea,Davide Zappacosta,80,0,0,2,0,6.65
Liverpool,Alberto Moreno,88,0,3,2,0,6.65
Arsenal,Ainsley Maitland-Niles,78,1,33,19,1,6.65
Leicester City,Nampalys Mendy,89,0,33,16,0,6.65
Burnley,Jack Cork,81,2,51,27,1,6.65
Southampton,Alex McCarthy,45,0,0,1,0,6.65
Everton,Theo Walcott,73,2,27,30,5,6.65
Crystal Palace,Cheikhou Kouyaté,80,2,58,12,0,6.65
Fulham,Floyd Ayité,79,0,4,10,1,6.65
Southampton,Charlie Austin,58,2,13,1,2,6.65
Watford,Christian Kabasele,74,0,25,0,0,6.64
Everton,Bernard,75,3,49,40,1,6.64
Southampton,Manolo Gabbiadini,68,0,6,2,1,6.64
Bournemouth,Chris Mepham,80,1,9,3,0,6.64
Huddersfield Town,Florent Hadergjonaj,75,0,30,10,0,6.64
Watford,Andre Gray,66,2,3,8,7,6.64
Crystal Palace,Wayne Hennessey,47,0,0,0,0,6.64
Brighton Hove Albion,Jürgen Locadia,73,0,15,5,2,6.63
Leicester City,Kelechi Iheanacho,76,3,6,9,1,6.63
Burnley,Peter Crouch,39,0,1,0,0,6.63
Everton,Tom Davies,80,0,27,12,0,6.63
Wolverhampton,Rúben Vinagre,77,0,14,13,0,6.63
West Ham United,Andy Carroll,61,0,4,3,0,6.63
Bournemouth,Charlie Daniels,79,0,25,12,1,6.63
Bournemouth,Adam Smith,82,1,46,20,1,6.63
Huddersfield Town,Chris Löwe,75,2,34,9,0,6.63
Southampton,Jack Stephens,75,0,25,5,1,6.63
Leicester City,Demarai Gray,78,1,25,42,4,6.63
Brighton Hove Albion,Leon Balogun,76,0,12,0,1,6.63
Bournemouth,Diego Rico,73,0,14,4,0,6.63
Burnley,Matthew Lowton,69,0,56,12,0,6.62
Cardiff City,Kadeem Harris,70,0,12,7,1,6.62
Huddersfield Town,Jonas Lössl,61,1,0,1,0,6.62
Everton,Jonjoe Kenny,72,1,22,5,0,6.62
Newcastle United,DeAndre Yedlin,72,2,54,8,1,6.61
Watford,Domingos Quina,85,0,9,5,1,6.61
Burnley,Aaron Lennon,79,1,26,7,1,6.61
Huddersfield Town,Juninho Bacuna,75,0,46,26,1,6.61
Crystal Palace,Alexander Sørloth,64,0,2,2,0,6.61
Wolverhampton,Rui Patrício,54,0,2,0,0,6.60
Newcastle United,Christian Atsu,82,0,24,25,1,6.60
Chelsea,Gary Cahill,89,0,0,0,0,6.60
Tottenham,Mousa Dembélé,90,0,13,7,0,6.60
Manchester United,Angel Gomes,95,0,1,0,0,6.60
Manchester United,Tahith Chong,80,0,0,1,0,6.60
Tottenham,Vincent Janssen,78,0,2,1,0,6.60
Brighton Hove Albion,Mathew Ryan,50,0,1,0,0,6.60
Leicester City,Fousseni Diabaté,57,0,2,0,0,6.60
Huddersfield Town,Abdelhamid Sabiri,88,0,2,0,0,6.60
West Ham United,Xande Silva,75,0,0,0,0,6.60
Bournemouth,Emerson Hyndman,70,0,6,0,0,6.60
Tottenham,Luke Amos,33,0,1,0,0,6.60
Bournemouth,Sam Surridge,60,0,1,0,0,6.60
Brighton Hove Albion,José Izquierdo,75,1,15,13,0,6.59
Brighton Hove Albion,Beram Kayal,71,1,28,11,1,6.59
Burnley,Matěj Vydra,64,1,2,3,1,6.59
Newcastle United,Jacob Murphy,66,1,6,3,0,6.59
Wolverhampton,Hélder Costa,81,2,18,24,1,6.59
Everton,Leighton Baines,82,0,8,0,0,6.58
Cardiff City,Josh Murphy,60,2,26,37,3,6.58
Wolverhampton,Morgan Gibbs-White,84,1,6,12,0,6.58
Huddersfield Town,Laurent Depoitre,59,1,6,5,0,6.58
Fulham,Neeskens Kebano,83,0,3,4,0,6.57
Cardiff City,Greg Cunningham,74,0,18,0,0,6.57
Newcastle United,Yoshinori Muto,71,0,8,9,1,6.57
Everton,André Gomes,85,1,39,40,1,6.57
Everton,Phil Jagielka,74,0,7,0,1,6.57
Wolverhampton,Léo Bonatini,79,1,1,1,0,6.57
Watford,Tom Cleverley,79,0,17,1,1,6.56
West Ham United,Grady Diangana,78,1,20,21,0,6.56
Leicester City,Adrien Silva,86,0,2,1,0,6.55
Bournemouth,Jermain Defoe,33,0,0,0,0,6.55
Huddersfield Town,Isaac Mbenza,75,1,10,5,1,6.55
Newcastle United,Mohamed Diamé,77,0,78,17,0,6.54
Fulham,Cyrus Christie,76,1,41,27,0,6.54
Fulham,Ryan Sessegnon,73,6,23,32,2,6.54
Bournemouth,Lys Mousset,72,0,3,10,1,6.54
Fulham,Kevin McDonald,85,0,15,0,0,6.54
Manchester United,Andreas Pereira,82,1,8,7,1,6.54
Crystal Palace,Joel Ward,73,0,12,1,1,6.53
Newcastle United,Kenedy,72,1,30,30,1,6.53
Bournemouth,Nathaniel Clyne,76,1,37,4,0,6.53
Fulham,Timothy Fosu-Mensah,81,0,18,8,0,6.53
Leicester City,Shinji Okazaki,74,1,5,2,0,6.52
Leicester City,Çağlar Söyüncü,84,0,5,2,0,6.52
Burnley,Robbie Brady,62,1,15,7,0,6.52
Fulham,Stefan Johansen,80,0,10,2,0,6.52
Huddersfield Town,Erik Durm,69,1,35,12,0,6.51
Burnley,Jeff Hendrick,75,0,24,12,3,6.51
Leicester City,Vicente Iborra,86,0,3,0,0,6.51
Fulham,Tim Ream,88,0,23,6,0,6.51
Bournemouth,Jordon Ibe,78,1,6,26,1,6.51
Watford,Stefano Okaka,71,0,0,1,0,6.50
Newcastle United,Antonio Barreca,50,0,0,0,0,6.50
Arsenal,Bukayo Saka,0,0,0,0,0,6.50
Burnley,Steven Defour,82,0,8,1,0,6.50
Bournemouth,Lewis Cook,83,0,13,10,0,6.50
Huddersfield Town,Collin Quaner,76,0,0,1,0,6.50
Bournemouth,Jack Simpson,82,0,9,0,0,6.50
Cardiff City,Rhys Healey,29,0,1,1,0,6.50
Huddersfield Town,Joel Coleman,38,0,0,0,0,6.50
Southampton,Angus Gunn,35,0,0,0,0,6.49
Southampton,Yan Valery,62,1,42,24,2,6.49
Brighton Hove Albion,Alireza Jahanbakhsh,69,0,32,11,0,6.48
Cardiff City,Oumar Niasse,64,0,12,21,0,6.48
Brighton Hove Albion,Florin Andone,67,0,10,9,3,6.48
Huddersfield Town,Ramadan Sobhi,86,0,1,2,0,6.48
Arsenal,Carl Jenkinson,77,0,3,0,0,6.47
Cardiff City,Gary Madine,83,0,1,0,0,6.47
Cardiff City,Junior Hoilett,72,1,40,23,3,6.47
Watford,Ken Sema,72,2,16,19,1,6.46
Watford,Nathaniel Chalobah,75,0,3,0,0,6.45
Huddersfield Town,Adama Diakhaby,76,0,6,13,0,6.45
West Ham United,Carlos Sánchez,89,0,4,3,0,6.44
Huddersfield Town,Jason Puncheon,79,0,8,5,0,6.44
Manchester United,Marcos Rojo,73,0,5,1,0,6.44
Fulham,Ibrahima Cisse,85,0,0,1,0,6.43
Fulham,Marcus Bettinelli,61,0,0,0,0,6.41
Cardiff City,Leandro Bacuna,67,0,15,5,0,6.41
Arsenal,Stephan Lichtsteiner,79,0,15,4,0,6.41
Huddersfield Town,Elias Kachunga,71,0,22,10,0,6.41
Fulham,Lazar Marković,97,0,0,1,0,6.40
