Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Toulouse,Christopher Jullien,10,83,1224,0,4,6.88
Ogc Nice,Christophe Jallet,3,84,460,0,0,6.88
Angers,Angelo Fulgini,39,78,573,1,4,6.88
Bordeaux,Pablo Nascimento Castro,5,84,827,1,1,6.87
Dijon,Nayef Aguerd,2,78,449,0,0,6.87
Stade De Reims,Jacques-Alaixys Romao,11,79,1131,3,4,6.87
Stade Rennais,Eduardo Camavinga,1,85,121,0,1,6.87
Caen,Frédéric Guilbert,24,74,797,2,3,6.86
Amiens,Thomas Monconduit,32,78,1130,1,3,6.86
Angers,Mateo Pavlović,5,86,811,1,0,6.86
Bordeaux,Otávio,10,89,1707,2,1,6.86
Olympique De Marseille,Duje Ćaleta-Car,1,85,694,0,0,6.86
Olympique De Marseille,Rolando,1,87,363,0,0,6.86
Ogc Nice,Olivier Boscagli,11,79,437,1,1,6.86
Olympique De Marseille,Luiz Gustavo,9,89,1276,0,1,6.86
Stade De Reims,Ghislain Konan,17,77,536,1,3,6.86
Olympique De Marseille,Jordan Amavi,26,79,767,2,2,6.85
Nimes Olympique,Paul Bernardoni,1,49,472,0,0,6.85
Montpellier,Daniel Congré,9,82,1255,2,1,6.85
Stade Rennais,Benjamin Bourigeaud,33,80,865,5,3,6.85
Angers,Zacharie Boucher,0,51,23,0,0,6.85
Dijon,Cédric Yambéré,3,83,1012,0,1,6.85
Caen,Jonathan Gradit,6,81,667,0,1,6.85
Fc Nantes,Abdoulaye Touré,24,80,1088,1,3,6.85
Stade De Reims,Remi Oudin,25,61,458,4,4,6.84
Fc Nantes,Ciprian Tătărușanu,0,69,490,0,0,6.84
Olympique De Marseille,Clinton N'Jie,9,72,81,2,1,6.84
As Monaco,Adrien Silva,6,83,607,0,1,6.84
Saint Etienne,Makhtar Gueye,2,60,9,1,1,6.84
Strasbourg,Nuno Da Costa,21,69,331,5,5,6.84
Bordeaux,Maxime Poundjé,30,80,863,2,0,6.84
As Monaco,Kamil Glik,2,84,1363,0,0,6.84
As Monaco,Jemerson,5,87,936,1,0,6.83
Montpellier,Damien Le Tallec,23,79,979,0,0,6.83
Saint Etienne,Romain Hamouma,34,78,373,4,8,6.83
Olympique De Marseille,Lucas Ocampos,31,78,633,7,6,6.83
Dijon,Wesley Saïd,27,75,409,1,4,6.83
Bordeaux,Jimmy Briand,35,74,504,3,3,6.83
Stade Rennais,Ramy Bensebaini,9,78,802,0,1,6.83
Caen,Adama Mbengue,2,64,161,0,0,6.83
Olympique De Marseille,Kevin Strootman,26,82,941,5,2,6.83
Paris Saint Germain,Moussa Diaby,20,83,429,6,5,6.83
Fc Nantes,Kalifa Coulibaly,21,53,229,2,2,6.83
Olympique De Marseille,Morgan Sanson,25,83,1070,3,5,6.82
Lille Osc,Loïc Rémy,8,78,169,2,1,6.82
Strasbourg,Stefan Mitrović,2,91,1258,0,0,6.82
Fc Nantes,Lucas Lima,49,73,905,4,9,6.82
As Monaco,Benjamin Henrichs,23,74,623,2,3,6.82
Strasbourg,Benjamin Corgnet,6,65,166,2,2,6.82
Paris Saint Germain,Presnel Kimpembe,4,94,1368,1,1,6.82
Stade De Reims,Thomas Fontaine,2,86,172,1,1,6.81
Ogc Nice,Adrien Tameze,25,89,1660,3,1,6.81
Stade Rennais,Adrien Hunou,10,77,225,1,0,6.81
Paris Saint Germain,Stanley N'Soki,3,87,397,0,0,6.81
Stade De Reims,Hassane Kamara,6,81,293,0,0,6.81
As Monaco,Gelson Martins,17,78,356,2,2,6.81
Angers,Stéphane Bahoken,22,73,326,1,3,6.81
Saint Etienne,Timothée Kolodziejczak,14,82,1477,3,1,6.81
Dijon,Benjamin Jeannot,11,72,301,0,0,6.81
Nimes Olympique,Loïck Landre,0,81,434,0,0,6.81
Olympique De Marseille,Bouna Sarr,31,85,925,1,2,6.80
As Monaco,Aleksandr Golovin,26,82,840,3,3,6.80
Toulouse,Matthieu Dossevi,61,76,550,2,4,6.80
As Monaco,Fodé Ballo-Touré,25,79,941,4,5,6.80
Strasbourg,Matz Sels,0,57,547,0,0,6.80
Olympique Lyonnais,Anthony Lopes,0,78,699,0,0,6.80
As Monaco,Pietro Pellegri,1,62,8,0,0,6.80
Lille Osc,Zeki Çelik,35,77,973,5,4,6.80
As Monaco,Georges-Kévin N'Koudou,0,73,8,0,0,6.80
Fc Nantes,Valentin Eysseric,5,81,73,0,0,6.80
Paris Saint Germain,Loic Mbe Soh,0,91,116,0,0,6.80
Montpellier,Bilal Boutobba,1,92,12,0,0,6.80
Stade Rennais,Hamari Traore,36,82,1224,2,5,6.80
Guingamp,Lebogang Phiri,15,89,889,0,0,6.80
Bordeaux,Jules Kounde,10,81,1584,1,1,6.79
Dijon,Wesley Lautoa,4,86,1366,0,0,6.79
Angers,Pierrick Capelle,26,84,675,3,8,6.79
Bordeaux,Jaroslav Plašil,12,85,732,1,0,6.79
Fc Nantes,Anthony Limbombe,30,76,317,1,5,6.79
Strasbourg,Lebo Mothiba,17,79,371,2,1,6.79
Dijon,Jordan Marié,14,79,670,1,0,6.79
Bordeaux,Andreas Cornelius,9,65,153,1,1,6.79
Amiens,Regis Gurtner,2,52,560,0,0,6.78
Toulouse,Gen Shoji,6,85,618,0,2,6.78
Stade De Reims,Thomas Foket,13,77,811,0,1,6.78
Toulouse,Jimmy Durmaz,39,77,842,1,1,6.78
Bordeaux,Aurelien Tchouameni,3,80,224,0,0,6.78
Angers,Baptiste Santamaria,13,81,1206,0,0,6.78
Bordeaux,Yann Karamoh,26,77,354,1,2,6.78
Bordeaux,Nicolas de Préville,24,74,315,2,5,6.78
Angers,Jeff Reine-Adélaïde,33,84,919,3,5,6.78
Dijon,Fouad Chafik,16,75,529,2,3,6.78
Paris Saint Germain,Juan Bernat,20,91,943,2,4,6.78
Fc Nantes,Rene Krhin,1,83,446,0,0,6.78
Bordeaux,Lukas Lerager,9,80,517,1,0,6.77
Stade Rennais,Jordan Siebatcheu,3,75,68,1,0,6.77
Lille Osc,Luiz Araújo,12,79,216,2,0,6.77
Saint Etienne,Arnaud Nordin,12,84,255,1,3,6.77
Toulouse,Issiaga Sylla,16,78,701,0,2,6.77
Dijon,Mehdi Abeid,22,86,894,0,2,6.77
Saint Etienne,Yannis Salibur,19,80,218,3,5,6.77
Fc Nantes,Matthew Miazga,2,81,346,0,1,6.76
Stade De Reims,Pablo Chavarria,22,62,243,3,0,6.76
Ogc Nice,Igniatius Ganago,11,78,173,0,1,6.76
Bordeaux,Toma Bašić,20,82,468,0,2,6.76
Dijon,Oussama Haddadi,36,76,929,2,3,6.76
Amiens,Jordan Lefort,4,69,551,1,0,6.75
Nimes Olympique,Florian Miguel,9,77,320,1,1,6.75
Fc Nantes,Enock Kwateng,19,70,682,1,2,6.75
Strasbourg,Lionel Carole,22,80,651,3,1,6.75
Bordeaux,Sergi Palencia,19,80,723,3,2,6.75
Olympique Lyonnais,Mariano Díaz,1,77,23,0,0,6.75
Olympique De Marseille,Tomáš Hubočan,0,71,12,0,0,6.75
Amiens,Prince Gouano,3,82,874,0,0,6.75
Saint Etienne,Charles Abi,1,35,6,0,0,6.75
Saint Etienne,Wesley Fofana,0,88,69,0,0,6.75
As Monaco,Jean-Eudes Aholou,8,85,460,1,1,6.75
Lille Osc,Jonathan Ikoné,57,74,676,9,10,6.74
Toulouse,Stephane M'Bia,1,90,168,0,0,6.74
Amiens,Stiven Mendoza,26,78,462,2,1,6.74
Lille Osc,Kouadio Dabila,0,86,324,0,0,6.74
Toulouse,Jean-Clair Todibo,1,85,358,0,0,6.74
Guingamp,Jérémy Sorbon,4,84,869,0,0,6.74
Fc Nantes,Majeed Waris,25,75,422,3,4,6.74
As Monaco,Djibril Sidibé,30,75,808,2,5,6.73
Strasbourg,Ibrahima Sissoko,22,80,990,2,4,6.73
Olympique Lyonnais,Lucas Tousart,10,87,853,0,0,6.73
Dijon,Laurent Ciman,3,88,497,0,0,6.73
Strasbourg,Lamine Koné,5,84,905,1,1,6.73
Montpellier,Petar Škuletić,6,69,110,1,3,6.73
Nimes Olympique,Jordan Ferri,25,83,922,1,5,6.73
Stade De Reims,Hyun-Jun Suk,8,52,84,0,0,6.73
Angers,Abdoulaye Bamba,16,78,713,4,4,6.73
Angers,Ismaël Traoré,4,85,934,1,0,6.73
Nimes Olympique,Sada Thioub,37,78,671,5,3,6.73
Fc Nantes,Fábio,15,76,365,2,1,6.73
As Monaco,Danijel Subašić,0,61,161,0,0,6.73
Toulouse,François Moubandje,14,79,649,0,1,6.73
Saint Etienne,Gabriel Silva,7,81,348,2,2,6.73
Nimes Olympique,Baptiste Guillaume,10,63,174,1,1,6.73
Amiens,Ganso,17,87,275,2,1,6.73
Strasbourg,Anthony Caci,13,81,997,1,0,6.72
Angers,Wilfried Kanga,5,69,59,0,0,6.72
Guingamp,Lucas Deaux,13,70,361,1,3,6.72
Fc Nantes,Lucas Evangelista,4,76,224,0,0,6.72
Stade De Reims,Moussa Doumbia,20,80,482,1,4,6.72
Strasbourg,Youssouf Fofana,6,78,264,1,1,6.72
Saint Etienne,Pierre-Yves Polomat,13,81,344,2,2,6.72
Bordeaux,Igor Lewczuk,0,87,169,0,0,6.72
Lille Osc,Rui Fonte,7,79,147,0,0,6.72
Nimes Olympique,Sofiane Alakouch,22,74,598,0,2,6.72
Guingamp,Nolan Roux,14,67,247,0,0,6.72
Toulouse,Yaya Sanogo,11,64,163,0,0,6.71
Angers,Thomas Mangani,32,83,932,0,3,6.71
Stade De Reims,Arbër Zeneli,19,78,197,3,3,6.71
Montpellier,Mihailo Ristić,2,73,76,0,0,6.71
Toulouse,Mauro Goicoechea,0,61,132,0,0,6.71
Montpellier,Ambroise Oyongo,24,71,537,0,0,6.71
Olympique Lyonnais,Rafael,12,83,498,1,1,6.71
Ogc Nice,Rémi Walter,10,91,470,0,1,6.71
Nimes Olympique,Antonin Bobichon,27,83,685,2,2,6.71
Toulouse,Baptiste Reynet,4,62,594,0,1,6.71
Montpellier,Paul Lasne,24,81,723,0,3,6.71
Nimes Olympique,Umut Bozok,14,75,215,3,4,6.71
Amiens,Alexis Blin,7,81,757,1,1,6.71
Angers,Cheikh N'Doye,18,61,520,3,2,6.71
Guingamp,Marcus Thuram,36,73,573,1,3,6.71
Guingamp,Ronny Rodelin,8,72,212,0,0,6.71
Paris Saint Germain,Eric Maxim Choupo-Moting,5,82,180,0,0,6.71
Stade De Reims,Tristan Dingome,28,79,461,3,4,6.71
Ogc Nice,Bassem Srarfi,10,81,248,0,2,6.70
Lille Osc,Boubakary Soumaré,5,86,298,1,1,6.70
Lille Osc,Xeka,12,82,990,0,0,6.70
Angers,Pape Djibril Diaw,0,91,10,0,0,6.70
Dijon,Valentin Rosier,11,84,558,3,1,6.70
Strasbourg,Abdallah Ndour,2,80,116,0,0,6.70
Ogc Nice,Patrick Burner,5,84,520,0,3,6.70
Toulouse,Hakim El Mokeddem,1,85,11,0,1,6.70
Dijon,Mickaël Alphonse,8,65,144,0,0,6.70
Nimes Olympique,Pierrick Valdivia,0,92,11,0,0,6.70
