Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Cagliari,Charalampos Lykogiannis,3,59,110,2,1,6.74
Atalanta,Luca Rizzo,3,75,137,0,1,6.74
Chievoverona,Manuel Pucciarelli,16,78,301,0,0,6.74
Benevento,Christian Puggioni,0,69,443,0,0,6.73
Genoa,Pedro Pereira,2,76,110,0,0,6.73
Fiorentina,Bruno Gaspar,10,85,374,2,1,6.73
Genoa,Daniel Bessa,29,82,695,2,5,6.73
Bologna,Godfred Donsah,13,75,467,1,2,6.73
Chievoverona,Alessandro Gamberini,0,87,586,0,0,6.73
Spal,Manuel Lazzari,27,84,880,1,3,6.73
Lazio,Dušan Basta,6,76,233,1,0,6.73
Bologna,Angelo Da Costa,0,67,91,0,0,6.73
Fiorentina,Carlos Sánchez,0,84,210,0,0,6.72
Cagliari,Diego Farias,21,82,413,5,2,6.72
Udinese,Jens Stryger Larsen,9,83,953,1,2,6.72
Bologna,Orji Okwonkwo,0,83,58,0,0,6.72
Milan,Manuel Locatelli,9,86,461,0,0,6.72
Genoa,Darko Lazović,15,77,385,2,3,6.72
Udinese,Seko Fofana,17,84,753,0,1,6.72
Crotone,Giovanni Crociata,4,70,61,0,0,6.72
Genoa,Isaac Cofie,1,80,249,0,0,6.72
Hellas Verona,Moise Kean,8,77,144,0,0,6.72
Benevento,Alin Toșca,2,88,631,0,0,6.72
Fiorentina,Maximiliano Olivera,4,82,185,0,0,6.71
Sassuolo,Paolo Cannavaro,3,78,434,0,0,6.71
Fiorentina,Diego Falcinelli,13,72,239,1,1,6.71
Inter,Yuto Nagatomo,8,79,232,0,1,6.71
Sassuolo,Pol Lirola,18,72,496,1,2,6.70
Torino,M'Baye Niang,19,74,351,1,0,6.70
Juventus,Rodrigo Bentancur,8,88,466,0,0,6.70
Napoli,Nikola Maksimović,0,97,57,0,0,6.70
Roma,Rick Karsdorp,0,80,40,0,0,6.70
Benevento,George Pușcaș,8,78,115,0,0,6.70
Fiorentina,Rafik Zekhnini,1,80,4,0,0,6.70
Fiorentina,Simone Lo Faso,1,88,30,0,0,6.70
Lazio,Davide Di Gennaro,0,100,3,0,0,6.70
Benevento,Andrew Gravillon,0,73,16,0,0,6.70
Benevento,Siriki Sanogo,0,82,14,0,0,6.70
Udinese,Simone Pontisso,0,93,13,0,0,6.70
Crotone,Noë Dussenne,0,58,7,0,0,6.70
Sassuolo,Mauricio Lemos,1,76,180,0,0,6.70
Cagliari,Simone Padoin,34,79,813,1,5,6.70
Crotone,Mario Sampirisi,8,75,647,0,2,6.70
Crotone,Adrian Stoian,19,64,621,4,4,6.69
Cagliari,Leandro Castán,1,78,413,1,1,6.69
Milan,André Silva,18,77,231,0,0,6.69
Bologna,Adam Masina,25,76,1002,1,2,6.69
Cagliari,Filippo Romagna,4,77,654,0,0,6.69
Atalanta,Etrit Berisha,0,62,417,0,0,6.69
Udinese,Emil Hallfreðsson,13,89,385,0,0,6.69
Benevento,Cristiano Lombardi,16,74,211,2,3,6.69
Cagliari,Artur Ioniță,18,78,729,2,3,6.69
Fiorentina,Sebastián Cristóforo,2,82,156,0,1,6.69
Bologna,Domenico Maietta,0,84,212,0,0,6.69
Bologna,Giancarlo González,0,81,782,0,0,6.68
Lazio,Jordan Lukaku,22,81,474,2,1,6.68
Hellas Verona,Giampaolo Pazzini,5,72,113,0,2,6.68
Atalanta,Hans Hateboer,17,80,921,2,0,6.68
Sampdoria,Vasco Regini,3,88,538,0,1,6.68
Sassuolo,Marcello Gazzola,8,73,234,0,0,6.68
Benevento,Ledian Memushaj,19,83,527,0,1,6.68
Hellas Verona,Thomas Heurtaux,1,81,426,0,0,6.68
Genoa,Stephane Omeonga,9,86,273,0,0,6.67
Chievoverona,Riccardo Meggiorini,4,61,117,0,3,6.67
Cagliari,Andrea Cossu,4,74,71,1,0,6.67
Inter,Yann Karamoh,5,86,180,0,0,6.67
Sassuolo,Rogério,8,73,260,0,0,6.67
Napoli,Adam Ounas,5,84,43,0,0,6.67
Atalanta,Alessandro Bastoni,2,80,60,0,0,6.67
Chievoverona,Nicola Rigoni,3,82,348,0,0,6.66
Fiorentina,Bryan Dabo,4,77,247,0,0,6.66
Crotone,Leandro Cabrera,1,67,76,0,0,6.66
Sampdoria,Ivan Strinić,4,82,563,2,2,6.66
Sampdoria,Karol Linetty,26,81,831,2,2,6.66
Bologna,César Falletti,3,82,130,0,0,6.66
