Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Hertha Bsc,Rune Jarstein,0,58,772,0,0,6.82
Freiburg,Florian Niederlechner,17,68,373,2,3,6.82
Fc Schalke 04,Dennis Aogo,5,82,140,1,1,6.82
Borussia Mgladbach,Julian Korb,7,77,352,0,1,6.82
1 Fc Koln,Miloš Jojić,22,73,263,4,2,6.82
1 Fsv Mainz 05,Gaëtan Bussmann,9,56,188,1,2,6.82
Hamburger Sv,Lewis Holtby,34,73,771,6,7,6.81
Ingolstadt,Mathew Leckie,29,66,551,2,1,6.81
Bayer 04 Leverkusen,Stefan Kießling,8,65,158,1,1,6.81
Werder Bremen,Theodor Gebre Selassie,16,75,599,2,1,6.80
Freiburg,Nicolas Höfler,10,83,1142,1,1,6.80
Darmstadt 98,Fabian Holland,11,67,494,0,1,6.80
Borussia Dortmund,Christian Pulišić,25,73,386,6,8,6.80
Borussia Dortmund,Dženis Burnić,1,80,61,0,0,6.80
Hamburger Sv,Christian Mathenia,1,46,182,0,0,6.80
1 Fsv Mainz 05,Jannik Huth,0,65,140,0,0,6.80
Freiburg,Karim Guédé,1,37,19,0,0,6.80
Freiburg,Jonas Meffert,1,79,23,0,0,6.80
Borussia Mgladbach,Nico Schulz,3,85,164,2,1,6.80
Bayer 04 Leverkusen,Aleksandar Dragović,4,85,600,1,1,6.79
Augsburg,Dong-Won Ji,27,68,553,2,5,6.79
Fc Schalke 04,Alessandro Schöpf,25,77,708,2,1,6.79
Hamburger Sv,Matthias Ostrzolek,17,63,533,1,0,6.79
Ingolstadt,Darío Lezcano,29,73,468,3,4,6.79
Wolfsburg,Yannick Gerhardt,21,77,811,2,5,6.79
Augsburg,Raúl Bobadilla,16,72,217,1,1,6.79
Rb Leipzig,Benno Schmitz,8,68,318,2,2,6.79
1 Fsv Mainz 05,Fabian Frei,13,76,589,1,2,6.78
Freiburg,Janik Haberer,35,70,560,4,6,6.78
Borussia Mgladbach,Yann Sommer,0,74,883,0,0,6.78
Eintracht Frankfurt,Anderson Ordóñez,0,88,137,0,0,6.78
Fc Schalke 04,Eric Maxim Choupo-Moting,32,73,431,4,5,6.77
Bayer 04 Leverkusen,Kai Havertz,20,74,541,5,6,6.77
