Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Celta Vigo,Wesley Hoedt,5,85,414,0,1,6.94
Girona,Pedro Alcala,5,79,685,1,1,6.94
Celta Vigo,Okay Yokuşlu,11,86,1194,0,1,6.94
Getafe,Vitorino Antunes,33,58,459,3,4,6.94
Athletic Bilbao,Raúl García,26,56,497,3,5,6.93
Espanyol,Sergi Darder,37,80,986,2,6,6.93
Real Valladolid,Rubén Alcaraz,21,84,1431,2,2,6.93
Espanyol,Esteban Granero,30,86,965,1,2,6.93
Huesca,Enric Gallego,15,55,206,1,4,6.93
Real Madrid,Raphaël Varane,4,89,1519,0,1,6.93
Real Sociedad,Adnan Januzaj,31,75,325,3,4,6.93
Eibar,Sergi Enrich,28,71,661,4,2,6.93
Leganes,Dimitrios Siovas,10,72,976,0,3,6.92
Real Madrid,Vinícius Júnior,15,76,217,0,2,6.92
Valencia,Neto,1,49,336,0,0,6.92
Barcelona,Clément Lenglet,0,89,1024,0,0,6.92
Villarreal,Andrés Fernández,1,69,118,0,0,6.92
Real Madrid,Brahim Díaz,7,86,140,1,3,6.91
Getafe,Leandro Cabrera,7,51,486,0,0,6.91
Rayo Vallecano,Adrian Embarba,55,72,420,6,8,6.91
Espanyol,David López,5,88,1066,0,0,6.91
Valencia,José Luis Gayà,25,82,1188,1,2,6.91
Girona,Bernardo Espinosa,9,86,1197,1,1,6.91
Villarreal,Vicente Iborra,8,80,636,1,2,6.91
Levante,Oier Olazábal,1,54,260,0,0,6.90
Leganes,Youssef En-Nesyri,17,57,264,2,2,6.90
Barcelona,Marc-André ter Stegen,0,83,737,0,0,6.90
Real Betis,William Carvalho,18,89,1695,5,3,6.90
Barcelona,Jean-Clair Todibo,0,92,109,0,0,6.90
Real Betis,Junior Firpo,20,83,774,4,2,6.90
Villarreal,Víctor Ruiz,5,86,1030,0,1,6.90
Villarreal,Álvaro González,9,80,1196,2,2,6.90
Real Sociedad,Aritz Elustondo,9,79,874,0,1,6.90
Atletico Madrid,Borja Garcés,0,50,2,0,0,6.90
Celta Vigo,Róbert Mazáň,2,86,38,0,0,6.90
Levante,Aitor,1,53,198,0,1,6.90
Atletico Madrid,Antonio Moya Vega,0,92,45,0,0,6.90
Villarreal,Manuel Morlanes,9,84,269,3,4,6.90
Athletic Bilbao,Peru Nolaskoain Esnal,1,86,238,0,0,6.90
Valencia,Daniel Wass,31,78,896,3,7,6.90
Sevilla,Sergi Gómez,5,85,1233,0,0,6.90
Valencia,Santi Mina,16,73,338,5,7,6.90
Leganes,Kenneth Omeruo,2,80,773,0,0,6.90
Real Madrid,Dani Ceballos,24,93,940,0,1,6.90
