Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
1 Fsv Mainz 05,Ridle Baku,67,3,3,0,2,6.93
Wolfsburg,Paul Jäckel,0,3,1,0,0,6.93
Fc Schalke 04,Amine Harit,14,21,53,3,3,6.93
Werder Bremen,Philipp Bargfrede,8,13,5,0,1,6.93
Eintracht Frankfurt,Makoto Hasebe,0,1,1,0,0,6.93
Vfb Stuttgart,Santiago Ascacibar,0,8,10,0,0,6.93
Vfb Stuttgart,Anastasios Donis,7,30,41,5,2,6.92
Vfb Stuttgart,Christian Gentner,11,18,11,1,2,6.92
Vfb Stuttgart,Mario Gómez,20,46,12,13,9,6.92
Augsburg,Caiuby,8,59,39,3,5,6.92
Vfb Stuttgart,Dennis Aogo,0,12,1,1,0,6.92
Hannover 96,Jonathas,20,15,4,2,3,6.92
Eintracht Frankfurt,Carlos Salcedo,0,4,1,0,0,6.92
Rb Leipzig,Lukas Klostermann,14,7,9,1,1,6.92
Bayer 04 Leverkusen,Panagiotis Retsos,9,11,15,0,1,6.91
Vfb Stuttgart,Berkay Özcan,9,11,24,1,1,6.91
Hertha Bsc,Peter Pekarík,0,7,6,1,0,6.91
Rb Leipzig,Willi Orbán,30,10,3,0,3,6.91
Hertha Bsc,Maximilian Mittelstädt,0,8,4,0,0,6.91
Augsburg,Marwin Hitz,0,0,0,0,0,6.91
Bayer 04 Leverkusen,Karim Bellarabi,3,37,23,3,1,6.91
Hannover 96,Matthias Ostrzolek,0,9,7,0,0,6.91
Hannover 96,Ihlas Bebou,13,38,61,5,5,6.91
Eintracht Frankfurt,Timothy Chandler,11,19,5,1,2,6.90
1 Fsv Mainz 05,Abdou Diallo,18,11,32,2,2,6.90
Werder Bremen,Ludwig Augustinsson,6,17,2,0,1,6.90
Augsburg,Kevin Danso,22,9,5,2,2,6.90
Fc Schalke 04,Baba Rahman,0,0,2,0,0,6.90
Borussia Dortmund,Manuel Akanji,0,4,4,0,0,6.90
Hamburger Sv,Nicolai Müller,100,1,0,0,1,6.90
Hertha Bsc,Per Ciljan Skjelbred,0,5,11,0,0,6.90
Rb Leipzig,Benno Schmitz,0,0,0,0,0,6.90
Augsburg,Simon Asta,0,0,0,0,0,6.90
Borussia Dortmund,Neven Subotić,0,0,0,0,0,6.90
Borussia Mgladbach,Reece Oxford,0,3,2,0,0,6.90
Wolfsburg,Paul Verhaegh,40,5,5,2,2,6.90
1 Fc Koln,Frederik Sørensen,17,12,3,2,2,6.90
Vfb Stuttgart,Andreas Beck,14,7,2,0,1,6.90
Eintracht Frankfurt,Marco Russ,14,7,4,2,1,6.89
1899 Hoffenheim,Håvard Nordtveit,0,5,1,0,0,6.89
Werder Bremen,Fin Bartels,12,17,20,1,2,6.89
Vfb Stuttgart,Emiliano Insúa,0,7,39,0,0,6.89
Eintracht Frankfurt,Simon Falette,8,13,5,1,1,6.89
Borussia Dortmund,Julian Weigl,33,3,9,0,1,6.89
Werder Bremen,Ishak Belfodil,10,39,32,7,4,6.89
Wolfsburg,Maximilian Arnold,9,23,12,1,2,6.89
Eintracht Frankfurt,Marco Fabián,8,13,6,0,1,6.89
Werder Bremen,Sebastian Langkamp,0,4,1,2,0,6.88
Rb Leipzig,Bernardo,11,9,5,0,1,6.88
Wolfsburg,Yannick Gerhardt,14,7,9,1,1,6.88
1 Fsv Mainz 05,Fabian Frei,17,6,2,0,1,6.88
Wolfsburg,Josip Brekalo,18,22,36,2,4,6.88
Borussia Mgladbach,Christoph Kramer,50,6,27,1,3,6.88
1899 Hoffenheim,Ádám Szalai,23,22,5,2,5,6.88
1 Fsv Mainz 05,Stefan Bell,9,11,4,0,1,6.88
Borussia Dortmund,Mahmoud Dahoud,0,22,17,3,0,6.87
Wolfsburg,Felix Uduokhai,25,4,5,0,1,6.87
Hannover 96,Martin Harnik,20,44,13,5,9,6.87
1 Fc Koln,Jorge Meré,33,3,9,0,1,6.87
Fc Schalke 04,Marko Pjaca,40,5,8,0,2,6.87
Hertha Bsc,Vladimír Darida,0,22,15,0,0,6.87
1899 Hoffenheim,Steven Zuber,10,10,10,0,1,6.87
Borussia Mgladbach,Yann Sommer,0,0,0,0,0,6.87
Rb Leipzig,Bruma,11,35,68,0,4,6.87
Augsburg,Gojko Kačar,33,3,1,0,1,6.87
Borussia Dortmund,Raphaël Guerreiro,13,8,8,2,1,6.87
Borussia Mgladbach,Oscar Wendt,7,14,4,1,1,6.86
Borussia Mgladbach,Nico Elvedi,15,13,26,3,2,6.86
1 Fc Koln,Simon Terodde,18,40,6,12,7,6.86
Borussia Dortmund,Jeremy Toljan,17,6,5,0,1,6.86
1 Fsv Mainz 05,René Adler,0,0,0,0,0,6.86
Borussia Dortmund,André Schürrle,4,26,24,6,1,6.86
1 Fsv Mainz 05,Yoshinori Muto,26,31,13,4,8,6.86
Eintracht Frankfurt,Danny da Costa,13,8,5,0,1,6.85
Borussia Dortmund,Gonzalo Castro,0,7,10,1,0,6.85
Eintracht Frankfurt,Jonathan de Guzmán,0,9,10,1,0,6.85
Hertha Bsc,Jordan Torunarigha,50,2,1,0,1,6.85
Eintracht Frankfurt,Danny Blum,50,2,0,0,1,6.85
1 Fc Koln,Chris Führich,0,1,4,0,0,6.85
Freiburg,Amir Abrashi,0,1,4,0,0,6.85
1899 Hoffenheim,Pavel Kadeřábek,11,19,9,2,2,6.85
1 Fc Koln,Dominique Heintz,17,6,9,0,1,6.85
Rb Leipzig,Jean-Kévin Augustin,31,29,22,7,9,6.84
Eintracht Frankfurt,Marc Stendera,0,5,1,0,0,6.84
Augsburg,Rani Khedira,13,8,5,1,1,6.84
Hertha Bsc,Karim Rekik,33,6,1,0,2,6.84
Freiburg,Tim Kleindienst,6,33,6,3,2,6.84
Wolfsburg,Jeffrey Bruma,0,2,2,0,0,6.84
Freiburg,Manuel Gulde,14,7,3,1,1,6.84
Eintracht Frankfurt,Taleb Tawatha,0,2,3,0,0,6.83
Freiburg,Vincent Sierro,0,2,4,0,0,6.83
Eintracht Frankfurt,Kevin-Prince Boateng,16,38,24,2,6,6.83
Eintracht Frankfurt,Mijat Gaćinović,3,35,19,3,1,6.83
Bayern Munchen,Sven Ulreich,0,0,0,0,0,6.83
Werder Bremen,Miloš Veljković,20,5,3,0,1,6.83
Eintracht Frankfurt,Luka Jović,27,30,11,9,8,6.82
1899 Hoffenheim,Kevin Akpoguma,0,4,10,0,0,6.82
1899 Hoffenheim,Nico Schulz,7,14,18,1,1,6.82
1 Fsv Mainz 05,Emil Berggreen,36,11,1,0,4,6.82
Freiburg,Yoric Ravet,0,13,9,0,0,6.82
1 Fc Koln,Sehrou Guirassy,15,27,6,5,4,6.82
Bayer 04 Leverkusen,Dominik Kohr,4,27,11,6,1,6.82
Hertha Bsc,Arne Maier,0,8,6,1,0,6.82
Rb Leipzig,Yussuf Poulsen,12,33,22,6,4,6.82
Wolfsburg,Yunus Malli,14,36,39,2,5,6.82
Vfb Stuttgart,Marcin Kamiński,0,3,0,0,0,6.82
Freiburg,Robin Koch,18,11,4,0,2,6.81
1 Fsv Mainz 05,Giulio Donati,0,6,11,0,0,6.81
1899 Hoffenheim,Nadiem Amiri,6,31,22,2,2,6.81
Borussia Dortmund,Christian Pulišić,13,32,77,6,4,6.81
Hertha Bsc,Salomon Kalou,28,43,34,4,12,6.81
Bayern Munchen,Juan Bernat,0,4,13,1,0,6.81
Hamburger Sv,Mërgim Mavraj,0,5,4,0,0,6.81
Freiburg,Julian Schuster,0,8,1,0,0,6.81
Freiburg,Janik Haberer,11,28,26,4,3,6.80
Fc Schalke 04,Ralf Fährmann,0,0,0,0,0,6.80
Augsburg,Marco Richter,11,9,8,1,1,6.80
Fc Schalke 04,Alexander Nübel,0,0,0,0,0,6.80
1899 Hoffenheim,Stefan Posch,0,2,2,0,0,6.80
Hamburger Sv,Vasilije Janjičić,0,1,1,0,0,6.80
Werder Bremen,Luca Caldirola,0,0,0,0,0,6.80
Rb Leipzig,Marvin Compper,0,0,0,0,0,6.80
Borussia Mgladbach,Florian Mayer,0,0,0,0,0,6.80
1 Fc Koln,Timo Horn,0,0,1,0,0,6.80
Werder Bremen,Theodor Gebre Selassie,20,15,9,2,3,6.80
Rb Leipzig,Stefan Ilsanker,0,3,4,1,0,6.80
Freiburg,Marc-Oliver Kempf,0,5,1,0,0,6.79
1899 Hoffenheim,Dennis Geiger,15,13,10,0,2,6.79
Vfb Stuttgart,Daniel Ginczek,25,28,13,6,7,6.79
1 Fc Koln,Leonardo Bittencourt,22,23,25,1,5,6.79
Borussia Mgladbach,Ibrahima Traoré,0,5,9,0,0,6.79
Borussia Dortmund,Roman Bürki,0,0,2,0,0,6.78
1899 Hoffenheim,Oliver Baumann,0,0,0,0,0,6.78
Hannover 96,Florian Hübner,0,0,0,0,0,6.78
Hamburger Sv,Albin Ekdal,0,4,7,0,0,6.78
Fc Schalke 04,Guido Burgstaller,28,39,24,5,11,6.78
Hertha Bsc,Vedad Ibišević,20,30,9,7,6,6.78
Borussia Mgladbach,Denis Zakaria,22,9,30,0,2,6.78
Hamburger Sv,Matti Steinmann,0,3,8,0,0,6.78
Hannover 96,Philipp Tschauner,0,1,1,0,0,6.77
1 Fc Koln,Salih Özcan,0,9,7,0,0,6.77
Freiburg,Lukas Kübler,0,4,5,0,0,6.77
Wolfsburg,Marcel Tisserand,0,5,19,0,0,6.77
Hertha Bsc,Valentino Lazaro,14,14,22,1,2,6.77
Hertha Bsc,Mitchell Weiser,10,10,31,0,1,6.76
Hamburger Sv,Julian Pollersbeck,0,0,0,0,0,6.76
Vfb Stuttgart,Chadrac Akolo,21,24,16,4,5,6.76
Werder Bremen,Milot Rashica,13,8,15,0,1,6.76
1 Fc Koln,Claudio Pizarro,6,16,16,3,1,6.75
Borussia Mgladbach,László Bénes,0,1,0,0,0,6.75
Freiburg,Çağlar Söyüncü,17,6,8,0,1,6.75
Rb Leipzig,Ibrahima Konaté,0,2,1,0,0,6.75
Freiburg,Alexander Schwolow,0,1,0,0,0,6.75
Augsburg,Jonathan Schmid,0,17,7,1,0,6.74
Borussia Dortmund,Marcel Schmelzer,0,2,6,0,0,6.74
Werder Bremen,Robert Bauer,0,2,1,0,0,6.74
1 Fc Koln,Tim Handwerker,0,7,7,0,0,6.74
Hertha Bsc,Alexander Esswein,33,6,1,0,2,6.73
Eintracht Frankfurt,Lukáš Hrádecký,0,0,0,0,0,6.73
1 Fc Koln,Matthias Lehmann,0,10,0,0,0,6.73
Hamburger Sv,Gideon Jung,17,6,12,0,1,6.73
Hamburger Sv,Walace,8,13,12,0,1,6.73
Eintracht Frankfurt,Gélson Fernandes,0,1,4,0,0,6.73
1 Fc Koln,Konstantin Rausch,0,7,2,0,0,6.73
Hannover 96,Julian Korb,11,9,6,1,1,6.72
Augsburg,Ja-Cheol Koo,9,22,12,3,2,6.72
Hannover 96,Josip Elez,0,0,4,0,0,6.72
1 Fsv Mainz 05,Alexandru Maxim,11,19,10,0,2,6.72
Bayer 04 Leverkusen,Bernd Leno,0,0,0,0,0,6.72
Freiburg,Marco Terrazzino,0,18,8,2,0,6.72
Werder Bremen,Maximilian Eggestein,6,32,19,7,2,6.72
Wolfsburg,Divock Origi,14,44,28,7,6,6.71
Fc Schalke 04,Franco di Santo,12,26,11,4,3,6.71
Borussia Mgladbach,Michaël Cuisance,0,18,35,2,0,6.71
1 Fc Koln,Yuya Osako,13,30,16,5,4,6.71
Freiburg,Florian Niederlechner,11,18,2,3,2,6.71
Hertha Bsc,Rune Jarstein,0,1,0,0,0,6.71
Hamburger Sv,Gotoku Sakai,0,12,21,0,0,6.71
Borussia Mgladbach,Patrick Herrmann,0,18,9,2,0,6.70
1 Fsv Mainz 05,Robin Quaison,13,31,17,7,4,6.70
Fc Schalke 04,Nabil Bentaleb,36,11,5,0,4,6.70
Bayern Munchen,Kwasi Okyere Wriedt,0,1,0,0,0,6.70
1 Fsv Mainz 05,Leon Balogun,0,2,10,0,0,6.70
1 Fsv Mainz 05,Levin Öztunali,0,22,37,2,0,6.70
1 Fsv Mainz 05,Florian Müller,0,0,0,0,0,6.70
Eintracht Frankfurt,Daichi Kamada,0,1,3,0,0,6.70
Fc Schalke 04,Cedric Teuchert,0,4,0,1,0,6.70
1 Fc Koln,Jannes Horn,0,2,3,0,0,6.70
Vfb Stuttgart,Ailton,0,1,3,0,0,6.70
Hamburger Sv,Mohamed Gouaida,0,0,0,0,0,6.70
Hamburger Sv,Stephan Kofi Ambrosius,0,0,0,0,0,6.70
1 Fc Koln,Vincent Koziello,50,2,3,0,1,6.70
Borussia Mgladbach,Josip Drmić,33,12,3,3,4,6.70
Borussia Dortmund,Dan-Axel Zagadou,14,7,6,0,1,6.69
Borussia Mgladbach,Fabian Johnson,25,4,0,0,1,6.69
Hamburger Sv,Filip Kostić,9,53,34,9,5,6.69
Rb Leipzig,Péter Gulácsi,0,0,0,0,0,6.68
1 Fsv Mainz 05,Suat Serdar,6,34,29,0,2,6.68
Freiburg,Bartosz Kapustka,33,3,2,0,1,6.68
