Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Wolfsburg,Luiz Gustavo,88,2,46,14,1,6.87
Vfb Stuttgart,Arianit Ferati,83,1,4,3,0,6.87
Hertha Bsc,Genki Haraguchi,74,3,66,55,2,6.87
Fc Schalke 04,Pierre-Emile Højbjerg,87,1,33,20,0,6.87
Borussia Dortmund,Nuri Şahin,89,2,11,2,0,6.86
Hamburger Sv,René Adler,49,1,0,1,0,6.86
1 Fsv Mainz 05,Niko Bungert,83,0,23,1,0,6.86
Ingolstadt,Mathew Leckie,70,0,37,56,3,6.86
Eintracht Frankfurt,Luc Castaignos,70,1,7,14,4,6.86
Borussia Mgladbach,Fabian Johnson,77,4,26,21,6,6.86
Bayer 04 Leverkusen,Christoph Kramer,83,1,78,30,0,6.86
Hannover 96,Artur Sobiech,70,0,12,7,7,6.86
Fc Schalke 04,Max Meyer,85,6,14,36,5,6.85
1899 Hoffenheim,Tarik Elyounoussi,71,1,11,5,0,6.85
Wolfsburg,Sebastian Jung,82,1,12,7,0,6.85
Hertha Bsc,Per Ciljan Skjelbred,85,2,57,19,0,6.85
1 Fsv Mainz 05,Giulio Donati,68,2,49,13,0,6.85
1 Fsv Mainz 05,Fabian Frei,76,2,24,6,0,6.85
Hertha Bsc,Marvin Plattenhardt,79,4,47,10,2,6.85
Hamburger Sv,Matthias Ostrzolek,69,2,68,19,0,6.84
1 Fsv Mainz 05,Christian Clemens,67,3,30,17,5,6.84
1 Fc Koln,Kevin Vogt,80,2,26,7,0,6.83
Borussia Mgladbach,Tony Jantschke,83,0,24,1,0,6.83
Augsburg,Tobias Werner,65,1,7,2,0,6.83
Vfb Stuttgart,Alexandru Maxim,79,5,15,20,1,6.83
Hannover 96,Kenan Karaman,72,2,36,35,3,6.83
Bayer 04 Leverkusen,Wendell,75,0,82,25,0,6.83
Hannover 96,Hugo Almeida,56,0,2,2,1,6.83
Darmstadt 98,Luca Caldirola,60,1,71,2,0,6.83
1 Fsv Mainz 05,Yoshinori Muto,65,2,23,23,7,6.83
Fc Schalke 04,Sead Kolašinac,73,0,45,7,1,6.82
Vfb Stuttgart,Filip Kostić,62,5,34,69,5,6.82
Hertha Bsc,Salomon Kalou,77,2,16,50,14,6.82
1899 Hoffenheim,Fabian Schär,79,0,30,9,1,6.82
Bayer 04 Leverkusen,Vladlen Yurchenko,81,0,2,0,1,6.82
Hannover 96,Alexander Milošević,78,0,14,0,0,6.81
Augsburg,Konstantinos Stafylidis,73,0,21,6,1,6.81
Bayer 04 Leverkusen,Kyriakos Papadopoulos,74,0,29,1,0,6.81
Eintracht Frankfurt,Haris Seferović,65,5,13,23,3,6.80
Werder Bremen,Fin Bartels,74,1,31,48,8,6.80
Hannover 96,Hotaru Yamaguchi,81,0,15,2,0,6.80
Fc Schalke 04,Dennis Aogo,85,1,28,4,0,6.80
