Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Celta Vigo,Nemanja Radoja,87,0,72,32,1,6.78
Real Betis,Joaquín,84,4,16,35,3,6.78
Real Sociedad,Joseba Zaldúa,78,1,34,5,0,6.78
Espanyol,Óscar Duarte,81,0,14,1,0,6.78
Villarreal,Nicola Sansone,78,3,17,22,8,6.78
Valencia,Toni Lato,81,1,20,4,0,6.78
Sevilla,Hiroshi Kiyotake,80,2,3,4,1,6.78
Leganes,Nereo Champagne,40,0,0,0,0,6.78
Las Palmas,Mateo García,79,0,17,25,2,6.78
Valencia,Fabián Orellana,81,3,28,28,3,6.77
Deportivo Alaves,Christian Santos,65,1,15,1,3,6.77
Sporting Gijon,Iván Cuéllar,48,0,0,0,0,6.77
Leganes,Erik Morán,77,1,25,3,0,6.77
Malaga,José Rodríguez,83,0,15,8,0,6.77
Osasuna,Didier Digard,67,0,8,1,0,6.77
Celta Vigo,Jonny Castro,83,3,76,25,0,6.77
Valencia,Santi Mina,75,2,34,16,6,6.76
Malaga,Juankar,73,4,53,20,2,6.76
Eibar,Takashi Inui,80,2,58,30,3,6.76
Osasuna,Kenan Kodro,75,1,12,5,7,6.76
Valencia,João Cancelo,73,4,83,63,1,6.76
Malaga,Carlos Kameni,55,0,2,2,0,6.76
Sporting Gijon,Burgui,72,4,32,56,2,6.76
Sporting Gijon,Akram Afif,77,0,11,2,0,6.76
Espanyol,Javi Fuego,81,0,72,7,1,6.76
Athletic Bilbao,Gorka Iraizoz,58,0,0,1,0,6.76
Las Palmas,Tana,86,4,29,32,4,6.76
Deportivo Alaves,Daniel Torres,83,0,38,9,0,6.76
Deportivo La Coruna,Fernando Navarro,76,0,53,6,0,6.75
Sevilla,Carlos Fernández Luna,60,0,1,0,1,6.75
Sporting Gijon,Diego Mariño,50,0,0,0,0,6.75
Real Betis,Antonio Sanabria,63,1,11,9,4,6.75
Granada,David Barral,69,1,6,1,0,6.75
Villarreal,Samu Castillejo,79,3,39,39,2,6.75
Sevilla,Gabriel Mercado,80,1,72,4,3,6.74
Leganes,Luciano,76,2,18,5,4,6.74
Sporting Gijon,Roberto Canella,72,1,42,2,2,6.74
Deportivo Alaves,Alexis Ruano,82,1,22,3,2,6.74
Celta Vigo,Claudio Beauvue,70,2,3,4,1,6.74
Osasuna,Imanol García,71,0,22,2,0,6.74
Eibar,Ander Capa,64,3,77,34,0,6.74
Sporting Gijon,Fernando Amorebieta,68,1,39,6,0,6.73
Espanyol,Marc Roca,84,1,39,16,0,6.73
Real Sociedad,Sergio Canales,85,4,31,13,0,6.73
Sevilla,Matías Kranevitter,91,0,35,5,0,6.73
Villarreal,Adrián López,74,1,6,9,2,6.73
Osasuna,Sergio León,70,0,3,27,10,6.73
Leganes,Samu García,69,1,22,4,0,6.73
Las Palmas,Javi Castellano,95,0,3,0,0,6.73
Real Betis,Fabián Ruiz,82,0,6,1,0,6.73
Real Betis,Ryan Donk,77,1,21,1,0,6.73
Real Betis,Riza Durmisi,76,4,47,26,1,6.72
Deportivo La Coruna,Ryan Babel,80,1,7,8,4,6.72
Athletic Bilbao,Mikel Balenziaga,77,1,86,25,1,6.72
Granada,Andreas Pereira,76,3,43,75,5,6.72
Granada,Rene Krhin,85,0,8,8,0,6.72
Osasuna,David García,69,0,44,0,1,6.72
Athletic Bilbao,Óscar de Marcos,78,4,55,11,1,6.72
Eibar,Gonzalo Escalante,76,1,59,13,2,6.71
Real Sociedad,Mikel Oyarzabal,75,7,32,36,2,6.71
Athletic Bilbao,Kepa Arrizabalaga,61,0,0,2,0,6.71
Athletic Bilbao,Markel Susaeta,77,2,35,29,1,6.71
Malaga,Chori Castro,75,3,27,26,1,6.71
Granada,Rubén Vezo,77,1,43,1,0,6.71
Espanyol,Aarón Martin Caricol,77,0,69,40,0,6.71
Celta Vigo,Hugo Mallo,73,1,51,5,2,6.71
Valencia,Carlos Soler,86,1,34,24,3,6.71
Deportivo La Coruna,Germán Lux,50,0,0,1,0,6.71
Barcelona,André Gomes,88,1,33,18,3,6.71
Real Betis,Alin Toșca,79,0,37,9,0,6.71
Las Palmas,Marko Livaja,71,3,16,12,5,6.70
Leganes,Pablo Insua,76,0,28,3,1,6.70
Osasuna,Unai García,69,0,51,6,0,6.70
Sporting Gijon,Nacho Cases,82,1,29,10,2,6.70
Sevilla,Joaquín Correa,83,0,25,38,4,6.70
Deportivo Alaves,Aleksandar Katai,75,3,18,24,3,6.70
Atletico Madrid,Alessio Cerci,50,0,0,1,0,6.70
Deportivo Alaves,Rubén Sobrino,78,1,11,14,2,6.70
Valencia,Álvaro Medrán,84,0,19,8,2,6.70
Granada,Juanan Entrena,81,0,2,3,0,6.70
Osasuna,Javi Alamo,0,0,1,1,0,6.70
Deportivo La Coruna,Luisinho,76,2,62,20,0,6.70
Real Betis,Álvaro Cejudo,78,1,33,9,1,6.70
Celta Vigo,Pablo Hernández,80,0,46,22,1,6.70
Celta Vigo,Sergio Álvarez,53,1,1,1,0,6.70
Granada,Artem Kravets,73,2,10,6,5,6.70
Granada,Uche Agbo,85,0,77,35,0,6.69
Celta Vigo,Pione Sisto,84,3,22,57,3,6.69
Athletic Bilbao,Íñigo Lekue,77,1,53,39,2,6.69
Granada,David Lombán,79,0,25,1,2,6.69
Granada,Victorien Angban,89,0,27,5,0,6.69
Barcelona,Denis Suárez,86,3,18,13,1,6.69
Athletic Bilbao,Ander Iturraspe,85,1,26,2,0,6.68
Athletic Bilbao,Sabin Merino,70,1,14,3,1,6.68
Real Betis,José Carlos Ramírez,67,0,14,2,0,6.68
Las Palmas,David Simón,83,1,46,16,0,6.68
Osasuna,Goran Čaušić,81,2,39,11,1,6.68
Deportivo La Coruna,Fayçal Fajr,81,2,31,6,0,6.68
Valencia,Zakaria Bakkali,85,0,3,8,1,6.68
Sporting Gijon,Lacina Traoré,49,0,5,2,2,6.68
Real Madrid,Mariano Díaz,82,1,1,1,1,6.68
Athletic Bilbao,Mikel Rico,82,0,11,6,1,6.67
Valencia,Diego Alves,53,0,0,2,0,6.67
Malaga,Federico Ricca,74,1,46,3,0,6.67
Malaga,Bakary Koné,76,0,9,2,0,6.67
Leganes,Iago Herrerín,37,0,1,4,0,6.67
Leganes,Alberto Bueno,77,3,8,3,2,6.67
Atletico Madrid,Ángel Correa,75,8,28,49,4,6.67
Celta Vigo,John Guidetti,73,1,8,2,4,6.67
Valencia,Aymen Abdennour,84,0,18,2,0,6.67
Villarreal,Antonio Rukavina,72,0,2,0,0,6.67
Eibar,Nano Mesa,66,0,1,1,1,6.67
Villarreal,Alexandre Pato,69,1,8,19,2,6.66
Sporting Gijon,Víctor Rodríguez,76,1,38,12,2,6.66
Sporting Gijon,Carlos Carmona,70,2,59,12,8,6.66
Celta Vigo,Marcelo Díaz,88,2,33,5,1,6.66
Leganes,Miguel Ángel Guerrero,76,1,14,16,5,6.66
Leganes,Víctor Díaz,68,1,59,12,1,6.66
Osasuna,Fausto Tienza,73,0,62,5,0,6.66
Malaga,Michael Santos,70,0,9,2,3,6.65
Las Palmas,Raúl Lizoain,75,0,2,1,0,6.65
Sporting Gijon,Borja Viguera,66,1,15,10,2,6.65
Athletic Bilbao,Iñaki Williams,68,6,39,47,5,6.65
Real Betis,Charly Musonda Jr,78,1,7,8,0,6.65
Valencia,Mathew Ryan,77,0,0,0,0,6.65
Deportivo Alaves,Aleksandar Pantić,65,0,3,0,0,6.65
Malaga,Miguel Torres,76,0,30,0,0,6.65
Malaga,Mikel Villanueva,80,0,15,6,0,6.65
Malaga,Youssef En-Nesyri,62,1,4,2,1,6.65
Granada,Javi Marquez,78,0,7,5,0,6.64
Osasuna,Miguel Flaño,77,0,12,1,1,6.64
Granada,Héctor Hernández,81,2,25,8,0,6.64
Malaga,Juanpi Añor,81,0,29,39,2,6.64
Espanyol,José Antonio Reyes,71,4,11,13,3,6.64
Deportivo Alaves,Raúl García,72,0,32,5,0,6.64
Granada,Gastón Silva,74,0,47,7,0,6.64
Real Betis,Rafa Navarro,80,2,30,9,2,6.63
Granada,Jérémie Boga,84,1,7,55,2,6.63
Sporting Gijon,Moi Gómez,81,5,38,35,2,6.63
Espanyol,Álvaro Vázquez,77,1,1,5,0,6.63
Malaga,Duda,73,2,7,3,1,6.63
Osasuna,Miguel De las Cuevas,81,1,34,42,0,6.63
Real Sociedad,Juanmi,79,0,20,5,11,6.63
Deportivo La Coruna,Przemysław Tytoń,49,0,2,0,0,6.62
Athletic Bilbao,Enric Saborit,70,0,14,3,0,6.62
Osasuna,Fran Mérida,75,0,38,13,1,6.62
Sporting Gijon,Carlos Castro,77,1,6,6,4,6.62
Granada,Jon Toral,84,0,9,0,0,6.62
Leganes,Adrián Marín,71,0,23,5,0,6.62
Espanyol,Javi López,72,1,60,4,0,6.62
Eibar,Adrián González,74,1,23,5,7,6.62
Granada,Sergi Samper,81,1,25,9,0,6.61
Eibar,Bebé,73,2,10,8,3,6.61
Osasuna,Oier,69,2,109,9,0,6.61
Las Palmas,Michel Macedo,86,4,30,9,0,6.61
Leganes,Gabriel Pires,67,2,72,36,5,6.61
Leganes,Nabil El Zhar,75,4,20,23,4,6.60
Espanyol,Papakouli Diop,73,0,23,4,0,6.60
Celta Vigo,Pape Cheikh,88,0,22,8,1,6.60
Valencia,Federico Cartabia,76,0,10,0,0,6.60
Eibar,Cristian Rivera,77,0,18,6,0,6.60
Athletic Bilbao,Asier Villalibre,56,1,0,1,0,6.60
Las Palmas,Aythami Artiles,86,0,10,0,0,6.60
Barcelona,Carles Aleñá,91,0,0,1,0,6.60
Leganes,Jon Ander Serantes,40,0,1,0,0,6.60
Leganes,Omar Ramos,72,2,28,27,0,6.60
Osasuna,Álvaro Fernández,50,0,0,0,0,6.60
Sevilla,Diego Gonzalez,75,0,2,0,0,6.60
Granada,Jean Carlos,75,0,1,0,0,6.60
Real Sociedad,Jon Gaztañaga,81,0,0,0,0,6.60
Malaga,Luis Muñoz,73,0,11,5,0,6.60
Sporting Gijon,Juan Rodríguez,70,0,5,0,0,6.60
Sporting Gijon,Pablo Fernández,57,0,0,0,0,6.60
Osasuna,Javier Flano Bezunartea,64,0,4,0,0,6.60
Real Betis,Álex Martínez,72,0,18,2,0,6.60
Malaga,Javier Ontiveros,71,3,21,27,2,6.59
Eibar,Mauro Dos Santos,74,0,13,0,0,6.59
Deportivo Alaves,Víctor Camarasa,84,1,32,24,3,6.59
Deportivo La Coruna,Carles Gil,85,4,21,25,1,6.58
Real Betis,Jonas Martin,82,0,15,9,2,6.58
Leganes,Mamadou Koné,67,0,4,2,0,6.58
Las Palmas,Javi Varas,69,0,4,2,0,6.58
Granada,Mehdi Carcela-González,78,1,33,60,5,6.58
Malaga,Zdravko Kuzmanović,88,0,2,1,0,6.58
Sevilla,Walter Montoya,83,0,3,1,0,6.58
Sporting Gijon,Rachid Aït-Atmane,83,0,17,8,0,6.58
Leganes,Tito,68,3,50,5,0,6.57
Osasuna,Mario Fernández,45,0,1,0,0,6.57
Deportivo La Coruna,Gaël Kakuta,63,1,10,15,2,6.57
Deportivo La Coruna,Marlos Moreno,79,0,22,22,0,6.56
Granada,Ezequiel Ponce,68,0,6,13,2,6.56
Celta Vigo,Theo Bongonda,78,3,31,53,1,6.56
Leganes,Darwin Machís,70,3,16,22,1,6.56
Real Sociedad,Markel Bergara,76,0,5,1,0,6.56
Osasuna,Álex Berenguer,66,6,65,65,1,6.56
Osasuna,Miguel Olavide,78,0,17,2,1,6.56
Espanyol,Felipe Caicedo,77,1,25,10,2,6.56
Real Betis,Darko Brašanac,76,1,47,14,1,6.55
Villarreal,Leonardo Suárez,87,0,0,0,0,6.55
Sporting Gijon,Xavi Torres,76,0,14,1,0,6.55
Osasuna,Emmanuel Rivière,70,1,8,5,0,6.55
Deportivo La Coruna,Bruno Gama,81,0,40,19,0,6.55
Osasuna,Raoul Loé,77,0,11,4,0,6.54
Deportivo Alaves,Édgar Méndez,65,1,44,29,4,6.54
Villarreal,Alfred N'Diaye,65,1,5,1,0,6.53
Osasuna,Aitor Buñuel,68,0,33,9,0,6.53
Osasuna,Jaime Romero,73,4,10,33,0,6.53
Osasuna,Nikola Vujadinović,72,0,10,2,0,6.53
Deportivo La Coruna,Laure,70,0,12,2,0,6.53
Sporting Gijon,Lillo Castellano,72,0,42,0,0,6.53
Real Betis,Roman Zozulya,71,0,3,0,0,6.50
Celta Vigo,David Costas,84,1,0,0,0,6.50
Espanyol,Rubén Duarte,55,0,3,0,0,6.50
Celta Vigo,Andrew Hjulsager,70,0,3,2,1,6.50
Granada,Martin Hongla,81,0,14,7,0,6.50
Real Betis,Dani Giménez,50,0,0,0,0,6.50
Granada,Luis Martins,72,0,2,0,0,6.50
Malaga,Weligton,67,0,4,1,0,6.50
Las Palmas,Tyronne,87,0,1,0,0,6.50
Leganes,Diego Barrios,32,0,0,0,0,6.50
Sporting Gijon,Rubén Sánchez Pérez-Cejuela,35,0,0,0,0,6.50
