Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Bologna,Orji Okwonkwo,83,2,6,3,0,6.75
Roma,Mário Rui,77,0,8,1,0,6.75
Fiorentina,Nenad Tomović,87,1,32,9,0,6.75
Cagliari,Alessandro Deiola,81,0,3,1,0,6.75
Fiorentina,Hrvoje Milić,84,4,28,12,0,6.75
Lazio,Bastos,88,0,27,2,0,6.75
Atalanta,Marco D'Alessandro,78,1,19,30,1,6.75
Atalanta,Alberto Grassi,83,0,17,5,1,6.74
Cagliari,Paolo Faragò,69,0,21,2,0,6.74
Empoli,Manuel Pucciarelli,80,1,33,35,3,6.74
Genoa,Diego Laxalt,74,4,64,55,1,6.74
Milan,Leonel Vangioni,77,0,23,13,0,6.74
Cagliari,Mauricio Isla,80,7,87,7,1,6.74
Sassuolo,Pietro Iemmello,71,0,1,4,5,6.74
Inter,Marco Andreolli,90,0,8,0,1,6.74
Empoli,Massimo Maccarone,68,2,10,11,5,6.74
Palermo,Mato Jajalo,84,1,38,28,1,6.74
Chievoverona,Përparim Hetemaj,84,0,52,18,0,6.73
Juventus,Moise Kean,100,0,0,1,1,6.73
Crotone,Lorenzo Crisetig,76,1,73,11,0,6.73
Pescara,Stefano Pettinari,79,0,4,6,0,6.73
Fiorentina,Ciprian Tătărușanu,69,0,1,0,0,6.73
Bologna,Vasilīs Torosidīs,82,0,28,7,1,6.73
Genoa,Raffaele Palladino,73,1,36,46,2,6.73
Milan,Juraj Kucka,81,1,53,24,3,6.73
Lazio,Alessandro Murgia,84,0,18,3,2,6.73
Empoli,Mame Thiam,74,1,8,11,1,6.73
Bologna,Erick Pulgar,83,1,56,12,1,6.73
Udinese,Andrija Balić,86,0,6,4,1,6.73
Palermo,Slobodan Rajković,85,0,5,1,0,6.73
Chievoverona,Serge Gakpé,69,0,6,5,1,6.73
Chievoverona,Andrea Seculin,63,0,0,0,0,6.73
Bologna,Godfred Donsah,77,2,11,15,0,6.72
Udinese,Stipe Perica,74,1,14,10,6,6.72
Inter,Felipe Melo,81,0,5,1,0,6.72
Palermo,Toni Šunjić,87,0,7,0,0,6.72
Udinese,Panagiotis Kone,86,0,6,2,0,6.72
Empoli,Federico Barba,86,0,4,1,0,6.72
Roma,Thomas Vermaelen,88,0,7,1,0,6.72
Genoa,Goran Pandev,76,0,8,9,3,6.72
Sassuolo,Simone Missiroli,72,0,17,4,0,6.72
Crotone,Noë Dussenne,78,0,13,1,0,6.71
Cagliari,Nicolò Barella,80,1,57,29,0,6.71
Milan,Andrea Bertolacci,83,0,17,5,1,6.71
Chievoverona,Jonathan de Guzmán,83,1,18,15,2,6.71
Genoa,Santiago Gentiletti,85,1,20,7,0,6.71
Genoa,Darko Lazović,72,4,43,43,2,6.71
Sassuolo,Alfred Duncan,69,1,40,15,1,6.70
Milan,M'Baye Niang,76,2,11,20,3,6.70
Milan,Mario Pašalić,84,1,23,11,5,6.70
Genoa,Pietro Pellegri,60,0,0,0,1,6.70
Atalanta,Bryan Cabezas,88,0,2,0,0,6.70
Genoa,Andrea Beghetto,72,0,3,0,0,6.70
Lazio,Luca Crecco,64,0,0,1,1,6.70
Cagliari,Roberto Biancu,60,0,1,1,0,6.70
Sassuolo,Emanuele Terranova,88,0,2,0,0,6.70
Pescara,Alessandro Bruno,82,0,32,3,0,6.70
Genoa,Olivier Ntcham,84,1,23,14,3,6.70
Cagliari,Nicola Murru,72,1,54,8,0,6.70
Crotone,Bruno Martella,71,0,39,16,0,6.69
