Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Rb Leipzig,Amadou Haidara,1,0,7,4,13,6.83
Hertha Bsc,Arne Maier,9,0,33,28,31,6.83
Borussia Mgladbach,Florian Neuhaus,1,0,20,10,22,6.83
Werder Bremen,Niklas Moisander,19,0,137,39,34,6.83
Fortuna Dusseldorf,Matthias Zimmermann,18,0,79,67,97,6.83
Augsburg,André Hahn,2,0,27,27,63,6.83
Hannover 96,Florent Muslija,0,0,2,3,16,6.82
Hertha Bsc,Marvin Plattenhardt,3,0,45,7,27,6.82
Wolfsburg,Pavao Pervan,0,0,7,0,0,6.82
Augsburg,Caiuby,1,0,9,5,12,6.82
Fortuna Dusseldorf,Benito Raman,2,0,8,15,35,6.82
Freiburg,Janik Haberer,4,0,49,36,71,6.81
Werder Bremen,Sebastian Langkamp,11,0,78,20,24,6.81
Hertha Bsc,Salomon Kalou,1,0,22,6,21,6.81
Borussia Dortmund,Marcel Schmelzer,1,0,12,9,10,6.81
Borussia Dortmund,Roman Bürki,0,3,19,2,1,6.81
Vfb Stuttgart,Steven Zuber,3,0,10,11,18,6.81
Werder Bremen,Claudio Pizarro,1,0,7,1,9,6.81
Fc Schalke 04,Matija Nastasić,20,0,113,38,35,6.81
1 Fc Nurnberg,Enrico Valentini,3,0,48,13,44,6.81
Fc Schalke 04,Ralf Fährmann,0,2,19,2,0,6.81
1 Fsv Mainz 05,Phillipp Mwene,0,0,9,6,7,6.80
Eintracht Frankfurt,Marco Fabián,0,0,0,3,3,6.80
Augsburg,Michael Gregoritsch,10,0,58,15,22,6.80
Borussia Mgladbach,László Bénes,0,0,0,0,3,6.80
Borussia Mgladbach,Oscar Wendt,11,0,65,19,45,6.80
Wolfsburg,Yannick Gerhardt,8,0,33,30,52,6.80
Eintracht Frankfurt,Timothy Chandler,0,0,0,0,0,6.80
1 Fc Nurnberg,Christian Mathenia,0,2,36,1,0,6.80
Wolfsburg,Sebastian Jung,0,0,1,0,1,6.80
Werder Bremen,Ludwig Augustinsson,11,0,72,37,53,6.80
Hertha Bsc,Davie Selke,0,0,6,1,5,6.80
Vfb Stuttgart,Gonzalo Castro,5,0,20,29,50,6.79
Vfb Stuttgart,Borna Sosa,1,0,28,6,13,6.79
Freiburg,Alexander Schwolow,0,1,28,0,0,6.79
Hertha Bsc,Rune Jarstein,0,1,14,1,0,6.79
Werder Bremen,Miloš Veljković,13,0,105,28,35,6.79
Vfb Stuttgart,Dennis Aogo,1,0,19,8,15,6.79
Borussia Dortmund,Mahmoud Dahoud,0,0,8,17,16,6.78
Borussia Mgladbach,Raffael,0,0,0,1,8,6.78
Vfb Stuttgart,Anastasios Donis,0,0,0,4,15,6.78
Borussia Mgladbach,Christoph Kramer,4,0,22,21,41,6.78
1 Fsv Mainz 05,Alexandru Maxim,0,0,7,5,16,6.78
1899 Hoffenheim,Kevin Vogt,11,0,102,33,24,6.78
Rb Leipzig,Marcelo Saracchi,1,0,11,11,18,6.78
Vfb Stuttgart,Christian Gentner,3,1,36,31,61,6.78
Borussia Dortmund,Marius Wolf,0,0,12,13,14,6.78
Fc Schalke 04,Breel Embolo,0,0,6,4,22,6.77
